201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,CUSTOMER_NUM,clustered_label
7442,7420,7350,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7420,8400,1200,7442,7442,97760,0.37
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90581,0.441
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,90344,0.356
8200,8200,0,0,0,7442,0,0,0,0,0,7442,0,0,0,0,0,0,89942,0.18
7442,8100,7442,7442,7442,7442,7442,7442,7442,7442,0,8200,7442,7442,7330,7320,8200,8200,89067,0.31
0,0,7442,7442,0,0,0,0,0,0,0,8200,0,0,0,0,7442,0,88632,0.46
7442,7442,7442,7330,7310,8100,1200,7200,5500,3500,3600,7110,7110,7110,7110,7110,7110,7110,8785,0.34
0,7360,0,8200,0,7442,7442,8200,7442,0,8200,0,1100,1100,7200,5300,0,0,87671,0.28
7442,7420,7442,7200,7443,7442,7442,7442,7442,7442,8100,7442,8400,7420,7442,7442,7442,7442,87585,0.356
8200,0,7442,8200,7200,5300,3500,3600,7110,7110,0,0,0,0,0,0,0,0,86964,0.15
7442,8200,7350,0,7442,7442,7442,0,7442,0,0,0,0,7442,0,7442,7442,7442,86928,0.16
0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86056,0.444
5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85298,0.441
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,85107,0.356
0,0,7442,8200,7330,7442,8200,7442,0,7420,7442,0,0,7442,7442,8200,0,0,83255,0.28
0,0,0,0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,80641,0.443
0,0,0,0,0,8200,1100,7200,5300,3500,3600,7110,7110,7110,7110,7110,7110,7110,79760,0.68
7442,7442,7430,7442,7442,7420,7430,7430,7449,7449,7410,7410,7410,7410,7410,7140,7110,7110,79182,0.356
8200,8200,0,7442,7442,0,7442,7442,7442,7442,7442,7442,7420,0,7442,8100,7442,0,78918,0.33
