,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster
0,0,0,0,0.0,0.1,0.1,0.13333333333333333,0.23333333333333334,0.26666666666666666,0.16666666666666666,10
1,0,0,0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,10
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,12
3,0,0,0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,13
4,0,0,0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,14
5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,15
6,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,16
7,0,0,0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,17
8,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18
9,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,19
10,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,20
11,0,0,0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.35294117647058826,0.29411764705882354,20
12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21
13,0,0,0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,23
14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,24
15,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26
16,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,27
17,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,28
18,0,0,0,0.05405405405405406,0.05405405405405406,0.08108108108108109,0.35135135135135137,0.05405405405405406,0.1891891891891892,0.21621621621621623,30
19,0,0,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,30
20,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31
21,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32
22,0,0,0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,33
23,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34
24,0,0,0,0.1,0.0,0.1,0.4,0.0,0.2,0.2,35
25,0,0,0,0.0,0.2,0.0,0.6,0.0,0.0,0.2,36
26,0,0,0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,37
27,0,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,38
28,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39
29,0,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,40
30,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50
31,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60
32,0,0,0,0.025,0.0,0.05,0.2,0.1,0.1,0.525,70
33,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,80
34,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,90
