PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund,clustered_label
201605,10042,85262.0,0.925289695,0.074710305,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10042,107394.13,0.924507978,0.075492022,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10042,120874.9,0.8489506920000001,0.15104930800000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201608,10042,104647.93,0.945799215,0.054200785,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10042,60572.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10042,56163.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10042,29624.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10042,5950.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10042,4711.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10042,5100.23,0.7211890440000001,0.278810956,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201703,10042,3190.23,0.932594202,0.067405798,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10042,2068.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10042,1700.54,0.693920755,0.306079245,0.0,0.0,0.0,0.0,0.0,0.0,0,0.76
201706,10042,1180.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,100461,2773.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8
201604,10054,3113.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,10054,6906.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,10054,3867.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,10054,789.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,10054,780.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,10054,1544.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,10054,2301.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,10054,763.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,10054,787.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,10054,805.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,10054,2348.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,10054,2359.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,10054,792.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,100579,4730.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201602,100579,3046.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201603,100579,1430.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,100579,2052.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,100579,2593.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,100579,2393.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,100579,1889.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,100579,2225.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,100579,2944.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,100579,3653.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,100579,2210.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,100579,1457.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,100579,2036.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,100579,545.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,100579,1269.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,100579,718.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,100666,612.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201604,100666,1886.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201605,100666,1198.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201606,100666,901.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201607,100666,3140.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201608,100666,3290.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201609,100666,1768.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201610,100666,2914.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201611,100666,616.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201612,100666,4177.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201701,100666,1124.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201702,100666,4203.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201703,100666,1693.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201704,100666,5846.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201705,100666,6150.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201706,100666,1000.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.75
201601,100820,25327.8,0.6471016039999999,0.063765112,0.289133284,0.0,0.0,0.0,0.0,0.0,0,0.74
