,actual_grade,predict_grade,torrance,week,id
127,91,89.44,-1.5600000000000023,16,101204026
128,91,89.44,-1.5600000000000023,17,101204026
129,91,89.44,-1.5600000000000023,18,101204026
130,90,92.86,2.8599999999999994,9,101203054
131,90,92.86,2.8599999999999994,10,101203054
132,90,92.86,2.8599999999999994,11,101203054
133,90,92.86,2.8599999999999994,12,101203054
134,90,92.86,2.8599999999999994,13,101203054
135,90,92.86,2.8599999999999994,14,101203054
136,90,92.86,2.8599999999999994,15,101203054
137,90,92.86,2.8599999999999994,16,101203054
138,90,92.86,2.8599999999999994,17,101203054
139,90,92.86,2.8599999999999994,18,101203054
140,56,79.88279745042271,23.882797450422714,9,101203004
141,56,85.37752181500885,29.377521815008848,10,101203004
142,56,55.44,-0.5600000000000023,11,101203004
143,56,55.44,-0.5600000000000023,12,101203004
144,56,55.44,-0.5600000000000023,13,101203004
145,56,55.44,-0.5600000000000023,14,101203004
146,56,55.44,-0.5600000000000023,15,101203004
147,56,55.44,-0.5600000000000023,16,101203004
148,56,55.44,-0.5600000000000023,17,101203004
149,56,55.44,-0.5600000000000023,18,101203004
150,60,61.5,1.5,9,101103034
151,60,61.5,1.5,10,101103034
152,60,61.5,1.5,11,101103034
153,60,61.5,1.5,12,101103034
154,60,61.5,1.5,13,101103034
155,60,61.5,1.5,14,101103034
156,60,61.5,1.5,15,101103034
157,60,61.5,1.5,16,101103034
158,60,61.5,1.5,17,101103034
159,60,61.5,1.5,18,101103034
160,65,74.89595270577651,9.895952705776509,9,101102026
161,65,65.86,0.8599999999999994,10,101102026
162,65,65.86,0.8599999999999994,11,101102026
163,65,65.86,0.8599999999999994,12,101102026
164,65,65.86,0.8599999999999994,13,101102026
165,65,65.86,0.8599999999999994,14,101102026
166,65,65.86,0.8599999999999994,15,101102026
167,65,65.86,0.8599999999999994,16,101102026
168,65,65.86,0.8599999999999994,17,101102026
169,65,65.86,0.8599999999999994,18,101102026
170,94,92.86,-1.1400000000000006,9,101102025
171,94,92.86,-1.1400000000000006,10,101102025
172,94,92.86,-1.1400000000000006,11,101102025
173,94,92.86,-1.1400000000000006,12,101102025
174,94,92.86,-1.1400000000000006,13,101102025
175,94,92.86,-1.1400000000000006,14,101102025
176,94,92.86,-1.1400000000000006,15,101102025
177,94,92.86,-1.1400000000000006,16,101102025
178,94,92.86,-1.1400000000000006,17,101102025
179,94,92.86,-1.1400000000000006,18,101102025
180,81,79.48856799300181,-1.5114320069981915,9,101101050
181,81,80.70038759689955,-0.2996124031004541,10,101101050
182,81,80.06,-0.9399999999999977,11,101101050
183,81,80.06,-0.9399999999999977,12,101101050
184,81,80.06,-0.9399999999999977,13,101101050
185,81,80.06,-0.9399999999999977,14,101101050
186,81,80.06,-0.9399999999999977,15,101101050
187,81,80.06,-0.9399999999999977,16,101101050
188,81,80.06,-0.9399999999999977,17,101101050
189,81,80.06,-0.9399999999999977,18,101101050
190,86,80.06,-5.939999999999998,9,100508018
191,86,80.06,-5.939999999999998,10,100508018
192,86,80.06,-5.939999999999998,11,100508018
193,86,80.06,-5.939999999999998,12,100508018
194,86,80.06,-5.939999999999998,13,100508018
195,86,80.06,-5.939999999999998,14,100508018
196,86,80.06,-5.939999999999998,15,100508018
197,86,80.06,-5.939999999999998,16,100508018
198,86,80.06,-5.939999999999998,17,100508018
199,86,80.06,-5.939999999999998,18,100508018
200,81,91.76750000000001,10.767500000000013,9,100401072
201,81,80.06,-0.9399999999999977,10,100401072
202,81,80.06,-0.9399999999999977,11,100401072
203,81,80.06,-0.9399999999999977,12,100401072
204,81,80.06,-0.9399999999999977,13,100401072
205,81,80.06,-0.9399999999999977,14,100401072
206,81,80.06,-0.9399999999999977,15,100401072
207,81,80.06,-0.9399999999999977,16,100401072
208,81,80.06,-0.9399999999999977,17,100401072
209,81,80.06,-0.9399999999999977,18,100401072
210,78,47.40675675675679,-30.593243243243208,9,100401044
211,78,80.06,2.0600000000000023,10,100401044
212,78,80.06,2.0600000000000023,11,100401044
213,78,80.06,2.0600000000000023,12,100401044
214,78,80.06,2.0600000000000023,13,100401044
215,78,80.06,2.0600000000000023,14,100401044
