,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,Exam2,Final,original,semester
41,102208059,6461,6100,6409,6461,6463,3500,3400,6540,6559,6463,6440,5200,6540,6463,6461,6461,6100,6461,34,6.5,24.0,54.2,67
42,102208057,6461,6465,6464,6464,4400,4500,6461,6461,6461,6461,6461,6509,6461,6461,6461,6463,6461,6461,20,18.0,26.0,74.8,87
43,102208056,6461,6461,3100,6461,1300,3300,6461,6220,6461,6461,6464,6600,6464,6464,6464,6461,6461,4400,20,15.0,25.5,70.5,83
44,102208055,6461,6461,6461,3100,6465,6360,6440,6461,6461,6461,6440,6440,6461,6461,6461,6461,6461,6440,43,16.0,33.0,77.9,90
45,102208054,6461,6461,6240,3620,6465,3500,6461,6461,6461,6461,6463,3630,6463,6465,6461,6461,6461,5100,33,13.0,18.0,51.6,64
46,102208053,6461,6461,6461,6461,6461,4400,6461,6461,6461,6240,6461,6420,6461,6461,6461,6461,6461,6461,10,1.0,0.0,19.1,32
47,102208052,6461,6463,6465,6450,6461,3300,6420,6463,6420,6464,6340,5100,6464,6461,6100,6461,6465,6559,41,17.5,31.5,80.0,92
48,102208046,6461,6461,6464,6461,6559,4200,6461,6461,6330,6461,6520,6461,6461,6463,6461,6463,6465,5100,42,21.5,34.0,88.1,99
49,102208045,6461,6463,6465,6461,6461,6465,6463,6461,6600,6461,6461,6600,6461,6463,6461,6463,6463,6509,42,22.5,38.5,94.4,99
50,102208044,6461,6461,6461,6461,6465,4200,6461,6530,6461,6430,5600,5100,6461,6461,6461,6461,6600,6450,35,8.5,14.5,45.8,58
51,102208043,6461,6464,6463,6461,6461,6461,6461,6461,6461,6463,6461,6461,6461,6461,6600,6461,6461,6600,32,7.5,19.5,60.3,73
52,102208042,6461,6220,3620,6461,3500,6461,6461,6461,6461,6461,6461,6465,6463,6461,6461,6461,6463,3100,41,19.5,30.5,80.5,93
53,102208041,6461,6461,2200,3100,3650,6310,6461,6463,6430,6461,2400,3500,6463,6463,6220,1100,6430,2400,36,4.5,16.0,51.2,64
54,102208038,6461,6461,6461,6461,6465,3640,6461,6461,6461,6461,6350,6230,6461,6461,6461,6461,6461,6462,31,16.0,16.5,56.0,68
55,102208034,6461,6420,6461,6461,6461,6461,6461,6461,6461,6461,6461,5200,6461,6461,6461,6461,6461,6430,20,11.0,18.5,63.6,76
56,102208032,6461,6465,6461,6461,6461,4500,6461,6461,6461,6461,6461,4300,6461,6461,6461,6461,6461,4400,34,7.5,21.0,56.0,68
57,102208030,6461,6463,6461,6464,6310,4500,3300,2100,6310,6464,5400,6461,6463,6420,6540,6461,6100,6464,20,16.0,25.0,70.2,83
58,102208029,6461,6463,6310,6450,6310,3640,6461,6461,6461,6420,5100,5100,6464,6464,6464,6461,6464,6461,42,20.5,35.0,89.7,99
59,102208024,6461,6461,3300,6465,6463,6440,6461,6461,6465,6461,6461,6540,6461,6461,6461,6461,6461,6540,42,22.5,36.0,86.4,99
60,102208023,6461,6464,6461,6220,6240,6440,6461,6463,6540,6461,6420,6440,6461,6461,6461,6461,6461,6462,42,20.0,35.5,87.2,99
61,102208022,6461,6420,6465,6465,6461,6340,6463,6420,6420,6461,6409,5200,6464,6464,6464,6461,6461,5100,41,21.5,26.5,78.9,91
62,102208021,6461,6463,6461,6461,6461,6461,6461,6461,6461,1300,6462,6461,6463,6461,6463,6461,6461,6430,20,13.5,30.5,71.6,84
63,102208018,6461,6461,6461,6461,6463,6461,6461,6463,6461,6461,6461,6461,6463,6461,6463,6461,6461,6463,41,20.5,32.5,81.7,94
