,actual_grade,predict_grade,torrance,week,id
0,55,77.25797522260947,22.257975222609474,9,101208087
1,55,78.32500515357668,23.325005153576683,10,101208087
2,55,78.30223475355064,23.302234753550636,11,101208087
3,55,58.91534391534392,3.915343915343918,12,101208087
4,55,58.91534391534392,3.915343915343918,13,101208087
5,55,58.91534391534392,3.915343915343918,14,101208087
6,55,58.91534391534392,3.915343915343918,15,101208087
7,55,58.91534391534392,3.915343915343918,16,101208087
8,55,58.91534391534392,3.915343915343918,17,101208087
9,55,58.91534391534392,3.915343915343918,18,101208087
10,91,77.25797522260947,-13.742024777390526,9,102205089
11,91,78.32500515357668,-12.674994846423317,10,102205089
12,91,78.30223475355064,-12.697765246449364,11,102205089
13,91,87.59779326364686,-3.4022067363531363,12,102205089
14,91,87.59779326364686,-3.4022067363531363,13,102205089
15,91,87.59779326364686,-3.4022067363531363,14,102205089
16,91,87.59779326364686,-3.4022067363531363,15,102205089
17,91,87.59779326364686,-3.4022067363531363,16,102205089
18,91,87.78634920634914,-3.2136507936508565,17,102205089
19,91,88.99369149369143,-2.006308506308571,18,102205089
20,77,74.36922398589064,-2.630776014109358,9,101208066
21,77,76.34976657329598,-0.6502334267040197,10,101208066
22,77,76.34976657329598,-0.6502334267040197,11,101208066
23,77,79.34195011337867,2.3419501133786724,12,101208066
24,77,79.34195011337867,2.3419501133786724,13,101208066
25,77,79.34195011337867,2.3419501133786724,14,101208066
26,77,79.34195011337867,2.3419501133786724,15,101208066
27,77,79.34195011337867,2.3419501133786724,16,101208066
28,77,80.05555555555556,3.055555555555557,17,101208066
29,77,80.05555555555556,3.055555555555557,18,101208066
30,99,94.49648033126296,-4.503519668737042,9,101208030
31,99,95.77034632034633,-3.2296536796536657,10,101208030
32,99,95.77034632034633,-3.2296536796536657,11,101208030
33,99,97.75938523557572,-1.2406147644242793,12,101208030
34,99,97.75938523557572,-1.2406147644242793,13,101208030
35,99,97.75938523557572,-1.2406147644242793,14,101208030
36,99,97.75938523557572,-1.2406147644242793,15,101208030
37,99,97.75938523557572,-1.2406147644242793,16,101208030
38,99,98.04493087557604,-0.9550691244239573,17,101208030
39,99,98.33983866770753,-0.6601613322924749,18,101208030
40,74,80.05555555555556,6.055555555555557,9,102208075
41,74,80.05555555555556,6.055555555555557,10,102208075
42,74,80.05555555555556,6.055555555555557,11,102208075
43,74,80.05555555555556,6.055555555555557,12,102208075
44,74,80.05555555555556,6.055555555555557,13,102208075
45,74,80.05555555555556,6.055555555555557,14,102208075
46,74,80.05555555555556,6.055555555555557,15,102208075
47,74,80.05555555555556,6.055555555555557,16,102208075
