,actual_grade,predict_grade,torrance,week,id
0,55,78.9225504828753,23.922550482875295,9,101208087
1,55,76.35062301334985,21.350623013349846,10,101208087
2,55,79.98412112260016,24.984121122600158,11,101208087
3,55,55.43999999999999,0.4399999999999906,12,101208087
4,55,55.43999999999999,0.4399999999999906,13,101208087
5,55,55.43999999999999,0.4399999999999906,14,101208087
6,55,55.43999999999999,0.4399999999999906,15,101208087
7,55,55.43999999999999,0.4399999999999906,16,101208087
8,55,55.43999999999999,0.4399999999999906,17,101208087
9,55,55.43999999999999,0.4399999999999906,18,101208087
10,91,78.9225504828753,-12.077449517124705,9,102205089
11,91,76.35062301334985,-14.649376986650154,10,102205089
12,91,79.98412112260016,-11.015878877399842,11,102205089
13,91,89.43999999999984,-1.5600000000001586,12,102205089
14,91,89.43999999999984,-1.5600000000001586,13,102205089
15,91,89.43999999999984,-1.5600000000001586,14,102205089
16,91,89.43999999999984,-1.5600000000001586,15,102205089
17,91,89.43999999999984,-1.5600000000001586,16,102205089
18,91,89.43999999999984,-1.5600000000001586,17,102205089
19,91,89.43999999999984,-1.5600000000001586,18,102205089
20,77,78.66958884687989,1.6695888468798898,9,101208066
21,77,80.05999999999996,3.0599999999999596,10,101208066
22,77,80.05999999999996,3.0599999999999596,11,101208066
23,77,80.05999999999996,3.0599999999999596,12,101208066
24,77,80.05999999999996,3.0599999999999596,13,101208066
25,77,80.05999999999996,3.0599999999999596,14,101208066
26,77,80.05999999999996,3.0599999999999596,15,101208066
27,77,80.05999999999996,3.0599999999999596,16,101208066
28,77,80.05999999999996,3.0599999999999596,17,101208066
29,77,80.05999999999996,3.0599999999999596,18,101208066
30,99,79.56513256955506,-19.43486743044494,9,101208030
31,99,99.0,0.0,10,101208030
32,99,99.0,0.0,11,101208030
33,99,99.0,0.0,12,101208030
34,99,99.0,0.0,13,101208030
35,99,99.0,0.0,14,101208030
36,99,99.0,0.0,15,101208030
37,99,99.0,0.0,16,101208030
38,99,99.0,0.0,17,101208030
39,99,99.0,0.0,18,101208030
40,74,80.05999999999997,6.059999999999974,9,102208075
41,74,80.05999999999997,6.059999999999974,10,102208075
42,74,80.05999999999997,6.059999999999974,11,102208075
43,74,80.05999999999997,6.059999999999974,12,102208075
44,74,80.05999999999997,6.059999999999974,13,102208075
45,74,80.05999999999997,6.059999999999974,14,102208075
46,74,80.05999999999997,6.059999999999974,15,102208075
47,74,80.05999999999997,6.059999999999974,16,102208075
48,74,80.05999999999997,6.059999999999974,17,102208075
49,74,80.05999999999997,6.059999999999974,18,102208075
50,66,78.9225504828753,12.922550482875295,9,102205037
51,66,82.73820671378061,16.738206713780613,10,102205037
52,66,65.86,-0.14000000000000057,11,102205037
53,66,65.86,-0.14000000000000057,12,102205037
54,66,65.86,-0.14000000000000057,13,102205037
55,66,65.86,-0.14000000000000057,14,102205037
56,66,65.86,-0.14000000000000057,15,102205037
57,66,65.86,-0.14000000000000057,16,102205037
58,66,65.86,-0.14000000000000057,17,102205037
59,66,65.86,-0.14000000000000057,18,102205037
60,83,80.05999999999996,-2.9400000000000404,9,102104031
61,83,80.05999999999996,-2.9400000000000404,10,102104031
62,83,80.05999999999996,-2.9400000000000404,11,102104031
63,83,80.05999999999996,-2.9400000000000404,12,102104031
64,83,80.05999999999996,-2.9400000000000404,13,102104031
65,83,80.05999999999996,-2.9400000000000404,14,102104031
66,83,80.05999999999996,-2.9400000000000404,15,102104031
67,83,80.05999999999996,-2.9400000000000404,16,102104031
68,83,80.05999999999996,-2.9400000000000404,17,102104031
69,83,80.05999999999996,-2.9400000000000404,18,102104031
70,71,78.9225504828753,7.922550482875295,9,101208085
71,71,76.35062301334985,5.350623013349846,10,101208085
72,71,79.98412112260016,8.984121122600158,11,101208085
73,71,74.42939953810654,3.429399538106537,12,101208085
74,71,68.28999999999998,-2.710000000000022,13,101208085
75,71,68.28999999999998,-2.710000000000022,14,101208085
76,71,68.28999999999998,-2.710000000000022,15,101208085
77,71,68.28999999999998,-2.710000000000022,16,101208085
78,71,68.28999999999998,-2.710000000000022,17,101208085
79,71,68.28999999999998,-2.710000000000022,18,101208085
80,89,89.43999999999996,0.4399999999999551,9,101208069
81,89,89.43999999999996,0.4399999999999551,10,101208069
82,89,89.43999999999996,0.4399999999999551,11,101208069
83,89,89.43999999999996,0.4399999999999551,12,101208069
84,89,89.43999999999996,0.4399999999999551,13,101208069
85,89,89.43999999999996,0.4399999999999551,14,101208069
86,89,89.43999999999996,0.4399999999999551,15,101208069
87,89,89.43999999999996,0.4399999999999551,16,101208069
88,89,89.43999999999996,0.4399999999999551,17,101208069
89,89,89.43999999999996,0.4399999999999551,18,101208069
90,56,54.06024096385542,-1.9397590361445793,9,102208088
91,56,55.44000000000004,-0.5599999999999596,10,102208088
92,56,55.44000000000004,-0.5599999999999596,11,102208088
93,56,55.44000000000004,-0.5599999999999596,12,102208088
94,56,55.44000000000004,-0.5599999999999596,13,102208088
95,56,55.44000000000004,-0.5599999999999596,14,102208088
96,56,55.44000000000004,-0.5599999999999596,15,102208088
97,56,55.44000000000004,-0.5599999999999596,16,102208088
98,56,55.44000000000004,-0.5599999999999596,17,102208088
99,56,55.44000000000004,-0.5599999999999596,18,102208088
100,81,77.37009675731777,-3.629903242682232,9,102208081
101,81,78.27265363128502,-2.7273463687149757,10,102208081
102,81,80.05999999999997,-0.9400000000000261,11,102208081
103,81,80.05999999999997,-0.9400000000000261,12,102208081
104,81,80.05999999999997,-0.9400000000000261,13,102208081
105,81,80.05999999999997,-0.9400000000000261,14,102208081
