id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label
101208087,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,5100,6461,6461,6461,6461,6461,6461,35
102205089,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6420,6464,6461,6461,6461,6461,6450,43
101208066,6461,6461,6461,6450,6450,6461,6461,6461,6465,6461,6465,6461,6463,6463,6461,6463,3300,6461,20
101208030,6461,6420,6464,6461,6461,6461,6464,6461,6461,6420,6461,6461,6463,6420,6464,6461,6461,6461,42
102208075,6461,6461,6461,6100,6463,4500,6463,6461,6461,6461,6461,6600,6461,6461,6461,6461,6461,5100,20
102205037,6461,6461,6461,6461,6461,6461,6461,6461,6461,6420,6310,5100,6461,6461,6461,6461,6420,6520,34
102104031,6461,6461,6465,6463,6320,6461,6461,6464,6320,6420,6465,6600,6461,6463,6559,6461,6461,3640,20
101208085,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6465,6461,6461,6461,6461,6461,6461,31
101208069,6461,6461,6440,6310,6465,6440,6461,4500,6450,6463,6463,6600,6462,6461,6461,6464,3650,6409,43
102208088,6461,6461,6461,6461,6461,3400,6461,6462,6461,6461,6461,6520,6461,6461,6461,6461,6461,5500,35
102208081,6461,6461,6461,6461,6461,6461,6461,6465,6461,6450,6461,6461,6461,6461,6461,6463,6461,6409,20
102208058,6461,6461,6461,6461,6461,6440,6461,6461,6461,6461,6461,6509,6461,6461,6461,6461,6461,5400,10
102208049,6461,6461,6461,6461,6461,4400,6440,6310,6462,6461,6461,6330,6461,6461,6461,6461,6461,6462,35
102208033,6461,6461,6461,6461,6461,4100,6461,6461,6461,6461,6461,6320,6461,6461,6461,6461,6461,6461,34
102208008,6461,6461,6461,6440,6440,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6461,6465,6465,41
101208074,6461,6461,6461,6461,6461,6440,6461,6461,6461,6461,6463,6600,6461,6463,6463,6461,6463,6240,34
99304030,6461,6461,6463,6461,6465,6463,6461,6461,6450,6100,6465,1400,6461,6463,6464,6461,6463,6430,10
99203054,6461,6450,6559,6450,6461,6430,6461,6461,6600,6220,6509,6210,6461,6461,6559,6461,6461,6461,42
103302104,6461,6100,6461,6464,6461,1400,6461,6463,6465,6465,6464,3200,6461,6461,6461,6461,6461,1400,42
103302103,6461,6463,6461,6100,6461,6210,6461,6461,6461,6461,6240,3200,6461,6240,6461,6461,6220,3620,42
102306046,6461,6461,6559,6465,6450,6440,6461,6450,6463,6461,6210,5300,1300,6450,6240,6461,6464,5100,20
102306041,6461,6461,6210,6450,6450,6461,6461,6420,6461,6461,6220,6430,6461,6461,6461,6461,1400,6509,10
102209035,6461,6463,6420,6463,6461,6540,6465,6463,6464,6409,6409,1200,6461,6465,6464,6461,6461,6600,35
102208090,6461,6461,6464,6465,6463,3640,6450,3620,3100,6450,6461,6409,6461,6463,6420,6463,6461,3640,20
