TA_video,TA_text,Teacher_video,Teacher_text,id,week
0.0,0.0,0.0,0.0,100101021.0,week1
0.0,88.0,0.0,131.0,100101021.0,week2
0.0,0.0,0.0,0.0,100101021.0,week3
0.0,81.0,0.0,64.0,100101021.0,week4
0.0,0.0,0.0,80.0,100101021.0,week5
0.0,0.0,0.0,0.0,100101021.0,week6
0.0,0.0,0.0,68.0,100101021.0,week7
39.0,39.0,0.0,38.0,100101021.0,week8
0.0,0.0,0.0,0.0,100101021.0,week9
3118.0,0.0,0.0,39.0,100101021.0,week10
35.0,0.0,0.0,0.0,100101021.0,week11
0.0,0.0,0.0,0.0,100101021.0,week12
0.0,0.0,0.0,0.0,100101021.0,week13
0.0,0.0,0.0,54.0,100101021.0,week14
0.0,0.0,0.0,0.0,100101021.0,week15
0.0,0.0,0.0,0.0,100101021.0,week16
0.0,0.0,0.0,0.0,100101021.0,week17
0.0,0.0,52.0,0.0,100101021.0,week18
0.0,0.0,0.0,0.0,100104041.0,week1
0.0,435.0,0.0,0.0,100104041.0,week2
0.0,0.0,0.0,0.0,100104041.0,week3
0.0,0.0,0.0,41.0,100104041.0,week4
0.0,0.0,0.0,0.0,100104041.0,week5
0.0,0.0,0.0,0.0,100104041.0,week6
0.0,0.0,0.0,993.0,100104041.0,week7
0.0,0.0,0.0,0.0,100104041.0,week8
0.0,0.0,0.0,0.0,100104041.0,week9
0.0,0.0,0.0,118.0,100104041.0,week10
0.0,940.0,0.0,0.0,100104041.0,week11
0.0,0.0,0.0,0.0,100104041.0,week12
0.0,0.0,0.0,0.0,100104041.0,week13
0.0,0.0,0.0,38.0,100104041.0,week14
0.0,0.0,0.0,0.0,100104041.0,week15
0.0,0.0,0.0,79.0,100104041.0,week16
0.0,0.0,9341.0,0.0,100104041.0,week17
0.0,0.0,0.0,0.0,100104041.0,week18
0.0,0.0,0.0,0.0,100202044.0,week1
0.0,0.0,0.0,0.0,100202044.0,week2
0.0,0.0,0.0,0.0,100202044.0,week3
0.0,0.0,2166.0,0.0,100202044.0,week4
0.0,0.0,0.0,0.0,100202044.0,week5
0.0,0.0,0.0,2795.0,100202044.0,week6
0.0,0.0,0.0,0.0,100202044.0,week7
0.0,0.0,0.0,0.0,100202044.0,week8
0.0,0.0,0.0,0.0,100202044.0,week9
0.0,0.0,6526.0,0.0,100202044.0,week10
0.0,0.0,42.0,0.0,100202044.0,week11
0.0,0.0,0.0,0.0,100202044.0,week12
0.0,0.0,0.0,0.0,100202044.0,week13
0.0,0.0,0.0,323.0,100202044.0,week14
0.0,0.0,0.0,139.0,100202044.0,week15
0.0,0.0,0.0,0.0,100202044.0,week16
0.0,0.0,0.0,0.0,100202044.0,week17
0.0,0.0,0.0,7428.0,100202044.0,week18
0.0,0.0,0.0,67.0,100206009.0,week1
0.0,0.0,0.0,0.0,100206009.0,week2
0.0,0.0,0.0,0.0,100206009.0,week3
0.0,0.0,0.0,0.0,100206009.0,week4
0.0,0.0,13296.0,0.0,100206009.0,week5
2179.0,60.0,19456.0,0.0,100206009.0,week6
0.0,0.0,0.0,0.0,100206009.0,week7
579.0,0.0,17014.0,0.0,100206009.0,week8
0.0,0.0,21601.0,0.0,100206009.0,week9
0.0,0.0,1906.0,0.0,100206009.0,week10
0.0,0.0,493.0,0.0,100206009.0,week11
0.0,0.0,0.0,0.0,100206009.0,week12
0.0,0.0,0.0,0.0,100206009.0,week13
0.0,0.0,0.0,0.0,100206009.0,week14
0.0,0.0,0.0,0.0,100206009.0,week15
0.0,0.0,0.0,0.0,100206009.0,week16
0.0,0.0,0.0,38.0,100206009.0,week17
0.0,0.0,26826.0,0.0,100206009.0,week18
0.0,0.0,0.0,0.0,100401044.0,week1
5662.0,0.0,735.0,0.0,100401044.0,week2
0.0,0.0,0.0,0.0,100401044.0,week3
0.0,0.0,195.0,129.0,100401044.0,week4
237.0,0.0,1668.0,18992.0,100401044.0,week5
0.0,0.0,0.0,0.0,100401044.0,week6
0.0,0.0,0.0,0.0,100401044.0,week7
0.0,0.0,0.0,0.0,100401044.0,week8
0.0,0.0,0.0,0.0,100401044.0,week9
3328.0,0.0,0.0,40.0,100401044.0,week10
0.0,0.0,1248.0,0.0,100401044.0,week11
0.0,0.0,0.0,0.0,100401044.0,week12
0.0,0.0,0.0,0.0,100401044.0,week13
0.0,0.0,0.0,0.0,100401044.0,week14
0.0,0.0,0.0,0.0,100401044.0,week15
0.0,0.0,0.0,0.0,100401044.0,week16
11509.0,0.0,970.0,941.0,100401044.0,week17
874.0,0.0,1837.0,0.0,100401044.0,week18
0.0,0.0,0.0,0.0,100401072.0,week1
126.0,43.0,6634.0,0.0,100401072.0,week2
0.0,0.0,0.0,0.0,100401072.0,week3
0.0,89.0,0.0,0.0,100401072.0,week4
422.0,0.0,0.0,343.0,100401072.0,week5
0.0,0.0,0.0,0.0,100401072.0,week6
0.0,0.0,25302.0,3892.0,100401072.0,week7
0.0,0.0,0.0,0.0,100401072.0,week8
0.0,0.0,0.0,0.0,100401072.0,week9
0.0,3558.0,13674.0,170.0,100401072.0,week10
525.0,91.0,1119.0,132.0,100401072.0,week11
0.0,0.0,0.0,0.0,100401072.0,week12
0.0,0.0,0.0,0.0,100401072.0,week13
0.0,0.0,0.0,0.0,100401072.0,week14
0.0,0.0,0.0,0.0,100401072.0,week15
0.0,0.0,0.0,0.0,100401072.0,week16
0.0,0.0,0.0,50.0,100401072.0,week17
646.0,505.0,9214.0,706.0,100401072.0,week18
0.0,0.0,0.0,262.0,100508018.0,week1
81.0,51.0,3214.0,33.0,100508018.0,week2
0.0,0.0,7583.0,173.0,100508018.0,week3
0.0,0.0,0.0,0.0,100508018.0,week4
0.0,0.0,57.0,36.0,100508018.0,week5
0.0,0.0,4274.0,0.0,100508018.0,week6
0.0,0.0,0.0,44.0,100508018.0,week7
0.0,0.0,0.0,0.0,100508018.0,week8
0.0,0.0,0.0,0.0,100508018.0,week9
0.0,0.0,0.0,0.0,100508018.0,week10
0.0,0.0,948.0,0.0,100508018.0,week11
0.0,0.0,0.0,0.0,100508018.0,week12
0.0,0.0,0.0,0.0,100508018.0,week13
0.0,0.0,0.0,117.0,100508018.0,week14
0.0,0.0,0.0,0.0,100508018.0,week15
