id,Group,Group Project,Exam1,Exam2,Final,Attendance,TA,original,semester
102208059,5,13,4.5,6.5,24,5,3,54.2,67
102208060,12,12,8.5,10,14,9,3,44.1,57
102208061,6,13.8,16.5,19.5,26,0,2.5,75.7,88
102208062,1,12,6.5,4.5,2,5,3,28.2,41
102208063,7,12.2,18,13.5,17,6,0,55.3,68
102208064,2,11.5,6.5,6,8,8,1.5,34.1,47
102208065,8,13,14,9.5,19,0,2.5,59.2,72
102208066,3,14,13,12,22,1,3,64.2,77
102208068,4,12,16,9,20,8,1,54.4,67
102208073,9,12.5,16,14,27.5,1,0,67.4,80
102208074,5,13,11,13.5,25.5,0,3,65.6,78
102208075,10,14.4,10,10,24,10,3,61.4,74
102208078,6,13,10,5.5,19,0,3,53.3,66
102208081,11,14.5,20,12.5,21,0,1,69,81
102208082,7,12,19.5,23,27,0,2.5,81.2,94
102208083,12,7.2,12.5,13,15,3,2.5,48.2,61
102208084,8,13.8,12,7.5,15,4,3,52.3,65
102208085,1,12,15.5,15.5,29.5,2,0.5,71.8,84
102208086,9,9.5,17.5,25,31,0,2.5,83.5,96
102208088,10,14.5,10,7.5,7,6,3,44,56
102208089,2,8.5,14,13.5,27.5,2,3,66.1,80
102208090,11,13.5,17,16.5,23,2,2.5,70.9,83
102209035,5,5.5,8,14.5,14.5,5,0,42.3,55
102306041,11,13.2,10,6.5,5.5,5,1,35.6,48
102306046,12,11,13.5,17.5,22.5,3,1,65.1,78
103302103,7,12,24.5,22.5,31,0,3,89,99
103302104,8,13.5,24,23,36.5,0,3,95.8,99
