id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
102208066,0.71,0.78,0.71,0.71,0.75,0.2,0.74,0.71,0.75,0.71,0.75,0.78,0.71,0.75,0.73,0.71,0.75,0.6,13.0,12.0,22.0,77
102208065,0.71,0.71,0.71,0.78,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.79,0.71,0.71,0.71,14.0,9.5,19.0,72
102208064,0.71,0.71,0.71,0.71,0.71,0.76,0.71,0.71,0.71,0.71,0.71,0.8,0.71,0.71,0.71,0.71,0.71,0.71,6.5,6.0,8.0,47
102208063,0.71,0.71,0.71,0.79,0.78,0.76,0.71,0.75,0.71,0.71,0.1,0.5,0.71,0.2,0.71,0.3,0.71,0.2,18.0,13.5,17.0,68
102208062,0.71,0.71,0.74,0.71,0.71,0.76,0.71,0.71,0.71,0.2,0.75,0.8,0.71,0.71,0.71,0.71,0.75,0.71,6.5,4.5,2.0,41
102208061,0.71,0.75,0.71,0.71,0.71,0.2,0.79,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,16.5,19.5,26.0,88
102208060,0.71,0.71,0.71,0.71,0.8,0.4,0.71,0.71,0.71,0.71,0.71,0.75,0.71,0.71,0.71,0.71,0.71,0.71,8.5,10.0,14.0,57
102208059,0.71,0.77,0.74,0.71,0.71,0.2,0.8,0.73,0.73,0.71,0.76,0.6,0.73,0.71,0.71,0.71,0.8,0.71,4.5,6.5,24.0,67
102208057,0.71,0.71,0.71,0.71,0.1,0.4,0.71,0.71,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.71,15.5,18.0,26.0,87
102208056,0.71,0.71,0.8,0.71,0.2,0.2,0.71,0.78,0.71,0.71,0.71,0.5,0.71,0.71,0.71,0.71,0.71,0.1,15.5,15.0,25.5,83
102208055,0.71,0.71,0.71,0.8,0.71,0.4,0.71,0.71,0.71,0.71,0.76,0.76,0.71,0.71,0.71,0.71,0.71,0.76,14.0,16.0,33.0,90
