TA_video,TA_text,Teacher_video,Teacher_text,id,week
0.0,0.0,0.0,0.0,100401044.0,week9
0.0,0.0,0.0,0.0,100401044.0,week10
0.0,0.0,0.0,0.0,100401044.0,week11
221.7333333333333,0.5166666666666667,0.0,77.95,100401044.0,week12
0.0,0.0,0.0,0.0,100401044.0,week13
0.0,0.0,0.0,0.0,100401044.0,week14
0.0,0.0,0.0,0.0,100401044.0,week15
0.0,0.0,0.0,0.0,100401044.0,week16
0.0,15.766666666666667,0.0,69.08333333333333,100401044.0,week17
82.15,0.6666666666666666,0.0,0.0,100401044.0,week18
0.0,0.0,0.0,0.0,100401072.0,week1
0.0,0.0,0.0,0.0,100401072.0,week2
0.0,0.0,0.0,0.8,100401072.0,week3
0.0,0.8666666666666667,0.0,0.0,100401072.0,week4
0.0,0.0,0.0,4.766666666666667,100401072.0,week5
0.0,0.0,76.55,0.0,100401072.0,week6
0.0,0.0,0.0,1.75,100401072.0,week7
0.0,0.0,0.0,0.0,100401072.0,week8
0.0,0.0,15.75,0.6,100401072.0,week9
0.0,0.0,0.0,3.1166666666666667,100401072.0,week10
0.0,4.8,114.55,0.0,100401072.0,week11
170.63333333333333,16.066666666666666,65.4,3.983333333333333,100401072.0,week12
0.0,0.0,0.0,0.0,100401072.0,week13
0.0,0.0,0.0,1.2333333333333334,100401072.0,week14
105.45,1.2666666666666666,0.0,1.45,100401072.0,week15
0.0,0.0,0.0,0.8666666666666667,100401072.0,week16
0.0,0.0,0.0,170.98333333333332,100401072.0,week17
60.38333333333333,8.05,0.0,6.6,100401072.0,week18
0.0,0.0,0.0,0.0,100508018.0,week1
0.0,0.0,0.0,0.7166666666666667,100508018.0,week2
0.0,13.433333333333335,0.0,0.6666666666666666,100508018.0,week3
0.0,5.6,0.8,3.933333333333333,100508018.0,week4
0.0,0.0,0.0,44.55,100508018.0,week5
0.0,0.0,0.0,0.6666666666666666,100508018.0,week6
0.0,0.0,0.0,0.6666666666666666,100508018.0,week7
0.0,0.0,0.0,0.0,100508018.0,week8
0.6166666666666667,0.0,0.0,0.0,100508018.0,week9
0.0,0.0,0.0,1.7666666666666666,100508018.0,week10
2.75,0.8166666666666667,0.0,0.0,100508018.0,week11
0.0,1.4833333333333334,0.0,0.0,100508018.0,week12
0.0,0.0,0.0,0.0,100508018.0,week13
0.0,0.0,0.0,0.0,100508018.0,week14
0.0,0.0,0.0,0.0,100508018.0,week15
0.0,0.0,0.0,26.41666666666667,100508018.0,week16
0.0,0.0,0.0,137.96666666666667,100508018.0,week17
0.0,0.0,0.0,0.0,100508018.0,week18
0.0,0.0,0.0,0.0,101101050.0,week1
0.0,0.0,1.1166666666666667,1.1166666666666667,101101050.0,week2
0.0,0.0,0.0,2.1666666666666665,101101050.0,week3
0.0,0.0,0.0,0.0,101101050.0,week4
0.0,0.0,0.0,0.0,101101050.0,week5
0.0,0.0,0.0,0.0,101101050.0,week6
0.0,0.0,0.0,2.55,101101050.0,week7
0.0,0.0,0.0,0.0,101101050.0,week8
0.0,0.0,0.0,2.3666666666666667,101101050.0,week9
0.0,0.0,0.0,0.0,101101050.0,week10
0.0,0.0,0.0,1.1166666666666667,101101050.0,week11
0.0,0.0,0.0,0.0,101101050.0,week12
0.0,0.0,0.0,0.0,101101050.0,week13
0.0,0.0,0.0,0.0,101101050.0,week14
0.0,0.0,0.0,0.7166666666666667,101101050.0,week15
0.0,0.0,0.0,0.0,101101050.0,week16
0.0,0.0,0.0,0.0,101101050.0,week17
0.0,0.0,0.0,0.0,101101050.0,week18
0.0,0.0,0.0,0.0,101102025.0,week1
0.0,0.0,0.0,0.0,101102025.0,week2
0.0,0.0,0.0,1.2333333333333334,101102025.0,week3
0.0,0.0,0.0,5.216666666666667,101102025.0,week4
0.0,0.0,0.0,25.78333333333333,101102025.0,week5
0.0,0.0,0.0,47.13333333333333,101102025.0,week6
0.0,0.0,0.0,0.55,101102025.0,week7
0.0,0.0,0.0,27.48333333333333,101102025.0,week8
0.0,0.0,0.0,0.65,101102025.0,week9
0.0,0.5166666666666667,0.0,0.0,101102025.0,week10
0.0,0.0,0.0,0.0,101102025.0,week11
0.0,0.0,0.0,7.033333333333332,101102025.0,week12
0.0,0.0,0.0,0.0,101102025.0,week13
0.0,0.0,0.0,0.9166666666666666,101102025.0,week14
0.0,0.0,0.0,0.0,101102025.0,week15
0.0,0.0,0.0,0.5666666666666667,101102025.0,week16
0.0,1.05,0.0,0.0,101102025.0,week17
0.0,20.0,0.0,0.0,101102025.0,week18
0.0,0.0,0.0,0.0,101102026.0,week1
0.0,0.0,0.0,0.0,101102026.0,week2
0.0,0.0,0.0,1.0666666666666669,101102026.0,week3
0.0,0.0,0.0,0.0,101102026.0,week4
0.0,0.0,0.0,0.0,101102026.0,week5
0.0,0.0,1.4333333333333331,11.333333333333336,101102026.0,week6
0.0,0.0,0.0,0.0,101102026.0,week7
0.0,0.0,0.0,0.0,101102026.0,week8
0.0,0.0,0.0,0.0,101102026.0,week9
0.0,0.0,0.0,0.0,101102026.0,week10
0.0,0.0,0.0,0.0,101102026.0,week11
0.0,0.0,44.6,8.616666666666667,101102026.0,week12
0.0,0.0,0.0,0.0,101102026.0,week13
0.0,0.0,0.0,0.0,101102026.0,week14
0.0,0.0,0.0,0.0,101102026.0,week15
0.0,0.0,0.0,0.0,101102026.0,week16
0.0,0.0,0.0,0.0,101102026.0,week17
0.0,0.0,0.0,2.55,101102026.0,week18
0.0,0.0,0.0,0.0,101103034.0,week1
0.0,0.0,0.0,0.0,101103034.0,week2
0.0,0.0,0.0,0.0,101103034.0,week3
0.0,0.0,0.0,0.0,101103034.0,week4
0.0,0.0,0.0,0.0,101103034.0,week5
0.0,0.0,0.0,0.5333333333333333,101103034.0,week6
0.0,0.0,0.0,0.0,101103034.0,week7
0.0,0.8,0.0,0.0,101103034.0,week8
48.75,0.6666666666666666,0.65,0.9833333333333332,101103034.0,week9
0.0,0.0,0.0,0.0,101103034.0,week10
0.0,0.0,0.0,0.55,101103034.0,week11
8.283333333333333,51.11666666666667,3.733333333333333,0.0,101103034.0,week12
0.0,0.0,0.0,0.0,101103034.0,week13
0.0,0.0,0.0,0.0,101103034.0,week14
0.0,0.0,0.0,0.0,101103034.0,week15
0.0,0.0,0.0,0.0,101103034.0,week16
0.0,0.0,0.0,0.7166666666666667,101103034.0,week17
0.0,6.416666666666668,0.0,39.88333333333333,101103034.0,week18
0.0,0.0,0.0,0.0,101203004.0,week1
0.0,0.0,0.0,0.0,101203004.0,week2
0.0,0.0,0.0,0.0,101203004.0,week3
0.0,0.0,0.0,0.0,101203004.0,week4
0.0,0.0,0.0,0.6333333333333333,101203004.0,week5
0.0,0.0,0.0,0.0,101203004.0,week6
0.0,0.0,0.0,0.0,101203004.0,week7
0.0,0.0,0.0,0.0,101203004.0,week8
0.0,0.0,0.0,2.85,101203004.0,week9
0.0,0.0,0.0,0.0,101203004.0,week10
0.0,0.6,0.0,0.0,101203004.0,week11
0.0,0.0,0.0,0.0,101203004.0,week12
0.0,0.0,0.0,0.0,101203004.0,week13
0.0,0.0,0.0,0.0,101203004.0,week14
