,PERIOD,CUSTOMER_NUM,AR_AMT,CURRENT_AMT,P1_1-30_amt,P2_31-60_amt,P3_61-90_amt,P4_91-120_amt,P5_121-150_amt,P6_151-180_amt,P7_over180_amt,refund
91,201610,100579,3653.45,3653.45,0,0,0,0,0,0,0,0
92,201611,100579,2210.33,2210.33,0,0,0,0,0,0,0,0
93,201612,100579,1457.25,1457.25,0,0,0,0,0,0,0,0
94,201701,100579,2036.6,2036.6,0,0,0,0,0,0,0,0
95,201702,100579,545.71,545.71,0,0,0,0,0,0,0,0
96,201703,100579,1269.09,1269.09,0,0,0,0,0,0,0,0
97,201704,100579,718.68,718.68,0,0,0,0,0,0,0,0
98,201601,100666,612.37,612.37,0,0,0,0,0,0,0,0
99,201604,100666,1886.84,1886.84,0,0,0,0,0,0,0,0
100,201605,100666,1198.53,1198.53,0,0,0,0,0,0,0,0
101,201606,100666,901.29,901.29,0,0,0,0,0,0,0,0
102,201607,100666,3140.68,3140.68,0,0,0,0,0,0,0,0
103,201608,100666,3290.5,3290.5,0,0,0,0,0,0,0,0
104,201609,100666,1768.62,1768.62,0,0,0,0,0,0,0,0
105,201610,100666,2914.32,2914.32,0,0,0,0,0,0,0,0
106,201611,100666,616.97,616.97,0,0,0,0,0,0,0,0
107,201612,100666,4177.44,4177.44,0,0,0,0,0,0,0,0
108,201701,100666,1124.83,1124.83,0,0,0,0,0,0,0,0
109,201702,100666,4203.45,4203.45,0,0,0,0,0,0,0,0
110,201703,100666,1693.55,1693.55,0,0,0,0,0,0,0,0
111,201704,100666,5846.23,5846.23,0,0,0,0,0,0,0,0
112,201705,100666,6150.79,6150.79,0,0,0,0,0,0,0,0
113,201706,100666,1000.91,1000.91,0,0,0,0,0,0,0,0
114,201601,100820,25327.8,16389.66,1615.03,7323.11,0,0,0,0,0,0
115,201602,100820,33949,18847.06,5829.85,1676.06,7596.03,0,0,0,0,0
116,201603,100820,50365.66,32256.6,5888.12,2948.85,1676.06,7596.03,0,0,0,0
117,201604,100820,54212.64,25965.32,13085.31,2941.07,2948.85,1676.06,7596.03,0,0,0
118,201605,100820,42967.97,18792.32,6776.69,2236.95,2941.07,2948.85,1676.06,7596.03,0,0
119,201606,100820,50267.19,16507.89,11893.11,6704.18,0,2941.07,2948.85,1676.06,7596.03,0
120,201607,100820,30401.23,15239.22,0,0,0,0,2941.07,2948.85,9272.09,0
121,201608,100820,36867.43,19646.74,2058.68,0,0,0,0,2941.07,12220.94,0
122,201609,100820,46791.26,21849.97,7718.16,2061.12,0,0,0,0,15162.01,0
123,201610,100820,53258.82,38096.81,0,0,0,0,0,0,15162.01,0
124,201611,100820,65141.61,49979.6,0,0,0,0,0,0,15162.01,0
125,201612,100820,62285.54,47123.53,0,0,0,0,0,0,15162.01,0
126,201701,100820,82590.19,67428.18,0,0,0,0,0,0,15162.01,0
127,201702,100820,102341.92,61442.08,25737.83,0,0,0,0,0,15162.01,0
128,201703,100820,64413.03,49251.02,0,0,0,0,0,0,15162.01,0
129,201704,100820,72040.78,38969.51,17909.26,0,0,0,0,0,15162.01,0
130,201705,100820,73843.63,22826.48,17628.73,18226.41,0,0,0,0,15162.01,0
131,201706,100820,25170.14,795.51,9212.62,0,0,0,0,0,15162.01,0
132,201601,100859,1729.42,1729.42,0,0,0,0,0,0,0,0
133,201602,100859,797.62,797.62,0,0,0,0,0,0,0,0
134,201603,100859,733.79,0,0,733.79,0,0,0,0,0,0
135,201604,100859,214.95,214.95,0,0,0,0,0,0,0,0
136,201605,100859,352.8,352.8,0,0,0,0,0,0,0,0
137,201606,100859,1065.07,1065.07,0,0,0,0,0,0,0,0
138,201607,100859,1065.14,1065.14,0,0,0,0,0,0,0,0
139,201601,10087,674.3,674.3,0,0,0,0,0,0,0,0
140,201602,10087,665.88,665.88,0,0,0,0,0,0,0,0
141,201603,10087,266.21,266.21,0,0,0,0,0,0,0,0
142,201604,10087,492.71,492.71,0,0,0,0,0,0,0,0
143,201605,10087,224.65,224.65,0,0,0,0,0,0,0,0
144,201606,10087,724.77,724.77,0,0,0,0,0,0,0,0
145,201607,10087,503.29,503.29,0,0,0,0,0,0,0,0
146,201608,10087,731.44,731.44,0,0,0,0,0,0,0,0
147,201609,10087,225.06,225.06,0,0,0,0,0,0,0,0
148,201611,10087,124.6,124.6,0,0,0,0,0,0,0,0
149,201612,10087,123.13,123.13,0,0,0,0,0,0,0,0
150,201704,100940,394,394,0,0,0,0,0,0,0,0
151,201601,10107,653.6,653.6,0,0,0,0,0,0,0,0
152,201602,10107,2054.49,2054.49,0,0,0,0,0,0,0,0
153,201603,10107,1739.45,1739.45,0,0,0,0,0,0,0,0
154,201604,10107,1735.42,1735.42,0,0,0,0,0,0,0,0
155,201605,10107,304.73,304.73,0,0,0,0,0,0,0,0
156,201606,10107,960.16,960.16,0,0,0,0,0,0,0,0
157,201607,10107,908.06,908.06,0,0,0,0,0,0,0,0
158,201608,10107,646.84,646.84,0,0,0,0,0,0,0,0
159,201609,10107,1219.64,1219.64,0,0,0,0,0,0,0,0
160,201610,10107,696.32,696.32,0,0,0,0,0,0,0,0
161,201611,10107,227.76,227.76,0,0,0,0,0,0,0,0
162,201612,10107,935.72,935.72,0,0,0,0,0,0,0,0
163,201701,10107,828.3,828.3,0,0,0,0,0,0,0,0
164,201702,10107,989.36,989.36,0,0,0,0,0,0,0,0
165,201703,10107,600.49,600.49,0,0,0,0,0,0,0,0
166,201704,10107,742.08,742.08,0,0,0,0,0,0,0,0
167,201705,10107,845.86,845.86,0,0,0,0,0,0,0,0
168,201706,10107,239.07,239.07,0,0,0,0,0,0,0,0
169,201601,101139,8504367.84,8499290.93,15737.5,-2890,-4857.59,-2913,0,0,0,0
170,201602,101139,7410937.41,7447169.32,10455.59,0,0,0,-46687.5,0,0,0
171,201603,101139,6896156.06,6895659.82,16840,-8604.54,0,-2890,-4849.22,0,0,0
172,201604,101139,6286444.64,6174361.82,123581.58,0,-8604.54,0,-2890,-4.22,0,0
173,201605,101139,5690242.33,5698851.11,0,-0.02,0,0,-8604.54,0,-4.22,0
174,201606,101139,5538534.99,5555343.67,-16804.44,0,-0.02,0,0,0,-4.22,0
175,201607,101139,6348162.16,6356947.85,-8781.45,0,0,-0.02,0,0,-4.22,0
176,201608,101139,6774271.16,6851233.47,-68085,-8873.07,0,0,-0.02,0,-4.22,0
177,201609,101139,7646549.7,7655427.01,0,0,-8873.07,0,0,-0.02,-4.22,0
178,201610,101139,7978825.3,7987697.69,0,0,0,-8872.39,0,0,0,0
179,201611,101139,8468376.65,8458519.04,11770,0,0,0,-1912.39,0,0,0
180,201612,101139,9427736.39,9428257.66,0,0,0,0,0,-521.27,0,0
181,201701,101139,8699622.53,8700143.8,0,0,0,0,0,0,-521.27,0
182,201702,101139,7828356.96,7834920.03,-6041.8,0,0,0,0,0,-521.27,0
183,201703,101139,8230051.14,8083947.77,152549.54,-5924.9,0,0,0,0,-521.27,0
184,201704,101139,7656115.77,7648871.62,13808.99,0,-6043.57,0,0,0,-521.27,0
185,201705,101139,8257615.28,8264061.45,0,0,0,-5924.9,0,0,-521.27,0
186,201706,101139,7578524.05,7579620.32,-575,0,0,0,0,0,-521.27,0
