id,TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18
101208008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,482,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,2897,0
101208015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15036,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19260,0,0,0,12321,0
101208017,0,0,0,0,0,0,7595,0,0,0,0,0,0,0,0,0,2540,0,63,0,0,132,0,0,0,0,0,0,0,0,0,80,0,0,0,0,156,198,3325,39,0,0,8188,0,0,0,0,0,0,0,0,0,31,1842,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3326,0
101208026,0,0,0,0,0,0,0,21601,0,0,0,21601,0,0,0,0,0,0,0,0,2336,13720,652,0,0,0,0,0,0,0,0,53,602,0,7044,54,0,0,0,0,354,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,11864,0,371,0,83,0,0,0
101208030,0,0,0,0,0,180,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,198,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
101208031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2349,73,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,34162,0,24498,0,129,0
101208034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,36,8359,0,0,0,0,173,0,0,0,160,0,0,0,0,0,0,2291,0,0,0,0,0
101208050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,0,0,0,1959,23883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8434,0,3731,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,32,0,0,11044,37
101208052,0,0,0,0,0,100,0,41,0,0,0,0,0,0,0,0,0,0,0,41,0,50,15807,2123,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,35282,0,0,0,0,112,0,0,0,594,0,0,0,37,0,0,122,0,0,0,0,0,0,0,83,100,0,0,28573,0
101208053,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,135,0,0,0,0,1026,0,2749,0,0,35,68,71,0,0,0,330,0,54,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2113,0,7682,41,92,3980,171,12886,0,0,0,0,0,0,0,0,0,0,0,0
101208054,0,0,0,482,0,0,0,0,0,0,0,90,0,0,0,55,0,0,0,0,0,0,5009,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,95,0,9889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,0
101208055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13135,0,120,0,171,169,0,0,192,0,0,0,0,61,0,0,49,0,33,0,21654,0,33,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,11805,0,4663,0,161,0,0,0
101208056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36151,497,0,0,16798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42728,220,0,0,17196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34482,0,0,0,0,0
101208058,0,0,0,0,0,0,9259,0,0,0,0,55,0,0,0,0,0,0,0,0,3336,0,15035,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3169,0,41613,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,5937,0
