id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,Exam1,Exam2,Final,semester
101208087,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.51,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,9.0,9.0,19.0,55
102205089,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.642,0.6464,0.6461,0.6461,0.6461,0.6461,0.645,18.5,14.0,35.5,91
101208066,0.6461,0.6461,0.6461,0.645,0.645,0.6461,0.6461,0.6461,0.6465,0.6461,0.6465,0.6461,0.6463,0.6463,0.6461,0.6463,0.33,0.6461,14.5,15.0,23.0,77
101208030,0.6461,0.642,0.6464,0.6461,0.6461,0.6461,0.6464,0.6461,0.6461,0.642,0.6461,0.6461,0.6463,0.642,0.6464,0.6461,0.6461,0.6461,22.5,23.5,33.5,99
102208075,0.6461,0.6461,0.6461,0.61,0.6463,0.45,0.6463,0.6461,0.6461,0.6461,0.6461,0.66,0.6461,0.6461,0.6461,0.6461,0.6461,0.51,10.0,10.0,24.0,74
102205037,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.642,0.631,0.51,0.6461,0.6461,0.6461,0.6461,0.642,0.652,15.0,7.5,18.0,66
102104031,0.6461,0.6461,0.6465,0.6463,0.632,0.6461,0.6461,0.6464,0.632,0.642,0.6465,0.66,0.6461,0.6463,0.6559999999999999,0.6461,0.6461,0.364,17.0,13.0,25.5,83
101208085,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6466,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,14.0,12.0,16.5,71
101208069,0.6461,0.6461,0.644,0.631,0.6466,0.644,0.6461,0.45,0.645,0.6463,0.6463,0.66,0.6462,0.6461,0.6461,0.6464,0.365,0.6409999999999999,15.5,17.5,28.5,89
102208088,0.6461,0.6461,0.6461,0.6461,0.6461,0.34,0.6461,0.6462,0.6461,0.6461,0.6461,0.652,0.6461,0.6461,0.6461,0.6461,0.6461,0.55,10.0,7.5,7.0,56
102208081,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6461,0.6465,0.6461,0.645,0.6461,0.6461,0.6461,0.6461,0.6461,0.6463,0.6461,0.6409999999999999,20.0,12.5,21.0,81
102208058,0.6461,0.6461,0.6461,0.6461,0.6461,0.644,0.6461,0.6461,0.6461,0.6461,0.6461,0.6509999999999999,0.6461,0.6461,0.6461,0.6461,0.6461,0.54,4.0,4.0,2.0,33
