id,video_week1,text_week1,video_week2,text_week2,video_week3,text_week3,video_week4,text_week4,video_week5,text_week5,video_week6,text_week6,video_week7,text_week7,video_week8,text_week8,video_week9,text_week9,video_week10,text_week10,video_week11,text_week11,video_week12,text_week12,video_week13,text_week13,video_week14,text_week14,video_week15,text_week15,video_week16,text_week16,video_week17,text_week17,video_week18,text_week18
100101021,0,0,0,156,0,198,0,208,0,176,68,478,0,192,0,92,0,184,0,166,0,168,1808,0,0,170,0,578,0,256,0,596,4616,0,0,0
100104041,0,0,0,126,0,0,0,0,0,78,0,0,0,750,0,0,6530,2748,0,3886,136,2520,0,0,0,406,0,238,0,234,0,286,0,0,0,14156
100202044,0,0,0,0,0,83,0,1231,0,55,0,0,0,39,0,0,0,122,0,0,0,1832,62,3834,0,0,0,43,0,115,0,0,0,0,0,14667
100206009,0,0,0,0,1055,0,0,0,806,0,5227,0,0,0,0,977,0,0,0,0,0,0,1963,36,0,286,0,56,737,0,0,94,0,91,0,378
100208053,0,0,0,329,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,4328,0,0,0,0,73,0,64,0,0,0,548,0,0
100401044,0,0,0,0,0,174,0,0,0,0,6846,115,0,140,576,0,0,0,0,0,0,0,13304,4708,0,0,0,0,0,0,0,0,0,5091,4929,40
100401072,0,0,0,0,0,48,0,52,0,286,4593,0,0,105,0,0,945,36,0,187,6873,288,14162,1203,0,0,0,74,6327,163,0,52,0,10259,3623,879
100508018,0,0,0,43,0,846,48,572,0,2673,0,40,0,40,0,0,37,0,0,106,165,49,0,89,0,0,0,0,0,0,0,1585,0,8278,0,0
101101050,0,0,67,67,0,130,0,0,0,0,0,0,0,153,0,0,0,142,0,0,0,67,0,0,0,0,0,0,0,43,0,0,0,0,0,0
101102025,0,0,0,0,0,74,0,313,0,1547,0,2828,0,33,0,1649,0,39,0,31,0,0,0,422,0,0,0,55,0,0,0,34,0,63,0,1200
101102026,0,0,0,0,0,64,0,0,0,0,86,680,0,0,0,0,0,0,0,0,0,0,2676,517,0,0,0,0,0,0,0,0,0,0,0,153
101103034,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,48,2964,99,0,0,0,33,721,3067,0,0,0,0,0,0,0,0,0,43,0,2778
101203004,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,171,0,0,0,36,0,0,0,0,0,0,0,82,0,0,0,0,0,0
101203054,0,0,0,0,0,0,7951,0,0,0,0,49,0,0,0,0,0,1055,0,0,0,73,21225,0,0,0,0,0,0,0,0,0,0,0,0,0
101204026,0,0,0,281,0,81,0,4263,0,251,0,0,0,0,0,0,0,194,0,0,21800,138,727,0,0,1940,0,160,0,0,0,0,0,0,21601,0
101205029,0,0,0,232,1546,202,0,0,0,97,0,3262,36,35,0,0,761,0,0,199,6498,0,2481,2899,0,0,5908,60,2512,0,0,50,0,33,0,0
101205043,0,39,0,0,0,0,0,0,0,0,7940,0,0,0,0,0,0,993,0,0,0,0,225,34,0,140,0,0,0,0,0,0,0,0,10749,429
101205093,0,0,0,53,0,0,0,1656,0,246,0,345,0,0,0,0,0,0,0,41,5626,104,5767,32645,0,994,0,140,874,0,0,0,0,0,25625,0
101208002,0,0,0,1350,0,1889,0,0,0,5851,97,0,0,0,0,0,0,0,0,0,0,0,2998,213,0,0,0,0,0,0,0,1019,0,0,0,0
101208003,0,0,0,0,0,0,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0
101208004,0,0,0,38,0,0,0,156,0,54,0,188,0,0,0,0,0,0,0,0,0,0,3424,0,0,36,0,71,0,0,0,0,0,0,0,0
101208005,0,0,0,0,0,0,0,0,0,3539,0,0,0,0,0,41,0,0,0,0,0,0,1237,955,0,0,0,0,0,0,1162,0,0,0,0,98
101208008,0,0,0,0,0,0,0,0,0,390,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0
101208013,0,0,0,0,0,0,0,0,0,370,0,42,0,0,0,0,0,0,0,0,0,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0
101208015,0,0,0,0,0,0,0,0,0,1199,1574,757,0,0,0,0,0,0,0,0,0,0,20903,106,0,0,0,0,0,0,0,0,0,0,2144,357
101208017,0,0,0,0,31,982,0,629,12878,208,0,934,0,47,0,0,0,0,0,0,0,0,11063,84,0,0,0,60,0,0,0,0,0,0,1502,531
101208025,0,0,0,0,0,1323,0,1897,0,0,14185,723,0,55,0,0,0,0,0,0,0,6619,0,11195,0,0,0,0,0,0,0,0,0,0,0,2488
101208031,0,0,0,0,0,0,0,336,185,0,1487,513,0,0,0,153,4383,2962,0,0,0,48,0,0,0,0,0,0,63,0,0,0,0,0,0,0
101208034,0,0,0,67,0,51,0,0,144,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
101208050,0,0,0,0,115,1357,0,0,0,0,25587,0,0,154,0,0,0,0,0,0,0,0,26342,36,0,0,0,0,0,0,0,0,0,0,285,0
101208052,0,0,0,165,0,162,0,0,299,91,4630,4114,0,92,0,0,0,203,0,3434,0,117,37684,0,0,214,0,331,0,114,0,0,0,55,0,773
101208053,0,0,0,135,0,73,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,35,0,0,0,129,0,2617,0,0,0,7688,0,0,0,0
101208054,0,0,0,0,0,0,0,0,6162,206,2413,1878,0,51,0,0,0,72,0,73,0,0,11692,374,0,0,0,50,0,77,0,0,0,0,0,0
