id,TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18,TA_video_week19,TA_text_week19,Teacher_video_week19,Teacher_text_week19,TA_video_week20,TA_text_week20,Teacher_video_week20,Teacher_text_week20,TA_video_week21,TA_text_week21,Teacher_video_week21,Teacher_text_week21,TA_video_week22,TA_text_week22,Teacher_video_week22,Teacher_text_week22,TA_video_week23,TA_text_week23,Teacher_video_week23,Teacher_text_week23,TA_video_week24,TA_text_week24,Teacher_video_week24,Teacher_text_week24,TA_video_week25,TA_text_week25,Teacher_video_week25,Teacher_text_week25,TA_video_week26,TA_text_week26,Teacher_video_week26,Teacher_text_week26,TA_video_week27,TA_text_week27,Teacher_video_week27,Teacher_text_week27,TA_video_week28,TA_text_week28,Teacher_video_week28,Teacher_text_week28,TA_video_week29,TA_text_week29,Teacher_video_week29,Teacher_text_week29,TA_video_week30,TA_text_week30,Teacher_video_week30,Teacher_text_week30,TA_video_week31,TA_text_week31,Teacher_video_week31,Teacher_text_week31,TA_video_week32,TA_text_week32,Teacher_video_week32,Teacher_text_week32,TA_video_week33,TA_text_week33,Teacher_video_week33,Teacher_text_week33,TA_video_week34,TA_text_week34,Teacher_video_week34,Teacher_text_week34,TA_video_week35,TA_text_week35,Teacher_video_week35,Teacher_text_week35,TA_video_week36,TA_text_week36,Teacher_video_week36,Teacher_text_week36
100101021,0,0,0,0,0,0,9,94,28,60,5,44,0,8,0,104,0,88,0,20,34,0,8,257,0,49,0,47,0,0,0,46,0,53,0,39,0,34,0,49,0,41,0,43,0,0,904,0,0,38,6,47,0,254,0,35,0,89,0,39,0,0,0,307,0,0,2308,65,0,0,0,0,0,0,0,0,0,88,0,131,0,0,0,0,0,81,0,64,0,0,0,80,0,0,0,0,0,0,0,68,39,39,0,38,0,0,0,0,3118,0,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
100104041,0,0,0,0,0,0,0,88,0,23,0,16,0,0,0,13,0,13,0,53,0,0,0,0,0,0,0,375,0,12,0,30,0,49,3265,1394,0,16,0,1960,0,662,68,637,0,8,7,5,0,203,0,10,0,7,0,119,0,98,0,80,0,111,0,32,0,0,0,12,0,32,0,7089,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,0,0,118,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,79,0,0,9341,0,0,0,0,0
100202044,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,1231,0,0,0,61,0,0,0,0,0,0,0,39,0,0,0,24,0,0,0,122,0,0,0,10,0,1832,0,9,0,6,62,3871,0,0,0,7,0,0,0,43,0,0,0,123,0,0,0,37,0,0,0,0,0,0,0,14667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0,0,0,0,0,0,0,0,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6526,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,7428
100206009,0,0,0,0,0,0,0,0,0,0,1055,20,0,0,0,0,0,0,806,16,3462,0,1818,0,0,0,0,0,0,946,0,89,0,0,0,0,0,6,0,9,0,0,0,0,1738,0,225,102,0,8,0,286,0,0,0,73,737,0,0,17,0,0,0,94,0,0,0,91,11,245,0,133,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13296,0,2179,60,19456,0,0,0,0,0,579,0,17014,0,0,0,21601,0,0,0,1906,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,26826,0
100401044,0,0,0,0,0,0,0,0,0,127,6,101,0,0,0,0,0,0,0,23,3553,43,3293,146,0,140,0,14,5,8,576,44,0,0,0,0,0,0,0,0,0,0,0,0,13304,63,0,4720,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,946,0,4180,4991,40,0,0,0,0,0,0,5662,0,735,0,0,0,0,0,0,0,195,129,237,0,1668,18992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,40,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11509,0,970,941,874,0,1837,0
100401072,0,0,0,0,0,0,0,0,0,16,0,79,0,52,21,37,0,27,0,286,0,0,4607,0,0,5,0,105,0,0,0,0,0,26,945,86,0,25,0,208,0,288,6873,79,10261,991,3924,289,0,0,0,0,0,27,0,156,6327,76,0,95,0,0,0,68,0,5,0,10271,3629,543,6,420,0,0,0,0,126,43,6634,0,0,0,0,0,0,89,0,0,422,0,0,343,0,0,0,0,0,0,25302,3892,0,0,0,0,0,0,0,0,0,3558,13674,170,525,91,1119,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,646,505,9214,706
100508018,0,0,0,0,0,19,15,60,12,815,0,40,22,344,48,242,0,0,0,2688,0,0,0,40,0,0,0,40,0,0,0,10,42,8,5,37,0,0,0,106,220,69,0,31,23,109,6,43,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,1615,0,0,0,8314,6,0,0,10,0,0,0,262,81,51,3214,33,0,0,7583,173,0,0,0,0,0,0,57,36,0,0,4274,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,308,0,0,33329,0,0,0,0,0
101101050,0,0,0,0,0,14,67,73,0,0,0,130,0,0,0,9,0,0,0,27,0,0,0,0,0,0,0,160,0,0,0,8,0,0,0,142,0,0,0,14,0,0,0,83,0,0,0,0,0,0,0,24,0,0,0,17,0,0,0,43,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,149,0,82,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,439,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
101102025,0,0,0,0,0,9,0,17,0,19,0,74,0,0,0,328,0,0,0,1547,0,0,10,2828,0,0,0,38,0,5,0,1684,0,5,0,39,0,38,0,36,0,0,0,21,0,0,0,436,0,0,0,0,0,0,0,89,0,84,0,11,0,6,0,45,0,63,0,9,0,1200,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,4034,81,0,0,5484,206,0,0,0,0,0,0,0,0,0,0,0,31,0,0,496,192,0,0,48,118,63,0,0,43,0,0,0,53,0,0,0,0,0,0,3653,96,0,0,0,40,0,0,0,77,0,0,1668,0,0,0,0,0
101102026,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,29,0,0,0,54,0,7,86,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2676,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,4164,167,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,828,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4424,0,0,0,0
