id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,original,semester
102208034,782,787,782,782,782,782,782,782,782,782,782,640,782,782,782,782,782,770,40,63.6,76
102208032,782,784,782,782,782,460,782,782,782,782,782,110,782,782,782,782,782,110,12,56.0,68
102208030,782,780,782,789,470,430,220,930,740,780,630,782,780,730,770,782,710,780,40,70.2,83
102208029,782,785,740,750,470,260,782,780,780,789,620,550,780,780,780,780,780,782,36,89.7,99
102208024,782,782,220,784,782,760,782,782,760,782,782,770,782,782,782,782,782,770,36,86.4,99
102208023,782,780,782,750,720,760,782,785,770,782,789,760,782,782,782,782,782,782,35,87.2,99
102208022,782,789,760,784,782,480,785,730,789,782,730,640,780,789,780,782,782,550,32,78.9,91
102208021,782,785,782,782,782,782,782,782,782,360,782,782,785,782,785,782,782,785,40,71.6,84
102208018,782,782,782,782,785,782,782,785,782,782,782,782,785,782,785,782,782,785,32,81.7,94
102208017,782,730,780,782,782,782,780,785,780,730,730,520,730,782,780,782,782,620,34,76.4,90
102208014,782,782,785,120,470,782,782,784,782,787,780,340,782,785,782,782,782,770,11,56.7,70
102208010,782,789,780,450,760,740,784,784,782,940,780,520,780,770,785,782,785,640,33,82.4,95
102208007,782,785,784,789,782,850,782,720,785,720,784,620,782,785,785,782,782,560,14,53.7,66
102208006,782,780,782,789,782,770,782,782,780,782,630,782,780,780,782,782,785,620,31,76.9,90
102208005,782,782,785,782,782,782,782,782,782,782,782,782,782,782,782,782,782,780,12,53.6,66
102208004,782,782,260,782,760,430,782,260,784,782,850,750,782,710,750,782,710,710,36,93.7,99
102208002,782,782,782,782,780,720,782,782,784,785,785,789,782,785,782,782,782,730,14,55.8,68
102208001,782,789,784,710,260,450,782,760,785,782,782,780,782,782,782,782,782,782,32,79.3,92
102205095,782,785,787,782,784,782,784,785,782,780,789,782,780,787,780,782,780,782,36,87.2,99
102205092,782,782,789,787,230,260,780,787,780,782,780,720,789,780,784,780,782,470,40,74.7,87
102205081,782,782,787,782,782,782,782,782,782,782,782,640,782,782,782,782,782,770,13,49.7,62
102205051,782,782,710,782,785,785,782,785,782,782,760,770,782,782,782,782,550,570,13,47.6,60
102205033,782,785,782,780,782,782,780,782,780,782,780,520,782,780,780,780,782,770,40,59.5,72
102205030,782,785,785,782,260,360,782,785,785,784,785,782,782,782,782,782,784,220,15,49.5,62
102205024,782,785,789,785,782,784,782,785,750,780,785,782,780,784,782,782,782,782,36,91.3,99
102205022,782,782,830,780,782,120,782,710,780,782,780,785,782,782,782,782,782,770,16,43.6,56
102205020,782,782,730,220,782,110,782,785,782,782,782,230,782,782,782,782,782,550,12,52.3,65
102205017,782,784,750,787,750,780,730,782,785,750,782,785,730,785,782,750,782,782,33,84.9,97
102103012,782,730,780,785,110,290,789,560,860,787,782,770,780,780,782,782,782,520,40,60.0,72
101502012,782,784,789,785,760,760,785,780,789,784,780,787,782,782,780,785,782,750,35,83.7,96
101401042,782,782,785,782,782,470,784,782,782,782,782,450,782,782,782,782,784,782,15,46.8,60
101302049,782,782,785,782,782,787,782,784,782,782,787,750,780,782,782,782,750,280,20,37.0,49
101209037,782,782,785,780,450,440,780,785,780,787,710,490,784,782,750,782,230,740,40,63.2,76
101208094,782,782,782,787,782,450,220,782,782,789,789,770,784,782,789,789,782,720,40,60.5,73
101208091,782,789,720,730,750,220,782,782,720,782,760,782,782,782,782,782,782,782,34,76.5,90
101208090,782,780,785,782,750,260,785,260,220,787,785,660,785,782,782,782,850,782,36,91.6,99
101208084,782,780,470,782,782,450,782,782,782,785,782,782,782,782,782,782,782,782,40,70.7,83
101208082,782,730,782,784,470,460,782,785,782,782,730,640,782,730,787,782,782,770,40,72.1,85
101208080,782,782,780,780,787,782,782,782,782,750,785,785,782,782,780,787,785,570,36,86.3,99
101208079,782,750,730,250,782,782,782,782,785,780,785,787,789,785,784,782,750,787,34,76.9,89
101208078,782,785,789,782,785,760,782,782,785,782,750,760,782,782,782,782,782,784,14,55.0,67
101208070,782,782,780,780,785,782,780,782,782,782,730,782,785,782,782,782,782,782,32,79.8,92
101208065,782,784,782,782,782,782,782,782,782,782,782,785,782,782,782,782,782,782,36,87.4,99
101208064,782,785,780,787,260,782,784,780,785,785,460,782,785,782,720,782,784,782,40,61.4,74
101208062,782,784,785,730,785,782,785,787,730,789,785,782,785,782,780,782,785,770,40,69.2,82
101208060,782,782,750,780,782,782,782,782,782,782,782,940,782,782,782,782,782,560,14,57.4,70
101208058,782,120,740,640,750,110,784,770,782,730,740,150,340,780,785,782,782,570,36,88.9,99
101208056,782,789,780,785,720,782,782,782,782,782,750,110,782,782,782,782,720,782,40,66.6,80
101208055,782,782,782,450,782,782,782,430,784,782,782,770,782,782,782,782,782,785,40,66.9,79
101208054,782,780,785,780,450,720,785,782,785,785,782,430,782,785,785,782,782,782,40,67.1,80
101208053,782,730,789,782,782,782,785,789,782,782,785,780,784,260,782,240,782,782,40,69.4,82
101208052,782,787,730,780,782,250,787,782,730,830,787,130,730,750,789,782,785,750,40,70.7,83
101208050,782,782,710,780,782,120,787,782,782,782,784,610,782,782,782,782,785,785,32,79.2,92
101208034,782,785,789,782,782,782,785,782,780,782,780,782,780,780,785,782,782,785,33,83.2,96
101208031,782,782,780,730,782,740,782,784,530,780,784,785,782,785,782,782,782,782,12,53.7,66
101208025,782,782,750,710,782,110,785,782,782,782,240,270,782,782,782,782,782,260,20,29.9,42
101208017,782,782,750,750,430,750,785,782,782,782,782,550,782,789,782,782,782,770,16,40.9,53
101208015,782,782,782,782,710,740,782,782,782,782,782,120,782,782,782,782,785,770,40,63.0,75
101208013,782,782,782,780,750,780,780,782,782,785,782,850,782,782,782,782,782,782,20,37.8,50
101208008,782,782,782,782,750,784,782,782,782,782,782,782,782,782,782,782,782,785,13,49.6,62
101208005,782,782,782,782,850,782,782,785,782,782,782,770,782,782,782,760,782,787,11,56.6,69
101208004,782,785,780,789,785,787,782,782,782,782,782,740,785,785,782,782,782,782,36,90.7,99
101208003,782,782,782,782,782,770,782,782,782,782,782,770,782,782,782,782,782,782,20,19.9,32
101208002,782,710,850,782,220,782,782,782,782,782,782,770,782,782,782,750,782,782,31,74.9,87
101205093,782,780,780,720,787,750,782,782,782,785,470,910,750,784,770,782,782,120,15,49.2,62
101205043,785,780,782,785,782,450,782,782,750,782,782,782,789,785,782,782,782,460,12,51.3,64
101205029,782,787,770,782,784,260,785,782,785,787,520,260,782,520,770,785,785,782,40,72.3,85
101204026,782,787,784,230,787,782,782,782,787,782,120,785,720,730,782,782,782,630,34,79.0,91
101203054,782,780,782,550,782,784,782,782,710,782,784,630,782,782,782,782,782,782,31,76.2,90
101203004,782,782,782,780,785,785,782,782,784,782,789,782,782,782,785,785,785,782,16,43.8,56
101103034,782,780,782,780,782,785,782,787,770,782,785,830,782,787,782,782,784,260,15,47.7,60
101102026,782,782,785,785,785,750,782,782,782,782,782,740,782,782,782,782,782,787,12,52.1,65
101102025,782,782,785,750,720,260,785,720,785,789,782,750,782,784,787,785,789,710,32,81.7,94
101101050,782,785,784,782,785,782,784,782,784,782,785,782,782,782,785,782,782,782,40,68.8,81
100508018,782,780,710,730,260,785,785,782,785,784,789,787,782,782,782,720,210,782,40,73.1,86
100401072,782,782,785,789,787,470,784,782,760,787,450,510,782,784,520,785,360,540,40,68.1,81
100401044,782,782,730,782,782,580,730,760,782,782,782,620,782,782,782,782,280,560,40,65.7,78
100208053,782,730,782,785,782,760,782,782,782,782,782,470,782,785,785,782,750,782,33,83.8,96
100206009,782,782,760,782,760,580,782,710,782,782,782,770,787,785,785,784,784,730,36,88.1,99
100202044,782,782,784,720,785,782,785,782,784,782,850,230,782,785,784,785,782,330,12,54.2,67
100104041,782,784,780,782,785,782,750,780,740,720,710,782,730,784,787,787,782,240,32,81.4,94
100101021,782,784,789,784,787,787,789,785,789,789,789,760,789,730,787,750,740,782,35,85.8,98
