TA_video_week1,TA_text_week1,Teacher_video_week1,Teacher_text_week1,TA_video_week2,TA_text_week2,Teacher_video_week2,Teacher_text_week2,TA_video_week3,TA_text_week3,Teacher_video_week3,Teacher_text_week3,TA_video_week4,TA_text_week4,Teacher_video_week4,Teacher_text_week4,TA_video_week5,TA_text_week5,Teacher_video_week5,Teacher_text_week5,TA_video_week6,TA_text_week6,Teacher_video_week6,Teacher_text_week6,TA_video_week7,TA_text_week7,Teacher_video_week7,Teacher_text_week7,TA_video_week8,TA_text_week8,Teacher_video_week8,Teacher_text_week8,TA_video_week9,TA_text_week9,Teacher_video_week9,Teacher_text_week9,TA_video_week10,TA_text_week10,Teacher_video_week10,Teacher_text_week10,TA_video_week11,TA_text_week11,Teacher_video_week11,Teacher_text_week11,TA_video_week12,TA_text_week12,Teacher_video_week12,Teacher_text_week12,TA_video_week13,TA_text_week13,Teacher_video_week13,Teacher_text_week13,TA_video_week14,TA_text_week14,Teacher_video_week14,Teacher_text_week14,TA_video_week15,TA_text_week15,Teacher_video_week15,Teacher_text_week15,TA_video_week16,TA_text_week16,Teacher_video_week16,Teacher_text_week16,TA_video_week17,TA_text_week17,Teacher_video_week17,Teacher_text_week17,TA_video_week18,TA_text_week18,Teacher_video_week18,Teacher_text_week18,id,clustered_label
0,0,0,0,0,0,9,94,28,60,5,44,0,8,0,104,0,88,0,20,34,0,8,257,0,49,0,47,0,0,0,46,0,53,0,39,0,34,0,49,0,41,0,43,0,0,904,0,0,38,6,47,0,254,0,35,0,89,0,39,0,0,0,307,0,0,2308,65,0,0,0,0,100101021,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;0;1
0,0,0,0,0,0,0,88,0,23,0,16,0,0,0,13,0,13,0,53,0,0,0,0,0,0,0,375,0,12,0,30,0,49,3265,1394,0,16,0,1960,0,662,68,637,0,8,7,5,0,203,0,10,0,7,0,119,0,98,0,80,0,111,0,32,0,0,0,12,0,32,0,7089,100104041,4;2;3;1;3;3;2;1;3;3;2;0
0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,1231,0,0,0,61,0,0,0,0,0,0,0,39,0,0,0,24,0,0,0,122,0,0,0,10,0,1832,0,9,0,6,62,3871,0,0,0,7,0,0,0,43,0,0,0,123,0,0,0,37,0,0,0,0,0,0,0,14667,100202044,4;2;3;1;3;3;2;2;2;2;1;1
0,0,0,0,0,0,0,0,0,0,1055,20,0,0,0,0,0,0,806,16,3462,0,1818,0,0,0,0,0,0,946,0,89,0,0,0,0,0,6,0,9,0,0,0,0,1738,0,225,102,0,8,0,286,0,0,0,73,737,0,0,17,0,0,0,94,0,0,0,91,11,245,0,133,100206009,4;2;3;1;3;3;2;1;3;3;1;1;4;2;2;0
0,0,0,0,0,286,0,55,0,0,0,0,0,0,6,35,0,0,9,16,0,0,1419,0,0,0,0,18,0,0,0,16,0,0,0,24,0,0,0,0,0,0,0,23,0,0,4328,7,0,0,0,0,0,0,0,80,0,0,0,64,0,0,0,0,0,0,0,548,0,0,0,8,100208053,4;2;3;1;3;3;2;1;3;3;1;1;4;2;1;1
0,0,0,0,0,0,0,0,0,127,6,101,0,0,0,0,0,0,0,23,3553,43,3293,146,0,140,0,14,5,8,576,44,0,0,0,0,0,0,0,0,0,0,0,0,13304,63,0,4720,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,946,0,4180,4991,40,0,0,100401044,4;2;0;1;2;3;1;1;2;3;0;1
0,0,0,0,0,0,0,0,0,16,0,79,0,52,21,37,0,27,0,286,0,0,4607,0,0,5,0,105,0,0,0,0,0,26,945,86,0,25,0,208,0,288,6873,79,10261,991,3924,289,0,0,0,0,0,27,0,156,6327,76,0,95,0,0,0,68,0,5,0,10271,3629,543,6,420,100401072,4;2;0;1;2;3;0;1
0,0,0,0,0,19,15,60,12,815,0,40,22,344,48,242,0,0,0,2688,0,0,0,40,0,0,0,40,0,0,0,10,42,8,5,37,0,0,0,106,220,69,0,31,23,109,6,43,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,1615,0,0,0,8314,6,0,0,10,100508018,4;2;3;1;3;3;0;0
0,0,0,0,0,14,67,73,0,0,0,130,0,0,0,9,0,0,0,27,0,0,0,0,0,0,0,160,0,0,0,8,0,0,0,142,0,0,0,14,0,0,0,83,0,0,0,0,0,0,0,24,0,0,0,17,0,0,0,43,0,0,0,0,0,0,0,15,0,0,0,0,101101050,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;2;0
0,0,0,0,0,9,0,17,0,19,0,74,0,0,0,328,0,0,0,1547,0,0,10,2828,0,0,0,38,0,5,0,1684,0,5,0,39,0,38,0,36,0,0,0,21,0,0,0,436,0,0,0,0,0,0,0,89,0,84,0,11,0,6,0,45,0,63,0,9,0,1200,0,0,101102025,4;2;3;1;3;3;2;1;3;3;1;0
0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,29,0,0,0,54,0,7,86,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2676,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,101102026,4;2;3;1;3;3;2;1;3;3;1;1;4;2;1;1
0,0,0,0,0,21,10,30,0,0,0,0,0,20,0,23,0,0,0,20,0,0,0,67,0,0,0,0,0,93,0,0,2948,54,39,97,0,0,0,0,0,0,0,67,532,3074,235,29,0,0,0,0,0,81,0,0,0,0,0,0,0,12,0,0,0,0,0,94,30,447,50,2520,101103034,4;2;3;1;3;3;2;1;3;3;1;1;4;2;1;0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,7,0,0,0,63,0,0,0,48,0,0,0,18,0,0,0,17,0,0,0,171,0,0,0,7,0,65,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,30,16,16,0,62,0,0,0,0,101203004,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;2;0
0,0,0,0,0,25,7,38,0,0,0,0,7811,16,154,9,5,0,0,17,0,5,6,100,0,0,0,5,0,0,0,10,0,1080,0,0,0,5,0,0,0,10,0,114,21234,17,0,43,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,101203054,4;2;0;1;2;3;1;1;2;3;1;2
0,0,0,0,0,10,17,292,0,7,0,110,0,5,0,4263,0,0,0,285,0,0,0,20,0,6,0,15,0,9,0,8,0,122,0,107,0,5,0,6,199,7,21601,146,727,0,0,6,0,95,0,1845,0,160,0,7,0,0,0,16,0,0,0,10,0,0,0,0,21601,0,0,7,101204026,4;2;0;0;2;3;0;2
0,0,0,0,0,35,27,203,1546,0,0,219,0,0,0,11,0,0,0,104,8,26,0,3262,36,6,0,35,5,0,0,6,776,0,0,32,61,7,0,206,6498,23,0,13,2506,0,0,2899,15,0,0,5,5908,0,0,60,2512,0,0,0,0,0,0,50,19,0,0,33,0,0,0,8,101205029,4;2;3;1;3;3;1;1;2;2;1;1
0,0,23,39,0,21,9,35,0,0,0,0,0,9,0,38,0,0,0,12,0,0,7940,0,0,0,0,0,0,0,13,0,0,171,0,861,0,6,0,10,0,0,0,0,13,34,252,0,0,67,15,73,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10749,429,101205043,4;2;3;1;3;3;0;1;2;3;1;1
0,0,0,9,0,19,0,59,0,30,13,7,0,24,0,1667,0,0,0,251,7,8,35,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,77,5626,36,5122,17184,684,15518,0,0,0,1000,0,0,0,178,874,0,0,19,0,0,0,0,0,0,0,0,1942,6,23717,19,101205093,4;2;2;1;2;2;0;0
0,0,0,0,0,589,20,769,0,1905,0,9,0,0,0,0,0,0,0,5851,0,0,97,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,5,1579,221,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1019,30,0,0,26,0,0,0,18,101208002,4;2;3;1;3;3;2;1;3;3;0;1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101208003,4;2;3;1;3;3;2;1;3;3;1;1;4;2;2;0
0,0,0,0,0,13,0,43,0,16,0,31,0,54,0,107,0,0,0,60,0,0,0,194,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3424,39,0,0,0,36,0,0,0,71,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,101208004,4;2;3;1;3;3;2;1;3;3;1;1;4;2;1;1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,0,1732,0,0,0,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1263,449,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0,0,0,0,98,0,0,101208005,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,416,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,101208008,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;2;0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,0,43,0,395,0,16,0,47,0,23,0,19,0,6,0,16,0,0,0,17,0,9,0,39,0,0,0,5,0,1550,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101208013,4;2;3;1;3;3;2;1;3;3;1;1;4;2;3;1;3;2;2;0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,305,0,0,1596,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20903,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2144,99,0,312,101208015,4;2;1;0;2;2;1;0
0,0,0,0,0,0,0,0,0,8,31,989,0,84,0,552,0,0,12878,252,0,0,0,967,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11063,94,0,0,0,0,0,0,0,60,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1533,142,0,477,101208017,4;2;0;1;2;3;0;0
