0,1,2,3,clustered_label
7.0,1.0,1.0,3.0,7113
8.0,1.0,2.0,1.0,8121
8.0,1.0,8.0,7.0,8187
5.0,3.0,1.0,9.0,5319
4.0,1.0,1.0,1.0,4111
8.0,0.0,2.0,0.0,8020
3.0,2.0,1.0,2.0,3212
5.0,3.0,1.0,1.0,5311
7.0,6.0,3.0,5.0,7635
5.0,1.0,3.0,6.0,5136
5.0,0.0,1.0,2.0,5012
5.0,1.0,1.0,1.0,5111
3.0,3.0,2.0,3.0,3323
6.0,1.0,1.0,3.0,6113
9.0,1.0,3.0,2.0,9132
6.0,1.0,8.0,6.0,6186
4.0,2.0,3.0,5.0,4235
5.0,1.0,3.0,6.0,5136
4.0,1.0,1.0,3.0,4113
7.0,1.0,4.0,5.0,7145
10.0,4.0,1.0,4.0,10414
9.0,4.0,7.0,3.0,9473
4.0,1.0,2.0,2.0,4122
5.0,3.0,2.0,4.0,5324
4.0,1.0,0.0,3.0,4103
5.0,3.0,2.0,9.0,5329
6.0,2.0,0.0,1.0,6201
9.0,3.0,4.0,1.0,9341
3.0,0.0,2.0,7.0,3027
5.0,3.0,0.0,3.0,5303
5.0,4.0,1.0,2.0,5412
7.0,4.0,2.0,2.0,7422
9.0,2.0,5.0,4.0,9254
6.0,1.0,4.0,6.0,6146
5.0,1.0,3.0,5.0,5135
6.0,0.0,4.0,1.0,6041
2.0,1.0,3.0,3.0,2133
6.0,6.0,2.0,2.0,6622
6.0,2.0,5.0,2.0,6252
6.0,2.0,5.0,2.0,6252
7.0,2.0,2.0,6.0,7226
10.0,2.0,7.0,4.0,10274
3.0,1.0,2.0,2.0,3122
4.0,3.0,1.0,0.0,4310
7.0,0.0,5.0,5.0,7055
7.0,2.0,1.0,7.0,7217
3.0,0.0,3.0,6.0,3036
8.0,5.0,1.0,3.0,8513
9.0,1.0,1.0,5.0,9115
6.0,1.0,4.0,0.0,6140
9.0,4.0,6.0,1.0,9461
8.0,3.0,1.0,3.0,8313
7.0,2.0,4.0,1.0,7241
3.0,1.0,4.0,5.0,3145
8.0,3.0,7.0,10.0,83710
4.0,1.0,2.0,7.0,4127
7.0,1.0,1.0,3.0,7113
6.0,3.0,3.0,10.0,63310
0.0,6.0,9.0,3.0,0693
8.0,7.0,2.0,2.0,8722
6.0,4.0,6.0,3.0,6463
8.0,1.0,2.0,2.0,8122
6.0,2.0,3.0,2.0,6232
8.0,1.0,1.0,7.0,8117
4.0,1.0,0.0,4.0,4104
5.0,2.0,3.0,0.0,5230
6.0,3.0,2.0,2.0,6322
6.0,1.0,2.0,1.0,6121
8.0,0.0,8.0,6.0,8086
6.0,3.0,7.0,4.0,6374
8.0,1.0,0.0,0.0,8100
5.0,1.0,1.0,2.0,5112
9.0,1.0,8.0,1.0,9181
8.0,1.0,5.0,3.0,8153
4.0,0.0,5.0,2.0,4052
5.0,4.0,2.0,2.0,5422
4.0,1.0,2.0,14.0,41214
4.0,1.0,0.0,2.0,4102
3.0,1.0,3.0,1.0,3131
7.0,0.0,2.0,12.0,70212
3.0,5.0,6.0,0.0,3560
7.0,1.0,3.0,2.0,7132
10.0,5.0,1.0,2.0,10512
5.0,4.0,0.0,1.0,5401
7.0,0.0,4.0,7.0,7047
9.0,0.0,7.0,2.0,9072
8.0,2.0,6.0,3.0,8263
5.0,2.0,0.0,0.0,5200
7.0,2.0,5.0,0.0,7250
7.0,1.0,0.0,6.0,7106
5.0,1.0,5.0,1.0,5151
8.0,2.0,6.0,5.0,8265
5.0,0.0,4.0,1.0,5041
5.0,4.0,8.0,4.0,5484
5.0,0.0,3.0,2.0,5032
9.0,4.0,3.0,5.0,9435
3.0,2.0,1.0,2.0,3212
7.0,3.0,5.0,5.0,7355
6.0,2.0,9.0,0.0,6290
9.0,4.0,7.0,1.0,9471
8.0,1.0,2.0,4.0,8124
4.0,1.0,1.0,2.0,4112
12.0,2.0,8.0,5.0,12285
8.0,0.0,5.0,5.0,8055
4.0,2.0,2.0,0.0,4220
7.0,1.0,0.0,2.0,7102
7.0,2.0,2.0,3.0,7223
5.0,1.0,1.0,3.0,5113
6.0,0.0,2.0,1.0,6021
5.0,2.0,1.0,3.0,5213
3.0,1.0,3.0,4.0,3134
7.0,1.0,1.0,4.0,7114
8.0,1.0,1.0,3.0,8113
9.0,6.0,2.0,8.0,9628
7.0,3.0,7.0,0.0,7370
7.0,1.0,3.0,8.0,7138
4.0,0.0,2.0,1.0,4021
7.0,1.0,2.0,7.0,7127
4.0,4.0,1.0,2.0,4412
0.0,5.0,2.0,7.0,0527
3.0,2.0,1.0,1.0,3211
6.0,4.0,3.0,2.0,6432
6.0,3.0,1.0,1.0,6311
7.0,8.0,9.0,4.0,7894
8.0,0.0,3.0,0.0,8030
8.0,2.0,6.0,6.0,8266
