clustered_label,0,1,2
6200,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6200,0.0,0.0,0.0
6200,0.0,0.0,0.0
6200,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6200,0.0,0.0,0.0
6200,0.0,0.0,0.0
6300,0.0,0.0,0.0
6200,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6200,0.0,0.0,0.0
6200,0.0,0.0,0.0
6200,0.0,0.0,0.0
3758,0.0,0.0,0.0
6100,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
3758,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6200,0.0,0.0,0.0
6100,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,1.0,0.0,0.0
6100,1.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6200,0.0,0.0,0.0
6100,0.0,0.0,0.0
6200,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
6100,0.0,0.0,0.0
3758,0.0,0.0,0.0
3790,0.0,0.0,0.0
3790,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
6300,0.0,0.0,0.0
3758,0.0,0.0,0.0
3758,0.0,0.0,0.0
3300,0.0,0.0,0.0
3300,0.0,0.0,0.0
3757,0.0,0.0,0.0
3757,0.0,0.0,0.0
3300,0.0,0.0,0.0
