tau1,tau2,clusters,entropy,name
0.1,0.01,78,3.34,wpg-1
0.9,0.01,66,3.27,wpg-2
0.01,0.01,340,5.06,wpg-4
0.1,0.1,11,1.65,wpg-3
0.1,0.001,504,6.28,wpg-5
