index,id,clustered_label,0,1,2
0.0,101208087,6434.0,0,0,0
1.0,102205089,6434.0,0,0,0
2.0,101208066,6434.0,0,0,0
3.0,101208030,6434.0,0,0,0
4.0,102208075,5300.0,0,0,0
5.0,102205037,5300.0,0,0,0
6.0,102104031,6120.0,0,0,0
7.0,101208085,6600.0,0,0,0
8.0,101208069,5200.0,0,0,0
9.0,102208088,6300.0,1,0,0
10.0,102208081,6434.0,0,0,0
11.0,102208058,5300.0,0,0,0
12.0,102208033,2100.0,0,0,0
13.0,102208008,6434.0,0,0,0
14.0,101208074,6110.0,0,0,0
15.0,99203054,6431.0,0,0,0
16.0,102209035,4200.0,0,0,0
17.0,102208090,2100.0,0,0,0
18.0,102208089,2500.0,0,0,0
19.0,102208086,6434.0,0,0,0
20.0,102208085,3600.0,0,0,0
21.0,102208084,3200.0,0,0,0
22.0,102208083,6500.0,0,0,0
23.0,102208082,6434.0,0,0,0
24.0,102208078,6300.0,0,0,0
25.0,102208074,3100.0,0,0,0
26.0,102208073,6435.0,0,0,0
27.0,102208068,3100.0,0,0,0
28.0,102208066,3300.0,0,0,0
29.0,102208065,6434.0,0,0,0
30.0,102208064,6600.0,0,0,0
31.0,102208063,1000.0,0,0,0
32.0,102208062,6420.0,0,0,0
33.0,102208061,3300.0,0,0,0
34.0,102208060,6459.0,0,0,0
35.0,102208059,6140.0,0,0,0
36.0,102208057,6110.0,0,0,0
37.0,102208056,1000.0,0,0,0
38.0,102208055,6600.0,0,0,0
39.0,102208054,3600.0,0,0,0
40.0,102208053,6140.0,0,0,0
41.0,102208052,3300.0,0,0,0
42.0,102208046,2600.0,0,0,0
43.0,102208045,6500.0,0,0,0
44.0,102208043,6420.0,0,0,0
45.0,102208042,6130.0,0,0,0
46.0,102208041,2400.0,0,0,0
47.0,102208038,3500.0,0,0,0
48.0,102208034,6435.0,0,0,0
49.0,102208032,6600.0,0,0,0
50.0,102208030,2300.0,0,0,0
51.0,102208029,6110.0,0,0,0
