0,1,2,clustered_label
5.0,6.0,4.0,564
2.0,5.0,6.0,256
4.0,1.0,5.0,415
5.0,3.0,1.0,531
5.0,6.0,3.0,563
1.0,4.0,6.0,146
4.0,2.0,5.0,425
5.0,4.0,2.0,542
4.0,4.0,2.0,442
0.0,5.0,6.0,056
5.0,2.0,5.0,525
5.0,3.0,1.0,531
5.0,5.0,3.0,553
2.0,5.0,5.0,255
3.0,1.0,5.0,315
6.0,3.0,2.0,632
4.0,5.0,4.0,454
2.0,5.0,5.0,255
3.0,1.0,5.0,315
6.0,3.0,1.0,631
5.0,6.0,4.0,564
1.0,5.0,6.0,156
3.0,2.0,4.0,324
4.0,2.0,1.0,421
4.0,5.0,4.0,454
2.0,5.0,4.0,254
1.0,1.0,5.0,115
6.0,3.0,1.0,631
5.0,6.0,4.0,564
2.0,4.0,4.0,244
1.0,1.0,5.0,115
5.0,2.0,1.0,521
4.0,5.0,2.0,452
1.0,5.0,5.0,155
3.0,2.0,5.0,325
5.0,3.0,1.0,531
5.0,5.0,3.0,553
2.0,4.0,5.0,245
3.0,1.0,5.0,315
7.0,4.0,1.0,741
5.0,5.0,4.0,554
2.0,4.0,5.0,245
3.0,1.0,5.0,315
5.0,3.0,2.0,532
4.0,6.0,3.0,463
1.0,5.0,6.0,156
3.0,1.0,5.0,315
5.0,3.0,1.0,531
4.0,5.0,3.0,453
2.0,4.0,4.0,244
1.0,1.0,5.0,115
6.0,4.0,2.0,642
5.0,5.0,2.0,552
2.0,4.0,5.0,245
3.0,2.0,4.0,324
6.0,4.0,1.0,641
4.0,5.0,1.0,451
1.0,5.0,5.0,155
3.0,1.0,5.0,315
6.0,3.0,1.0,631
4.0,5.0,2.0,452
1.0,5.0,6.0,156
4.0,1.0,4.0,414
6.0,3.0,2.0,632
5.0,5.0,3.0,553
1.0,5.0,6.0,156
4.0,2.0,4.0,424
4.0,2.0,0.0,420
4.0,6.0,4.0,464
2.0,5.0,5.0,255
3.0,1.0,5.0,315
6.0,3.0,1.0,631
4.0,5.0,2.0,452
1.0,4.0,5.0,145
4.0,1.0,5.0,415
6.0,4.0,2.0,642
4.0,6.0,2.0,462
2.0,5.0,6.0,256
3.0,1.0,5.0,315
5.0,4.0,1.0,541
4.0,6.0,3.0,463
1.0,5.0,5.0,155
2.0,1.0,5.0,215
6.0,4.0,2.0,642
5.0,5.0,2.0,552
1.0,4.0,4.0,144
1.0,1.0,5.0,115
6.0,3.0,2.0,632
5.0,6.0,2.0,562
1.0,4.0,5.0,145
3.0,2.0,4.0,324
6.0,4.0,2.0,642
5.0,5.0,2.0,552
1.0,4.0,6.0,146
4.0,1.0,5.0,415
5.0,3.0,1.0,531
5.0,5.0,2.0,552
1.0,5.0,6.0,156
3.0,2.0,5.0,325
6.0,4.0,2.0,642
5.0,5.0,3.0,553
1.0,5.0,5.0,155
2.0,1.0,5.0,215
6.0,3.0,1.0,631
5.0,6.0,4.0,564
2.0,5.0,5.0,255
2.0,1.0,4.0,214
6.0,4.0,2.0,642
5.0,5.0,3.0,553
1.0,4.0,5.0,145
2.0,1.0,4.0,214
5.0,2.0,2.0,522
4.0,4.0,2.0,442
1.0,5.0,6.0,156
4.0,1.0,5.0,415
6.0,4.0,1.0,641
5.0,6.0,3.0,563
2.0,5.0,5.0,255
2.0,1.0,5.0,215
6.0,3.0,1.0,631
4.0,5.0,4.0,454
1.0,5.0,5.0,155
3.0,1.0,4.0,314
6.0,4.0,2.0,642
