index,CUSTOMER_NUM,clustered_label,0,1,2,3
267,9206,1500,0,0,0,0
269,9203,3560,1,1,1,1
270,92021,1800,0,0,0,0
271,92006,3560,1,1,1,1
272,9200,3700,1,1,1,1
274,91990,3560,1,1,1,1
275,9198,3300,1,1,1,1
277,9194,3560,1,1,1,0
280,9191,6300,1,0,0,0
281,91907,3560,0,0,0,0
282,9189,3560,1,1,1,1
284,91863,3560,1,1,1,1
285,91837,1500,1,1,0,0
286,9182,3560,1,1,1,1
287,91807,2800,0,0,0,0
288,91792,3600,1,1,1,1
289,91788,1100,0,0,0,0
290,91774,2500,1,0,0,0
291,91745,6400,0,0,0,0
292,9174,3560,0,0,0,0
294,91722,5200,0,0,0,0
296,9171,3400,1,1,1,1
297,91705,3200,0,0,0,0
299,9169,3560,1,1,1,1
300,91664,6300,0,0,0,0
301,9165,3560,0,0,0,0
302,91648,3800,0,0,0,0
303,9163,3560,0,0,0,0
304,91627,3560,0,0,0,0
307,9157,3560,0,0,0,0
308,91565,3300,1,1,1,0
309,91557,5400,0,0,0,0
312,9151,3100,1,1,0,0
314,91473,1500,0,0,0,0
315,9147,3560,1,1,1,1
316,9144,3560,1,1,1,0
317,91421,3560,1,0,0,0
318,91413,3700,1,1,1,1
320,91390,3560,0,0,0,0
321,9139,3560,1,1,1,1
322,91376,4750,0,0,0,0
323,91370,3560,1,1,1,1
325,91355,4200,0,0,0,0
326,91344,1600,0,0,0,0
327,91339,3560,0,0,0,0
328,9133,3560,1,1,1,1
329,91317,2700,1,1,0,0
331,91265,3600,0,0,0,0
332,9126,3560,1,1,1,1
333,91236,4130,0,0,0,0
334,9123,3400,1,1,1,1
335,9121,3560,1,1,1,1
338,91151,3600,1,1,1,1
341,91116,3560,1,1,0,0
342,9111,3800,0,0,0,0
343,91109,3560,0,0,0,0
344,9109,3560,1,1,1,1
345,91072,3560,1,1,0,0
346,91050,3560,1,1,1,1
347,91028,6509,0,0,0,0
349,90986,1500,0,0,0,0
350,90973,1100,0,0,0,0
351,90959,3560,1,1,1,1
353,90919,3560,1,1,1,1
355,90876,3300,1,1,0,0
356,90867,1100,0,0,0,0
357,9086,3560,1,1,1,1
358,9082,3300,1,1,1,1
359,90800,1500,0,0,0,0
360,9080,3560,1,1,1,1
361,90789,3300,1,0,0,0
362,90784,3200,1,0,0,0
363,90778,2200,0,0,0,0
364,9077,5300,0,0,0,0
365,90751,2200,0,0,0,0
366,90737,2600,0,0,0,0
368,90690,2700,1,1,0,0
369,90662,5699,1,1,0,0
370,90630,1500,1,1,1,0
371,90609,3560,1,0,0,0
372,9059,2200,0,0,0,0
373,90587,4410,0,0,0,0
375,90538,3560,1,1,0,0
376,90532,3700,1,0,0,0
378,90519,3560,0,0,0,0
379,90490,3560,1,1,0,0
380,90467,5800,1,1,1,1
381,90454,3300,0,0,0,0
382,90451,6100,1,0,0,0
383,90395,3560,1,1,1,1
384,90371,3580,1,1,1,1
385,9036,4110,1,1,1,1
386,90342,3560,1,1,0,0
388,90306,1600,0,0,0,0
389,90273,2110,0,0,0,0
390,90240,1800,0,0,0,0
391,90198,3100,0,0,0,0
392,9019,2110,0,0,0,0
394,90136,3560,1,1,1,1
395,90131,3560,1,1,1,1
396,9013,3200,1,1,1,1
397,90094,3700,1,1,0,0
398,90091,5699,0,0,0,0
399,90087,6400,0,0,0,0
400,90074,3560,1,1,1,0
401,90057,3560,1,1,1,1
402,90042,3700,0,0,0,0
403,90038,3560,1,1,1,1
405,90016,6100,0,0,0,0
406,90007,5699,1,0,0,0
407,9000,2200,1,0,0,0
408,89966,3200,0,0,0,0
409,89936,3700,0,0,0,0
410,89892,3560,0,0,0,0
412,89851,1300,0,0,0,0
413,89841,1200,0,0,0,0
415,89793,3560,0,0,0,0
416,89774,3560,1,1,1,1
417,89767,3560,1,0,0,0
418,89748,5600,0,0,0,0
419,89706,5300,0,0,0,0
420,89697,3560,1,1,0,0
422,8964,1200,0,0,0,0
423,89618,3300,1,0,0,0
424,89613,3560,0,0,0,0
425,89534,4820,1,0,0,0
426,89504,1200,1,1,0,0
428,89482,3700,1,0,0,0
430,8947,6100,1,1,0,0
433,89417,2200,0,0,0,0
434,89380,1500,0,0,0,0
435,89375,2800,0,0,0,0
436,89359,3560,0,0,0,0
439,89337,6100,0,0,0,0
443,89278,3560,1,0,0,0
444,89268,3200,0,0,0,0
445,89260,3560,1,1,1,1
446,89251,3560,1,0,0,0
447,89240,3560,1,1,1,1
448,8923,5300,1,0,0,0
449,89197,1300,1,1,0,0
450,89171,6509,0,0,0,0
451,89163,3100,1,1,0,0
453,89116,3560,1,1,1,1
454,89069,3560,1,1,1,1
455,89043,3400,0,0,0,0
456,89027,3560,1,0,0,0
457,89016,3100,1,1,0,0
458,89011,2120,0,0,0,0
461,88996,3560,1,0,0,0
462,88978,3520,1,0,0,0
463,88953,6400,0,0,0,0
464,88945,3560,1,1,1,1
465,88931,1300,0,0,0,0
468,88861,2200,1,0,0,0
470,88795,3560,0,0,0,0
471,88789,3560,1,0,0,0
472,88780,3560,0,0,0,0
473,8878,4420,0,0,0,0
474,88774,5300,1,0,0,0
475,88754,4200,1,1,1,1
476,88747,2700,0,0,0,0
477,88738,3560,0,0,0,0
478,88730,3560,0,0,0,0
480,88668,5600,0,0,0,0
482,88594,3560,0,0,0,0
486,88525,3560,1,1,1,1
487,88511,6540,0,0,0,0
488,88508,3600,0,0,0,0
489,88480,4120,0,0,0,0
492,88402,5400,0,0,0,0
493,8839,3700,0,0,0,0
494,88381,4600,0,0,0,0
495,88373,5200,0,0,0,0
496,88358,2100,0,0,0,0
497,88345,4710,0,0,0,0
498,88333,6200,0,0,0,0
502,88252,3700,0,0,0,0
503,88224,3560,1,1,1,1
504,88220,3560,1,1,1,0
505,88195,1800,0,0,0,0
506,88184,3530,0,0,0,0
507,88168,5500,0,0,0,0
508,88159,1300,0,0,0,0
509,88143,6600,0,0,0,0
511,88123,1300,0,0,0,0
512,88118,3560,1,1,0,0
513,88110,3100,0,0,0,0
514,88106,4300,0,0,0,0
515,88090,3100,0,0,0,0
516,8809,3560,1,1,1,0
517,88079,1200,0,0,0,0
518,88077,2500,0,0,0,0
520,88037,6579,0,0,0,0
521,88031,2110,1,0,0,0
522,88022,6800,0,0,0,0
525,87979,5200,1,0,0,0
526,87967,3560,1,1,0,0
528,87936,5500,0,0,0,0
529,87927,3560,1,0,0,0
530,87909,6570,1,0,0,0
531,87872,3560,1,1,0,0
532,87847,5500,0,0,0,0
534,87831,3560,0,0,0,0
535,87827,3560,1,1,1,1
536,87797,3560,0,0,0,0
537,87779,5400,0,0,0,0
538,87742,3560,0,0,0,0
539,8774,3560,1,1,1,1
540,87702,3560,1,1,1,1
541,8770,3560,1,1,1,1
542,87688,3300,1,1,0,0
544,87651,2110,1,1,0,0
545,87649,5300,0,0,0,0
547,87609,3540,1,1,0,0
548,87607,3300,0,0,0,0
549,87589,3400,0,0,0,0
550,87569,3560,0,0,0,0
552,87547,3560,1,1,0,0
553,87525,3600,0,0,0,0
554,87511,1700,0,0,0,0
555,87506,3560,1,1,1,1
556,87499,3560,1,0,0,0
557,87489,3200,0,0,0,0
559,87450,3800,0,0,0,0
560,87436,4570,0,0,0,0
561,87425,6570,0,0,0,0
562,8742,3560,0,0,0,0
563,87419,3560,1,1,1,1
564,87400,3560,1,1,1,1
565,87390,2120,1,1,0,0
566,87376,3560,1,1,1,1
567,87369,3200,1,1,0,0
568,87346,3560,1,1,1,0
569,87284,3300,0,0,0,0
571,87263,3700,0,0,0,0
572,87259,3570,1,0,0,0
576,87204,4880,0,0,0,0
577,87200,3700,1,1,1,1
578,87164,3560,1,0,0,0
580,87123,3560,0,0,0,0
581,87075,3800,1,1,0,0
582,87067,5100,0,0,0,0
584,87049,6800,1,0,0,0
585,87046,3560,0,0,0,0
586,87024,3560,1,1,0,0
587,86987,3560,0,0,0,0
589,86969,6800,1,0,0,0
590,86948,6100,0,0,0,0
591,86934,3100,1,0,0,0
592,8692,6509,1,1,1,1
593,86916,3560,0,0,0,0
594,86892,2900,0,0,0,0
596,86847,4720,0,0,0,0
597,86837,3800,0,0,0,0
598,86831,2200,0,0,0,0
600,86781,3560,1,0,0,0
601,86755,1500,0,0,0,0
602,8675,3560,1,0,0,0
603,86746,3560,1,0,0,0
605,86718,3560,1,0,0,0
607,86681,3560,0,0,0,0
608,86668,3560,1,0,0,0
609,86659,3560,0,0,0,0
610,86654,3300,1,0,0,0
612,86643,3300,1,0,0,0
613,86614,3560,1,0,0,0
614,86602,6100,1,0,0,0
615,8660,1400,0,0,0,0
616,86556,3400,0,0,0,0
618,86515,2900,0,0,0,0
619,86493,3560,1,1,1,0
620,86476,2900,0,0,0,0
621,86463,3560,1,1,1,0
623,86413,1800,0,0,0,0
624,86406,3560,1,1,1,1
625,86375,3560,1,1,0,0
626,86350,2400,0,0,0,0
629,86295,3300,1,1,1,1
631,86269,3100,0,0,0,0
632,86259,1300,1,0,0,0
633,86245,2110,0,0,0,0
634,86234,2400,1,1,0,0
635,86219,3560,0,0,0,0
636,86193,6400,0,0,0,0
637,86183,3560,1,1,1,1
638,86162,3600,0,0,0,0
639,86141,5400,0,0,0,0
640,86131,3560,1,0,0,0
641,86123,1700,0,0,0,0
642,86118,3560,0,0,0,0
643,86103,6300,1,0,0,0
644,8610,3560,1,1,0,0
645,86096,3200,0,0,0,0
646,86080,3200,1,0,0,0
647,86064,2900,0,0,0,0
648,86048,3580,0,0,0,0
649,86027,3560,1,0,0,0
651,85984,5600,0,0,0,0
652,85971,3560,1,0,0,0
653,85966,2500,1,1,1,1
654,85953,3560,0,0,0,0
655,85948,3560,1,1,1,1
656,85922,6800,0,0,0,0
657,85907,3580,0,0,0,0
658,85901,1800,0,0,0,0
659,85883,3100,0,0,0,0
660,85868,2500,0,0,0,0
661,85850,3560,1,1,1,1
662,8585,6200,1,1,1,0
663,85843,3600,1,1,1,1
664,85838,3560,1,1,0,0
667,85798,1100,0,0,0,0
668,85788,3560,1,1,0,0
670,85767,6800,1,0,0,0
671,85765,6600,1,1,1,1
672,85761,3200,1,0,0,0
674,8575,3800,1,1,1,1
675,85737,6700,0,0,0,0
676,85710,3570,0,0,0,0
677,85697,5100,0,0,0,0
678,85691,3100,1,1,1,1
680,85649,2700,0,0,0,0
682,85612,1500,1,1,1,1
685,8556,2100,1,0,0,0
686,85554,6200,1,1,0,0
688,85542,3580,1,1,0,0
689,85535,3200,1,1,0,0
690,85496,2300,1,1,1,1
691,85464,3560,1,1,1,1
692,85459,1600,0,0,0,0
693,85452,3560,1,1,1,1
694,85441,5500,1,1,1,1
695,85409,3560,1,1,1,0
696,85399,3560,1,0,0,0
697,85351,2110,1,0,0,0
699,85264,3560,1,1,1,1
701,85248,2800,0,0,0,0
702,85246,3560,1,1,1,1
703,85207,3560,1,1,1,1
704,85174,2900,0,0,0,0
707,85132,3570,0,0,0,0
708,85114,3560,1,0,0,0
709,85052,2100,0,0,0,0
710,85048,3560,1,1,1,0
711,85041,3560,0,0,0,0
712,85022,2300,0,0,0,0
714,8498,3560,1,1,1,1
715,84961,3200,0,0,0,0
716,84955,3560,1,0,0,0
717,84942,3100,1,1,1,1
718,84934,3560,1,1,0,0
719,84922,2200,1,1,0,0
720,84914,3560,0,0,0,0
722,84883,2100,0,0,0,0
725,84800,6200,1,1,1,1
726,84770,3560,1,1,1,1
728,84744,3560,1,1,1,1
729,8472,3560,1,1,1,1
731,84695,1200,0,0,0,0
732,84649,3540,1,1,0,0
733,8463,3200,0,0,0,0
734,8461,6700,0,0,0,0
735,84589,4540,0,0,0,0
736,8457,3560,1,1,1,1
737,84544,3560,1,1,1,1
738,8452,3560,1,1,1,1
740,8448,3400,1,1,1,1
742,8444,3560,1,1,1,1
743,84439,3560,1,1,1,1
744,8439,3560,1,1,1,1
745,84376,3560,0,0,0,0
747,84339,6400,0,0,0,0
748,8431,2800,1,1,0,0
749,84301,1100,1,0,0,0
750,84282,3560,0,0,0,0
751,84276,3560,1,1,1,1
752,84262,4130,0,0,0,0
754,84235,3560,0,0,0,0
756,84215,3560,1,0,0,0
757,84211,3700,1,1,1,1
759,84178,3300,1,1,1,1
761,84153,3800,0,0,0,0
762,84132,3560,0,0,0,0
763,84112,3560,1,1,1,1
764,84097,1400,1,1,0,0
765,84086,3560,1,1,1,1
766,8407,3560,1,1,1,1
767,84049,3560,1,1,1,0
768,84026,3560,1,0,0,0
772,83980,4720,1,1,1,0
773,8396,5699,1,1,1,1
774,83957,3560,1,1,0,0
775,83925,4750,0,0,0,0
776,83909,4510,1,1,0,0
778,83879,6600,1,1,0,0
779,83859,3560,1,1,1,1
783,83807,4130,1,1,0,0
784,83767,4830,0,0,0,0
785,83762,2600,0,0,0,0
786,83754,6800,1,1,1,0
787,83746,2400,1,1,1,1
788,83727,3560,1,1,1,0
789,83719,2700,1,0,0,0
790,83708,3400,1,1,1,1
792,83671,3560,1,1,1,1
793,83669,3560,1,1,1,1
794,83651,3200,1,1,1,1
795,83647,5100,1,1,1,1
799,83590,3560,1,1,1,0
800,83576,4750,1,1,1,1
801,83571,2400,0,0,0,0
802,83560,1700,0,0,0,0
803,83553,3540,1,1,1,1
804,83529,3560,1,1,1,1
806,83509,3560,1,1,1,1
807,83480,3560,1,1,1,1
808,83473,3560,1,1,0,0
809,83466,3300,1,1,1,0
810,83452,6100,1,0,0,0
811,83435,1500,0,0,0,0
812,83409,2400,1,1,1,0
813,83355,3800,1,1,1,1
814,83347,3560,1,1,0,0
815,8334,2700,0,0,0,0
816,83336,3550,1,0,0,0
817,83312,5200,1,0,0,0
818,83293,2120,1,1,0,0
819,83270,2400,0,0,0,0
821,83256,3560,1,1,1,0
822,83245,3560,0,0,0,0
823,83237,6300,0,0,0,0
824,83218,3560,1,0,0,0
826,83131,3400,0,0,0,0
827,83125,3510,1,0,0,0
828,83115,3560,1,1,1,1
829,83104,6559,1,1,1,1
831,83088,3560,1,1,1,1
832,83075,3800,1,1,1,1
833,83057,1500,1,1,1,0
834,83032,2300,1,1,0,0
835,83013,5300,0,0,0,0
836,82994,3560,1,1,1,0
837,82992,2900,1,0,0,0
838,82983,1700,1,1,1,0
839,82978,1400,0,0,0,0
840,82976,3560,1,1,1,1
841,82970,3560,1,0,0,0
842,82966,2600,0,0,0,0
843,82964,1500,0,0,0,0
844,82945,3560,0,0,0,0
845,8294,3300,1,0,0,0
846,82932,3560,0,0,0,0
847,82927,3560,1,1,1,1
848,82919,6530,1,1,1,1
849,82911,4300,1,0,0,0
850,82899,3560,1,1,0,0
851,82884,3800,1,1,1,1
852,82875,4840,1,1,0,0
853,82848,3560,1,1,1,1
854,82842,2100,0,0,0,0
855,82830,3400,1,1,1,1
857,82806,3200,0,0,0,0
858,82783,3560,0,0,0,0
859,82779,3570,0,0,0,0
860,82760,2120,0,0,0,0
861,8276,3540,1,1,1,1
862,82743,1600,0,0,0,0
863,82728,3560,1,0,0,0
865,82713,4510,0,0,0,0
866,82707,5200,0,0,0,0
867,82686,2120,0,0,0,0
868,82671,2200,0,0,0,0
869,82666,1300,0,0,0,0
871,82652,5699,1,1,1,1
872,82645,3100,1,1,0,0
874,82624,3300,1,1,1,1
875,82604,3510,1,0,0,0
876,82595,1600,0,0,0,0
877,82589,6600,1,0,0,0
880,82575,1700,0,0,0,0
881,82568,1600,0,0,0,0
883,82552,5100,1,0,0,0
884,82547,3560,0,0,0,0
885,82545,3600,1,1,0,0
886,82533,4820,0,0,0,0
888,82519,3560,1,0,0,0
889,82511,3520,1,0,0,0
890,82500,1400,1,0,0,0
891,82496,3300,0,0,0,0
892,82487,3560,1,0,0,0
894,82460,4150,0,0,0,0
895,82458,2800,0,0,0,0
896,82450,5200,0,0,0,0
897,8245,2900,1,0,0,0
898,82428,3700,1,1,0,0
900,82410,3800,0,0,0,0
901,82398,3560,1,0,0,0
904,82360,1700,1,1,0,0
905,8236,2100,0,0,0,0
906,82341,2110,0,0,0,0
907,82332,3800,1,1,1,1
908,82328,3580,1,1,1,1
911,82300,3100,0,0,0,0
912,82297,2120,1,1,0,0
913,82291,6600,0,0,0,0
917,82237,3400,1,0,0,0
918,82226,3300,1,1,1,1
919,82207,6700,0,0,0,0
923,82172,2200,0,0,0,0
928,82117,3560,0,0,0,0
929,82110,4880,0,0,0,0
930,82101,3400,1,0,0,0
931,8210,3560,1,1,1,1
932,82099,3800,1,1,1,1
934,82070,2900,0,0,0,0
936,82059,2110,0,0,0,0
937,82055,3560,1,1,1,1
938,82051,6300,0,0,0,0
939,82037,6700,0,0,0,0
941,82018,6300,0,0,0,0
943,82007,1200,0,0,0,0
944,82004,3560,0,0,0,0
945,82002,4110,1,0,0,0
946,8200,3560,1,1,1,1
947,81993,5100,0,0,0,0
950,81975,3580,1,0,0,0
951,81971,3100,1,0,0,0
952,81965,3200,0,0,0,0
954,8195,3100,1,1,0,0
955,81939,1200,1,1,0,0
956,81936,3560,1,1,1,0
957,81924,3560,0,0,0,0
958,81920,2500,0,0,0,0
959,81915,5699,0,0,0,0
962,81890,3560,1,1,1,1
963,81883,1400,0,0,0,0
964,81876,2400,1,0,0,0
965,81870,6700,1,1,0,0
966,8187,3560,1,1,1,1
967,81862,1200,1,1,1,0
968,81860,6600,0,0,0,0
970,81848,3400,1,1,0,0
971,81831,6600,1,0,0,0
974,8179,5400,0,0,0,0
976,81771,5500,0,0,0,0
978,81755,2110,0,0,0,0
979,81750,3560,0,0,0,0
980,81744,3100,1,0,0,0
981,81739,1400,0,0,0,0
983,81712,3570,1,1,1,1
984,81706,2900,0,0,0,0
985,81691,2700,1,1,1,1
986,81680,3570,0,0,0,0
987,81672,3530,1,1,1,0
988,81667,3400,1,1,1,1
989,81656,2120,1,0,0,0
990,8165,3700,1,1,1,1
991,81646,3800,0,0,0,0
993,8161,3560,1,1,1,1
994,81595,2900,0,0,0,0
996,81564,3800,1,1,1,1
998,81543,2120,0,0,0,0
999,8152,3200,1,0,0,0
1000,81513,2700,0,0,0,0
1001,81476,3520,0,0,0,0
1002,81462,3560,1,1,1,1
1003,81446,1300,0,0,0,0
1005,81420,3560,1,1,1,1
1006,8141,1300,0,0,0,0
1007,81397,3560,1,0,0,0
1008,81392,6200,1,0,0,0
1009,81352,3300,0,0,0,0
1011,81317,1500,1,1,0,0
1012,81303,5800,0,0,0,0
1013,81298,6509,1,1,1,0
1015,81267,6700,1,1,1,1
1016,81241,3560,1,1,0,0
1017,8124,3560,1,1,1,1
1018,81226,3560,1,0,0,0
1019,81218,3100,1,0,0,0
1021,81184,3560,1,1,0,0
1022,8118,3200,0,0,0,0
1023,81177,1400,0,0,0,0
1024,81155,3560,1,1,1,1
1025,81152,3560,1,1,1,1
1026,81130,1300,0,0,0,0
1027,81125,2900,0,0,0,0
1028,81118,3560,1,1,1,0
1029,81109,3560,0,0,0,0
1030,81101,1400,0,0,0,0
1031,81070,2100,0,0,0,0
1032,81054,3700,0,0,0,0
1033,8103,1400,0,0,0,0
1034,81018,2500,1,1,1,1
1035,8099,3560,0,0,0,0
1036,80986,3560,0,0,0,0
1037,80981,6700,1,0,0,0
1039,80948,3800,0,0,0,0
1041,80929,2300,1,0,0,0
1042,80911,3560,1,1,0,0
1043,8090,3560,0,0,0,0
1044,80885,3560,0,0,0,0
1045,80868,5100,0,0,0,0
1046,80857,3560,0,0,0,0
1047,80854,1700,1,1,1,1
1048,80845,1200,0,0,0,0
1049,80824,3560,1,0,0,0
1052,80770,3560,1,1,1,1
1053,80750,1200,1,1,1,1
1054,8075,5800,1,1,0,0
1055,80733,1200,1,0,0,0
1056,80716,2900,0,0,0,0
1058,80703,3560,0,0,0,0
1059,80694,3560,1,0,0,0
1061,80668,2800,0,0,0,0
1062,80652,3560,1,1,0,0
1063,80640,3800,0,0,0,0
1064,80620,3560,1,1,1,1
1065,80600,2600,0,0,0,0
1066,8058,3400,0,0,0,0
1067,80545,3560,1,0,0,0
1069,80532,3100,1,1,1,1
1070,80519,4900,1,0,0,0
1071,80476,3200,1,1,1,1
1072,80427,3560,1,1,0,0
1073,80407,1700,0,0,0,0
1074,80395,1100,1,0,0,0
1075,80389,1500,0,0,0,0
1076,80380,3800,0,0,0,0
1077,80355,4130,0,0,0,0
1078,80348,5300,0,0,0,0
1079,80341,3800,1,1,1,1
1080,80332,6700,1,1,0,0
1082,80268,3560,1,1,0,0
1084,80252,2100,0,0,0,0
1085,80249,3560,1,0,0,0
1086,80224,1300,1,0,0,0
1087,80213,3560,1,1,0,0
1088,80206,6300,0,0,0,0
1089,80201,6600,0,0,0,0
1090,80199,6800,1,0,0,0
1092,80156,3560,1,0,0,0
1093,8015,5200,0,0,0,0
1094,80139,3510,1,0,0,0
1095,80132,2800,1,0,0,0
1096,80127,3560,0,0,0,0
1098,80115,3560,1,1,0,0
