0,1,2,3,4,clustered_label
5.0,5.0,1.0,0.0,1.0,5510
5.0,6.0,2.0,5.0,2.0,5625
5.0,5.0,2.0,1.0,1.0,5521
5.0,5.0,2.0,2.0,2.0,5522
5.0,5.0,2.0,3.0,2.0,5523
5.0,4.0,1.0,1.0,2.0,5411
6.0,5.0,1.0,4.0,1.0,6514
5.0,4.0,1.0,0.0,2.0,5410
6.0,3.0,1.0,5.0,2.0,6315
5.0,3.0,3.0,2.0,2.0,5332
5.0,5.0,2.0,5.0,0.0,5525
5.0,4.0,1.0,3.0,0.0,5413
6.0,7.0,3.0,1.0,0.0,6731
4.0,5.0,2.0,1.0,0.0,4521
4.0,5.0,1.0,1.0,1.0,4511
5.0,4.0,2.0,3.0,1.0,5423
5.0,5.0,1.0,3.0,1.0,5513
5.0,6.0,2.0,0.0,3.0,5620
3.0,3.0,0.0,5.0,3.0,3305
2.0,2.0,2.0,3.0,0.0,2223
3.0,5.0,2.0,5.0,1.0,3525
5.0,4.0,1.0,2.0,2.0,5412
5.0,6.0,2.0,2.0,0.0,5622
