,cluster,mean,std
0,10.0,0.34577,0.16437
1,20.0,0.12129,0.10229
2,30.0,0.03305,0.02713
3,40.0,0.13514,0.09765
4,50.0,0.03242,0.02404
5,60.0,0.00177,0.00421
7,61.0,0.00043,0.00087
8,62.0,0.00466,0.00328
9,63.0,0.00324,0.00306
10,64.0,0.02148,0.00801
11,65.0,0.00994,0.00665
12,66.0,0.00768,0.00582
