,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,week,id
0,0.0,0.0,0.0,0.06857142857142857,0.08571428571428572,0.017142857142857144,0.5785714285714286,0.09722222224999999,0.15277777775,0.0,week9,101208084
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week10,101208084
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week11,101208084
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week12,101208084
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week13,101208084
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week14,101208084
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week15,101208084
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week16,101208084
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week17,101208084
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388888889,0.611111111,0.0,week18,101208084
