,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,week,id
0,0.0,0.0,0.0,0.028250633828323067,0.03531329228540384,0.027707352408547627,0.1695814145903658,0.14276515873994927,0.18107368500072435,0.41530846314668596,week9,102208065
1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week10,102208065
2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week11,102208065
3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week12,102208065
4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week13,102208065
5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week14,102208065
6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week15,102208065
7,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week16,102208065
8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week17,102208065
9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,week18,102208065
