,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,week,id
0,0.0,0.0,0.0,0.0,0.0,0.5765765765765766,0.038610038594594595,0.1590876591441442,0.22572572568468469,0.0,week9,102208038
1,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week10,102208038
2,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week11,102208038
3,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week12,102208038
4,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week13,102208038
5,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week14,102208038
6,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week15,102208038
7,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week16,102208038
8,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week17,102208038
9,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714,0.2857142860000001,0.0,0.0,week18,102208038
