clustered_label,0,1,2,3,4
310,1.0,2.0,0.0,1.0,012
310,2.0,2.0,1.0,0.0,012
310,2.0,2.0,1.0,1.0,012
310,1.0,2.0,1.0,1.0,012
310,1.0,2.0,1.0,1.0,012
310,1.0,2.0,1.0,1.0,012
250,1.0,2.0,1.0,2.0,012
250,7.0,1.0,1.0,5.0,012
250,3.0,0.0,0.0,5.0,012
310,4.0,0.0,0.0,0.0,012
