clustered_label,0,1,2,3
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
330,1.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
264,1.0,0.0,0.0,0.0
265,1.0,0.0,0.0,0.0
265,1.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
244,,,,
244,,,,
244,,,,
244,,,,
244,,,,
244,,,,
244,,,,
213,,,,
216,,,,
216,,,,
243,,,,
213,,,,
213,,,,
213,,,,
213,,,,
213,,,,
216,,,,
216,,,,
440,,,,
