id,week1,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week2,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week3,week30,week31,week32,week33,week34,week35,week36,week4,week5,week6,week7,week8,week9
102205033,0.686,0.686,0.686,0.93,0.686,0.684,0.686,0.686,0.686,0.65,0.686,0.684,0.686,0.47,0.685,0.686,0.686,0.686,0.686,0.686,0.686,0.95,0.686,0.686,0.686,0.686,0.686,0.683,0.686,0.686,0.684,0.686,0.686,0.684,0.686,0.686
102205030,0.686,0.683,0.684,0.687,0.686,0.686,0.686,0.686,0.683,0.38,0.686,0.684,0.53,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.36,0.23,0.686,0.684,0.684
102205024,0.686,0.684,0.684,0.686,0.684,0.683,0.686,0.684,0.686,0.686,0.684,0.684,0.686,0.686,0.22,0.686,0.64,0.684,0.681,0.686,0.686,0.63,0.684,0.683,0.686,0.686,0.684,0.684,0.686,0.686,0.684,0.686,0.683,0.686,0.684,0.63
102205022,0.686,0.686,0.684,0.64,0.686,0.686,0.686,0.686,0.686,0.64,0.685,0.687,0.686,0.686,0.67,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.61,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.15,0.686,0.61,0.686
102205020,0.686,0.686,0.686,0.39,0.686,0.686,0.686,0.686,0.686,0.93,0.686,0.686,0.687,0.686,0.686,0.686,0.95,0.686,0.686,0.686,0.683,0.96,0.63,0.686,0.686,0.686,0.686,0.686,0.59,0.686,0.38,0.686,0.46,0.686,0.684,0.686
102205017,0.686,0.63,0.686,0.684,0.64,0.684,0.686,0.63,0.686,0.686,0.64,0.683,0.64,0.686,0.684,0.686,0.686,0.686,0.686,0.63,0.686,0.64,0.63,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.682,0.63,0.684,0.64,0.686,0.684
102103012,0.686,0.683,0.686,0.65,0.684,0.684,0.686,0.686,0.686,0.96,0.681,0.681,0.686,0.686,0.686,0.686,0.686,0.686,0.682,0.66,0.686,0.686,0.684,0.686,0.686,0.686,0.683,0.686,0.686,0.686,0.684,0.43,0.32,0.684,0.96,0.93
101502012,0.686,0.683,0.684,0.682,0.686,0.686,0.684,0.683,0.686,0.63,0.686,0.683,0.681,0.686,0.683,0.684,0.97,0.684,0.686,0.684,0.683,0.51,0.684,0.686,0.686,0.686,0.63,0.686,0.683,0.48,0.684,0.67,0.66,0.684,0.686,0.684
101401042,0.686,0.686,0.686,0.55,0.686,0.686,0.686,0.686,0.683,0.686,0.686,0.686,0.686,0.686,0.686,0.57,0.686,0.686,0.686,0.686,0.682,0.58,0.684,0.686,0.686,0.686,0.686,0.686,0.43,0.686,0.686,0.686,0.54,0.683,0.686,0.686
101209037,0.686,0.682,0.64,0.53,0.683,0.686,0.63,0.686,0.35,0.66,0.686,0.686,0.51,0.686,0.684,0.62,0.53,0.686,0.686,0.95,0.48,0.55,0.684,0.683,0.686,0.54,0.686,0.686,0.48,0.58,0.684,0.57,0.57,0.684,0.688,0.684
101208094,0.686,0.683,0.683,0.66,0.683,0.686,0.684,0.683,0.686,0.62,0.686,0.686,0.683,0.684,0.686,0.47,0.46,0.685,0.686,0.686,0.64,0.51,0.686,0.686,0.686,0.686,0.686,0.686,0.15,0.51,0.681,0.686,0.55,0.39,0.686,0.686
101208091,0.686,0.686,0.67,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.65,0.686,0.686,0.686,0.686,0.57,0.686,0.62,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.63,0.63,0.38,0.686,0.686,0.62
101208090,0.686,0.682,0.684,0.74,0.684,0.684,0.686,0.686,0.61,0.686,0.684,0.684,0.684,0.686,0.684,0.94,0.686,0.686,0.681,0.39,0.21,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.32,0.686,0.686,0.63,0.36,0.684,0.36,0.38
101208084,0.685,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.55,0.686,0.686,0.686,0.46,0.687,0.54,0.686,0.686,0.55,0.686,0.66,0.46,0.686,0.685,0.686,0.57,0.686,0.686,0.686
101208082,0.686,0.686,0.64,0.72,0.686,0.63,0.681,0.686,0.686,0.65,0.686,0.64,0.51,0.67,0.67,0.66,0.54,0.686,0.63,0.62,0.48,0.97,0.686,0.686,0.686,0.686,0.686,0.686,0.48,0.52,0.682,0.54,0.47,0.686,0.684,0.686
101208080,0.686,0.63,0.684,0.64,0.686,0.686,0.684,0.682,0.684,0.95,0.686,0.686,0.686,0.686,0.38,0.684,0.64,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.682,0.686,0.686,0.686,0.686
101208079,0.686,0.686,0.684,0.681,0.684,0.684,0.683,0.686,0.63,0.681,0.36,0.63,0.62,0.683,0.681,0.62,0.686,0.686,0.67,0.686,0.66,0.67,0.681,0.686,0.66,0.686,0.682,0.686,0.58,0.64,0.31,0.686,0.686,0.686,0.686,0.684
101208078,0.686,0.686,0.63,0.66,0.686,0.686,0.686,0.686,0.686,0.683,0.686,0.684,0.686,0.686,0.686,0.45,0.14,0.686,0.686,0.686,0.686,0.13,0.684,0.686,0.686,0.686,0.686,0.686,0.683,0.15,0.686,0.684,0.67,0.686,0.686,0.684
101208070,0.686,0.686,0.681,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.682,0.686,0.686,0.686,0.686,0.62,0.686,0.63,0.683,0.686,0.686,0.687,0.684,0.684,0.686,0.684,0.686,0.686
101208065,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.683,0.682,0.686,0.686,0.687,0.686,0.682,0.686,0.686,0.67,0.686,0.684,0.686,0.686,0.683,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686
101208064,0.686,0.684,0.47,0.685,0.684,0.686,0.62,0.686,0.683,0.686,0.686,0.684,0.686,0.686,0.682,0.15,0.54,0.686,0.686,0.684,0.686,0.48,0.686,0.686,0.686,0.67,0.686,0.686,0.48,0.57,0.681,0.36,0.687,0.683,0.686,0.684
101208062,0.686,0.684,0.684,0.686,0.684,0.686,0.684,0.686,0.64,0.64,0.686,0.682,0.686,0.62,0.686,0.684,0.66,0.686,0.686,0.686,0.8,0.686,0.684,0.686,0.686,0.682,0.686,0.686,0.63,0.36,0.681,0.684,0.686,0.684,0.682,0.64
101208060,0.686,0.686,0.686,0.8,0.686,0.686,0.686,0.686,0.686,0.96,0.686,0.686,0.686,0.686,0.686,0.55,0.67,0.686,0.686,0.684,0.686,0.62,0.63,0.686,0.686,0.684,0.684,0.682,0.32,0.63,0.686,0.686,0.686,0.686,0.686,0.686
101208058,0.686,0.681,0.66,0.16,0.22,0.684,0.684,0.686,0.686,0.95,0.686,0.15,0.58,0.684,0.686,0.686,0.42,0.686,0.686,0.686,0.683,0.12,0.66,0.686,0.686,0.686,0.686,0.686,0.686,0.55,0.76,0.63,0.46,0.683,0.65,0.686
101208056,0.686,0.686,0.63,0.43,0.686,0.686,0.686,0.686,0.62,0.686,0.686,0.683,0.686,0.686,0.686,0.12,0.46,0.686,0.686,0.686,0.11,0.46,0.684,0.686,0.686,0.686,0.686,0.686,0.14,0.686,0.684,0.62,0.686,0.686,0.686,0.686
101208055,0.686,0.686,0.686,0.65,0.686,0.686,0.686,0.686,0.688,0.64,0.686,0.686,0.686,0.686,0.686,0.45,0.687,0.687,0.684,0.686,0.15,0.686,0.686,0.686,0.686,0.686,0.685,0.686,0.76,0.688,0.58,0.685,0.687,0.686,0.45,0.683
101208054,0.686,0.683,0.686,0.48,0.686,0.684,0.683,0.686,0.684,0.686,0.63,0.684,0.686,0.683,0.684,0.686,0.55,0.686,0.683,0.686,0.686,0.47,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.47,0.686,0.55,0.66,0.684,0.686,0.683
101208053,0.686,0.686,0.684,0.686,0.683,0.36,0.686,0.37,0.686,0.686,0.686,0.681,0.681,0.686,0.683,0.686,0.66,0.685,0.63,0.686,0.684,0.686,0.684,0.686,0.686,0.56,0.23,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.684,0.686
101208052,0.686,0.61,0.681,0.12,0.681,0.63,0.683,0.686,0.684,0.63,0.686,0.681,0.681,0.686,0.686,0.684,0.46,0.686,0.684,0.686,0.686,0.14,0.681,0.683,0.63,0.684,0.685,0.686,0.683,0.13,0.686,0.687,0.33,0.681,0.686,0.681
101208050,0.686,0.686,0.683,0.75,0.686,0.686,0.686,0.686,0.684,0.688,0.686,0.684,0.686,0.686,0.36,0.686,0.15,0.686,0.686,0.686,0.58,0.97,0.63,0.686,0.686,0.686,0.686,0.686,0.685,0.48,0.684,0.686,0.13,0.682,0.686,0.686
101208034,0.686,0.686,0.684,0.686,0.686,0.686,0.684,0.686,0.684,0.684,0.686,0.683,0.686,0.686,0.686,0.686,0.686,0.686,0.684,0.686,0.66,0.686,0.684,0.686,0.58,0.682,0.682,0.686,0.66,0.686,0.684,0.685,0.686,0.684,0.684,0.686
101208031,0.686,0.686,0.683,0.684,0.686,0.684,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.66,0.67,0.686,0.686,0.683,0.685,0.686,0.684,0.686,0.686,0.683,0.686,0.686,0.14,0.77,0.682,0.687,0.66,0.686,0.683,0.94
101208025,0.686,0.686,0.38,0.37,0.686,0.686,0.686,0.686,0.686,0.36,0.686,0.686,0.686,0.15,0.686,0.686,0.49,0.686,0.686,0.686,0.686,0.49,0.63,0.686,0.686,0.686,0.686,0.686,0.684,0.14,0.62,0.686,0.45,0.684,0.686,0.686
101208017,0.686,0.686,0.686,0.92,0.686,0.686,0.686,0.686,0.686,0.65,0.686,0.686,0.57,0.686,0.686,0.65,0.681,0.686,0.683,0.686,0.51,0.58,0.63,0.686,0.686,0.61,0.686,0.686,0.686,0.51,0.63,0.45,0.63,0.684,0.686,0.686
101208015,0.686,0.686,0.686,0.15,0.686,0.686,0.686,0.686,0.684,0.65,0.686,0.686,0.686,0.686,0.686,0.686,0.15,0.686,0.686,0.686,0.686,0.46,0.686,0.686,0.686,0.686,0.686,0.686,0.43,0.48,0.686,0.64,0.66,0.686,0.686,0.686
101208008,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.64,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.687,0.67,0.686,0.686,0.686,0.686,0.686,0.686,0.67,0.51,0.686,0.63,0.683,0.686,0.686,0.686
101208005,0.686,0.686,0.686,0.65,0.686,0.686,0.686,0.67,0.686,0.681,0.686,0.686,0.686,0.686,0.686,0.58,0.687,0.686,0.686,0.686,0.686,0.66,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.61,0.686,0.686,0.684,0.686
101208004,0.686,0.686,0.686,0.51,0.684,0.684,0.684,0.686,0.686,0.686,0.686,0.684,0.686,0.686,0.686,0.684,0.686,0.683,0.686,0.686,0.686,0.47,0.684,0.35,0.686,0.686,0.686,0.686,0.686,0.686,0.683,0.684,0.682,0.686,0.686,0.686
101208003,0.686,0.686,0.686,0.65,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.77,0.686,0.686,0.686,0.686,0.66,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.75,0.686,0.686,0.65,0.686,0.686,0.686
