0,1,2,clustered_label
7.0,5.0,1.0,751
6.0,4.0,1.0,641
6.0,5.0,6.0,656
4.0,6.0,2.0,462
4.0,1.0,1.0,411
7.0,4.0,0.0,740
4.0,9.0,2.0,492
6.0,4.0,1.0,641
5.0,4.0,1.0,541
8.0,4.0,2.0,842
5.0,3.0,2.0,532
7.0,5.0,0.0,750
3.0,1.0,0.0,310
8.0,5.0,1.0,851
7.0,3.0,0.0,730
6.0,6.0,1.0,661
6.0,5.0,2.0,652
2.0,0.0,1.0,201
5.0,4.0,3.0,543
5.0,7.0,0.0,570
5.0,5.0,2.0,552
11.0,8.0,4.0,1184
5.0,5.0,2.0,552
3.0,3.0,4.0,334
4.0,2.0,3.0,423
3.0,4.0,0.0,340
6.0,4.0,0.0,640
8.0,5.0,2.0,852
7.0,1.0,1.0,711
5.0,6.0,2.0,562
6.0,4.0,1.0,641
6.0,4.0,0.0,640
5.0,5.0,2.0,552
6.0,7.0,2.0,672
8.0,5.0,1.0,851
7.0,6.0,0.0,760
2.0,1.0,1.0,211
7.0,10.0,4.0,7104
5.0,3.0,3.0,533
6.0,7.0,1.0,671
5.0,3.0,0.0,530
8.0,9.0,4.0,894
6.0,5.0,2.0,652
8.0,8.0,4.0,884
4.0,5.0,3.0,453
3.0,3.0,2.0,332
6.0,6.0,2.0,662
2.0,4.0,2.0,242
8.0,5.0,1.0,851
5.0,5.0,1.0,551
8.0,1.0,5.0,815
3.0,2.0,3.0,323
4.0,6.0,3.0,463
8.0,6.0,3.0,863
7.0,5.0,1.0,751
9.0,6.0,3.0,963
5.0,4.0,1.0,541
6.0,4.0,1.0,641
10.0,5.0,2.0,1052
6.0,4.0,0.0,640
5.0,5.0,1.0,551
6.0,4.0,3.0,643
6.0,4.0,1.0,641
6.0,4.0,3.0,643
5.0,4.0,5.0,545
1.0,1.0,2.0,112
8.0,6.0,2.0,862
3.0,4.0,0.0,340
6.0,5.0,1.0,651
6.0,7.0,1.0,671
5.0,4.0,2.0,542
6.0,5.0,1.0,651
7.0,8.0,2.0,782
6.0,5.0,2.0,652
5.0,4.0,1.0,541
5.0,4.0,4.0,544
5.0,0.0,1.0,501
3.0,4.0,2.0,342
4.0,2.0,1.0,421
7.0,4.0,1.0,741
6.0,2.0,2.0,622
7.0,7.0,5.0,775
6.0,2.0,1.0,621
6.0,7.0,1.0,671
6.0,7.0,3.0,673
7.0,6.0,1.0,761
4.0,6.0,2.0,462
6.0,5.0,0.0,650
6.0,6.0,2.0,662
6.0,2.0,1.0,621
4.0,3.0,2.0,432
7.0,8.0,1.0,781
6.0,2.0,2.0,622
3.0,4.0,2.0,342
4.0,4.0,1.0,441
8.0,6.0,1.0,861
6.0,4.0,1.0,641
6.0,6.0,2.0,662
1.0,2.0,1.0,121
5.0,6.0,4.0,564
7.0,4.0,5.0,745
4.0,1.0,0.0,410
9.0,8.0,2.0,982
6.0,6.0,3.0,663
4.0,1.0,0.0,410
6.0,4.0,2.0,642
5.0,4.0,2.0,542
6.0,5.0,1.0,651
6.0,5.0,1.0,651
4.0,2.0,2.0,422
7.0,6.0,1.0,761
4.0,5.0,1.0,451
6.0,5.0,2.0,652
12.0,7.0,2.0,1272
8.0,4.0,4.0,844
6.0,3.0,1.0,631
5.0,5.0,2.0,552
5.0,2.0,1.0,521
5.0,6.0,4.0,564
4.0,2.0,4.0,424
6.0,5.0,1.0,651
1.0,5.0,2.0,152
5.0,6.0,2.0,562
10.0,6.0,1.0,1061
3.0,4.0,2.0,342
5.0,5.0,6.0,556
