0,1,2,clustered_label
6.0,7.0,2.0,672
7.0,4.0,2.0,742
6.0,4.0,4.0,644
5.0,5.0,3.0,553
2.0,4.0,1.0,241
7.0,5.0,1.0,751
7.0,6.0,5.0,765
6.0,5.0,1.0,651
6.0,3.0,4.0,634
6.0,4.0,4.0,644
5.0,3.0,2.0,532
6.0,5.0,2.0,652
0.0,3.0,0.0,030
8.0,6.0,2.0,862
7.0,5.0,3.0,753
5.0,6.0,4.0,564
3.0,7.0,1.0,371
5.0,1.0,1.0,511
5.0,5.0,4.0,554
7.0,8.0,3.0,783
4.0,4.0,1.0,441
10.0,6.0,4.0,1064
9.0,5.0,2.0,952
5.0,4.0,3.0,543
1.0,4.0,4.0,144
3.0,6.0,0.0,360
7.0,5.0,2.0,752
7.0,7.0,1.0,771
5.0,4.0,3.0,543
9.0,6.0,4.0,964
3.0,6.0,1.0,361
3.0,7.0,6.0,376
5.0,3.0,3.0,533
5.0,5.0,2.0,552
5.0,5.0,0.0,550
8.0,6.0,2.0,862
2.0,1.0,2.0,212
6.0,8.0,1.0,681
7.0,5.0,4.0,754
5.0,6.0,5.0,565
4.0,3.0,0.0,430
9.0,8.0,3.0,983
2.0,6.0,4.0,264
4.0,7.0,6.0,476
2.0,3.0,2.0,232
5.0,6.0,2.0,562
3.0,7.0,3.0,373
7.0,7.0,2.0,772
7.0,4.0,3.0,743
6.0,6.0,5.0,665
7.0,2.0,5.0,725
7.0,7.0,4.0,774
7.0,5.0,6.0,756
4.0,6.0,3.0,463
5.0,3.0,1.0,531
11.0,4.0,3.0,1143
6.0,5.0,2.0,652
4.0,4.0,1.0,441
10.0,6.0,3.0,1063
2.0,3.0,1.0,231
5.0,5.0,3.0,553
3.0,4.0,4.0,344
3.0,5.0,1.0,351
7.0,4.0,3.0,743
7.0,4.0,2.0,742
6.0,5.0,3.0,653
9.0,5.0,2.0,952
5.0,3.0,2.0,532
8.0,5.0,1.0,851
5.0,6.0,3.0,563
5.0,3.0,1.0,531
6.0,6.0,1.0,661
9.0,3.0,3.0,933
6.0,5.0,2.0,652
3.0,5.0,4.0,354
6.0,5.0,3.0,653
6.0,4.0,1.0,641
5.0,4.0,4.0,544
0.0,1.0,3.0,013
7.0,6.0,1.0,761
6.0,4.0,2.0,642
7.0,7.0,3.0,773
6.0,4.0,2.0,642
7.0,5.0,2.0,752
7.0,5.0,2.0,752
10.0,3.0,3.0,1033
5.0,3.0,3.0,533
4.0,6.0,1.0,461
7.0,5.0,1.0,751
5.0,3.0,1.0,531
6.0,4.0,2.0,642
9.0,6.0,0.0,960
6.0,3.0,2.0,632
3.0,8.0,2.0,382
2.0,4.0,2.0,242
8.0,4.0,1.0,841
6.0,6.0,1.0,661
9.0,2.0,3.0,923
1.0,6.0,1.0,161
5.0,4.0,2.0,542
6.0,5.0,6.0,656
2.0,2.0,1.0,221
8.0,8.0,4.0,884
3.0,5.0,3.0,353
5.0,4.0,2.0,542
7.0,5.0,3.0,753
6.0,4.0,2.0,642
8.0,5.0,2.0,852
6.0,4.0,2.0,642
4.0,3.0,0.0,430
7.0,9.0,5.0,795
1.0,3.0,2.0,132
7.0,6.0,4.0,764
8.0,9.0,7.0,897
3.0,4.0,4.0,344
4.0,5.0,4.0,454
7.0,3.0,3.0,733
4.0,4.0,1.0,441
7.0,6.0,4.0,764
3.0,2.0,2.0,322
8.0,5.0,3.0,853
2.0,5.0,2.0,252
5.0,6.0,3.0,563
5.0,9.0,6.0,596
0.0,5.0,2.0,052
6.0,4.0,2.0,642
