,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster
0,0.0759493670886076,0,0,0.012658227848101266,0.0379746835443038,0.0379746835443038,0.189873417721519,0.11392405063291139,0.17721518987341772,0.35443037974683544,1000
1,0.0,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1100
2,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1200
3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1210
4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1220
5,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1240
6,0.0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1300
7,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1400
8,0.0,0,0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,1400
9,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1409
10,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1410
11,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1419
12,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1430
13,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1440
14,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1450
15,0.0,0,0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,1460
16,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1500
17,0.1,0,0,0.016666666666666666,0.016666666666666666,0.05,0.18333333333333332,0.05,0.18333333333333332,0.4,1600
18,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1610
19,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1620
20,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1630
21,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1630
22,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1639
23,0.09615384615384616,0,0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.15384615384615385,0.4423076923076923,1650
24,0.0,0,0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1651
25,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652
26,0.08823529411764706,0,0,0.0,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.14705882352941177,0.4411764705882353,1653
27,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1654
28,0.0,0,0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,1655
29,0.0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1656
30,0.3333333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1658
31,0.3333333333333333,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1660
32,0.0,0,0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,2000
33,0.0,0,0,0.05555555555555555,0.0,0.05555555555555555,0.4444444444444444,0.1111111111111111,0.05555555555555555,0.2777777777777778,3000
34,0.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,3100
35,0.0,0,0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,3200
