clustered_label,point_x,point_y
320,17/18,35/36
660,29/24,19/16
655,41/36,41/36
350,17/18,35/36
390,17/18,35/36
230,7/12,9/16
662,29/24,19/16
657,41/36,41/36
330,17/18,35/36
620,13/12,13/12
667,29/24,19/16
640,13/12,13/12
665,29/24,19/16
610,13/12,13/12
652,41/36,41/36
633,53/48,9/8
520,1/2,19/36
540,1/2,19/36
631,53/48,9/8
220,7/12,9/16
664,29/24,19/16
360,17/18,35/36
659,41/36,41/36
561,1/2,55/108
590,1/2,19/36
580,1/2,19/36
530,1/2,19/36
216,7/12,169/288
550,1/2,19/36
635,53/48,9/8
636,53/48,9/8
565,1/2,55/108
250,7/12,9/16
566,1/2,55/108
568,1/2,55/108
564,1/2,55/108
653,41/36,41/36
240,7/12,9/16
214,7/12,169/288
634,53/48,9/8
632,53/48,9/8
140,1/24,1/8
211,7/12,169/288
215,7/12,169/288
440,1/24,1/8
430,1/24,1/8
460,1/24,1/8
570,1/2,19/36
562,1/2,55/108
310,17/18,35/36
370,17/18,35/36
510,1/2,19/36
637,53/48,9/8
270,7/12,9/16
654,41/36,41/36
480,1/24,1/8
180,1/24,1/8
280,7/12,9/16
380,17/18,35/36
110,1/24,1/8
170,1/24,1/8
160,1/24,1/8
212,7/12,169/288
638,53/48,9/8
410,1/24,1/8
130,1/24,1/8
213,7/12,169/288
260,7/12,9/16
567,1/2,55/108
120,1/24,1/8
420,1/24,1/8
470,1/24,1/8
150,1/24,1/8
450,1/24,1/8
340,17/18,35/36
563,1/2,55/108
569,1/2,55/108
650,41/36,41/36
