,cluster,mean,std
0,100.0,0.34577,0.16437
1,200.0,0.12129,0.10229
2,300.0,0.03305,0.02713
3,400.0,0.13514,0.09765
4,500.0,0.03242,0.02404
5,600.0,0.00177,0.00421
7,110.0,0.28791,0.07216
8,120.0,0.64532,0.1424
9,130.0,0.42292,0.17847
10,140.0,0.21522,0.1129
11,150.0,0.25935,0.07706
12,160.0,0.33724,0.086
13,170.0,0.33307,0.11308
14,180.0,0.28541,0.08978
15,210.0,0.05486,0.03294
16,220.0,0.08931,0.04241
17,230.0,0.09904,0.04517
18,240.0,0.15083,0.04441
19,250.0,0.42477,0.13454
20,260.0,0.20984,0.10826
21,270.0,0.23815,0.05047
22,280.0,0.05754,0.05985
23,310.0,0.04478,0.01995
24,320.0,0.01549,0.01455
25,330.0,0.02404,0.01219
26,340.0,0.08408,0.04345
27,350.0,0.02771,0.016
28,360.0,0.03375,0.02191
29,370.0,0.03452,0.01899
30,380.0,0.04799,0.02708
31,390.0,0.07738,0.03237
32,410.0,0.25848,0.0681
33,420.0,0.21374,0.08564
34,430.0,0.10216,0.06132
35,440.0,0.21414,0.07695
36,450.0,0.06836,0.07653
37,460.0,0.11151,0.05293
38,470.0,0.32145,0.14568
39,480.0,0.06888,0.04517
40,510.0,0.0775,0.01848
41,520.0,0.02158,0.01825
42,530.0,0.01178,0.00957
43,540.0,0.08906,0.02692
44,550.0,0.04062,0.02228
45,560.0,0.02709,0.0101
46,570.0,0.04488,0.01599
47,580.0,0.04892,0.01327
48,590.0,0.02557,0.01147
49,610.0,0.0234,0.00792
50,620.0,0.00672,0.00614
51,630.0,0.00707,0.0056
52,640.0,0.00942,0.0061
53,650.0,0.0043,0.00338
54,660.0,0.0004,0.0008
56,211.0,0.06651,0.02489
57,212.0,0.06772,0.01985
58,213.0,0.08471,0.01347
59,214.0,0.00905,0.01476
60,215.0,0.02147,0.01539
61,216.0,0.06715,0.01532
62,561.0,0.04116,0.0076
63,562.0,0.02356,0.0071
64,563.0,0.03149,0.00484
65,564.0,0.03899,0.00708
66,565.0,0.02979,0.00529
67,566.0,0.01708,0.00463
68,567.0,0.03685,0.00553
69,568.0,0.02428,0.00519
70,569.0,0.01401,0.0
71,631.0,0.00306,0.00348
72,632.0,0.00201,0.00207
73,633.0,0.00898,0.00278
74,634.0,0.0032,0.00372
75,635.0,0.0072,0.00529
76,636.0,0.01451,0.00303
77,637.0,0.00932,0.00482
78,638.0,0.0104,0.00391
79,651.0,0.00531,0.00014
80,652.0,0.00963,0.00245
81,653.0,0.00793,0.00231
82,654.0,0.00443,0.00217
83,655.0,0.00334,0.00199
84,656.0,0.00342,0.00154
85,657.0,0.00194,0.00172
86,658.0,0.00586,0.00327
87,659.0,0.00124,0.00146
88,661.0,7e-05,0.00015
89,662.0,0.00047,0.00056
90,663.0,0.00074,0.00057
91,664.0,0.00134,0.00085
92,665.0,0.00346,0.00109
93,666.0,0.00112,0.00086
94,667.0,0.0004,0.00058
95,668.0,0.00068,0.00077
