,cluster,mean,std
196,1106.0,0.36847,0.02403
197,1107.0,0.30612,0.00577
198,1108.0,0.23544,0.01857
199,1109.0,0.26943,0.00468
200,1111.0,0.20279,0.01962
201,1112.0,0.15442,0.02016
202,1113.0,0.27864,0.02294
203,1114.0,0.18651,0.00894
204,1115.0,0.17581,0.01742
205,1116.0,0.12866,0.01397
206,1117.0,0.19549,0.01675
207,1118.0,0.19404,0.02301
208,1119.0,0.13762,0.00999
209,1121.0,0.16887,0.01297
210,1122.0,0.12256,0.00512
211,1123.0,0.09683,0.00961
212,1124.0,0.10146,0.00967
213,1125.0,0.13897,0.00997
214,1126.0,0.10633,0.01311
215,1127.0,0.11175,0.0039
216,1128.0,0.11784,0.00959
217,1129.0,0.14321,0.00926
218,1131.0,0.08033,0.00493
219,1132.0,0.10616,0.01637
220,1701.0,0.17215,0.00132
221,1702.0,0.07642,0.0091
222,1703.0,0.0372,0.00369
223,1704.0,0.09767,0.0139
224,1705.0,0.04692,0.00656
225,1706.0,0.08626,0.00618
226,1707.0,0.08737,0.0116
227,1708.0,0.09935,0.01726
228,1709.0,0.0895,0.01999
229,1711.0,0.063,0.01022
230,1712.0,0.06591,0.01067
231,1713.0,0.03326,0.02521
232,1714.0,0.04545,0.00819
233,1715.0,0.08694,0.0
234,1716.0,0.06974,0.00875
235,1717.0,0.09581,0.01565
236,1718.0,0.04809,0.01461
237,1719.0,0.04163,0.01539
238,1721.0,0.08599,0.00719
239,1722.0,0.07786,0.01186
240,1723.0,0.05732,0.00657
241,1724.0,0.09594,0.00642
242,1725.0,0.07279,0.0
243,1726.0,0.06444,0.01488
244,1727.0,0.14038,0.02367
245,1728.0,0.12329,0.01963
246,1729.0,0.18612,0.02072
247,1731.0,0.06742,0.00874
248,1732.0,0.12367,0.01765
249,1733.0,0.09322,0.00793
250,1734.0,0.14014,0.01649
251,1735.0,0.21385,0.0
252,1736.0,0.03085,0.02101
253,1737.0,0.07903,0.01671
254,1738.0,0.15683,0.02251
255,1739.0,0.16943,0.02209
256,2501.0,0.01616,0.01434
257,2502.0,0.10281,0.03154
258,2503.0,0.14794,0.0484
259,2504.0,0.52381,0.0
260,2505.0,0.18596,0.02634
261,2506.0,0.16443,0.03109
262,2507.0,0.20285,0.02957
263,2508.0,0.22178,0.06046
264,2509.0,0.10598,0.025
265,2511.0,0.20952,0.02801
266,2512.0,0.1341,0.01067
267,2513.0,0.26099,0.0449
268,2514.0,0.25917,0.02696
269,2515.0,0.23442,0.00307
270,2516.0,0.22347,0.01272
271,2517.0,0.08013,0.03759
272,2518.0,0.14193,0.01898
273,2519.0,0.18171,0.03097
274,2521.0,0.17986,0.03883
275,2522.0,0.19905,0.03784
276,2523.0,0.2667,0.05665
277,2524.0,0.39061,0.01961
278,2525.0,0.17608,0.04168
279,2526.0,0.1839,0.06256
280,2527.0,0.28235,0.03517
281,2528.0,0.16422,0.0213
282,2529.0,0.30388,0.0224
283,2531.0,0.17501,0.04807
284,2532.0,0.28395,0.04092
285,2601.0,0.0,0.0
286,2602.0,0.16472,0.04009
287,2603.0,0.14563,0.02879
288,2604.0,0.08103,0.02606
289,2605.0,0.04217,0.0204
290,2606.0,0.12643,0.00927
291,2607.0,0.19034,0.00574
292,2608.0,0.17083,0.0
293,2609.0,0.06738,0.00929
294,2611.0,0.03672,0.01563
295,2612.0,0.03578,0.01139
296,2613.0,0.06047,0.01327
297,2614.0,0.03174,0.0182
298,2615.0,0.00674,0.01242
299,2616.0,0.06201,0.03214
300,2617.0,0.40068,0.0
301,2618.0,0.13165,0.02804
302,2619.0,0.10379,0.03119
303,2621.0,0.17669,0.00205
304,2622.0,0.0,0.0
305,2623.0,0.09005,0.01833
306,2624.0,0.04628,0.0112
307,2625.0,0.04468,0.01325
308,2626.0,0.02191,0.01154
309,2627.0,0.06912,0.04302
