,cluster,mean,std
0,10000.0,0.34577,0.16437
1,20000.0,0.12129,0.10229
2,30000.0,0.03305,0.02713
3,40000.0,0.13514,0.09765
4,50000.0,0.03242,0.02404
5,60000.0,0.00177,0.00421
7,11000.0,0.28791,0.07216
8,12000.0,0.64532,0.1424
9,13000.0,0.42292,0.17847
10,14000.0,0.21522,0.1129
11,15000.0,0.25935,0.07706
12,16000.0,0.33724,0.086
13,17000.0,0.33307,0.11308
14,18000.0,0.28541,0.08978
16,21000.0,0.05486,0.03294
17,22000.0,0.08931,0.04241
18,23000.0,0.09904,0.04517
19,24000.0,0.15083,0.04441
20,25000.0,0.42477,0.13454
21,26000.0,0.20984,0.10826
22,27000.0,0.23815,0.05047
23,28000.0,0.05754,0.05985
25,31000.0,0.04478,0.01995
26,32000.0,0.01549,0.01455
27,33000.0,0.02404,0.01219
28,34000.0,0.08408,0.04345
29,35000.0,0.02771,0.016
30,36000.0,0.03375,0.02191
31,37000.0,0.03452,0.01899
32,38000.0,0.04799,0.02708
33,39000.0,0.07738,0.03237
35,41000.0,0.25848,0.0681
36,42000.0,0.21374,0.08564
37,43000.0,0.10216,0.06132
38,44000.0,0.21414,0.07695
39,45000.0,0.06836,0.07653
40,46000.0,0.11151,0.05293
41,47000.0,0.32145,0.14568
42,48000.0,0.06888,0.04517
44,51000.0,0.0775,0.01848
45,52000.0,0.02158,0.01825
46,53000.0,0.01178,0.00957
47,54000.0,0.08906,0.02692
48,55000.0,0.04062,0.02228
49,56000.0,0.02709,0.0101
50,57000.0,0.04488,0.01599
51,58000.0,0.04892,0.01327
52,59000.0,0.02557,0.01147
54,61000.0,0.0234,0.00792
55,62000.0,0.00672,0.00614
56,63000.0,0.00707,0.0056
57,64000.0,0.00942,0.0061
58,65000.0,0.0043,0.00338
59,66000.0,0.0004,0.0008
61,11100.0,0.37146,0.01716
62,11200.0,0.32982,0.04541
63,11300.0,0.23813,0.01046
64,11400.0,0.2022,0.01572
65,12100.0,0.52323,0.00656
66,12200.0,1.0,0.0
67,12300.0,0.49949,0.06285
68,12400.0,0.71978,0.05771
69,12500.0,0.53848,0.01603
70,12600.0,0.76032,0.05698
71,13100.0,0.1044,0.03412
72,13200.0,0.12471,0.08327
73,13300.0,0.4967,0.05857
74,13400.0,0.42455,0.06289
75,13500.0,0.65095,0.10748
76,13600.0,0.29105,0.1739
77,14100.0,0.12771,0.0
78,14200.0,0.00821,0.01209
79,14300.0,0.2579,0.01931
80,14400.0,0.20952,0.05995
81,14500.0,0.44653,0.01134
82,14600.0,0.28629,0.0634
83,15100.0,0.20956,0.03074
84,15200.0,0.19474,0.00813
85,15300.0,0.35773,0.0
86,15400.0,0.35755,0.00975
87,16100.0,0.23615,0.01318
88,16200.0,0.39733,0.03267
89,16300.0,0.46109,0.02844
90,16400.0,0.27397,0.04925
91,16500.0,0.34944,0.02445
92,16600.0,0.37432,0.00217
93,17100.0,0.31604,0.02511
94,17200.0,0.28703,0.07246
95,17300.0,0.46048,0.06983
96,17400.0,0.38424,0.08673
97,17500.0,0.38092,0.09972
98,17600.0,0.09518,0.09521
99,18100.0,0.464,0.05612
100,18200.0,0.24442,0.04835
101,18300.0,0.29935,0.04508
102,18400.0,0.28821,0.0543
103,18500.0,0.30384,0.07687
104,18600.0,0.20364,0.08572
106,21100.0,0.02289,0.01669
107,21200.0,0.0345,0.01761
108,21300.0,0.00913,0.01594
109,21400.0,0.08758,0.01876
110,21500.0,0.0772,0.01494
111,21600.0,0.06777,0.019
112,22100.0,0.06467,0.01006
