clustered_label,point_x,point_y
32600,37/36,37/36
66423,257/216,515/432
65510,125/108,125/108
35200,23/24,71/72
39399,37/36,37/36
23100,5/8,115/192
66450,85/72,85/72
65730,125/108,125/108
65840,125/108,125/108
66422,257/216,515/432
33900,53/54,107/108
62100,41/36,41/36
65820,125/108,125/108
66220,85/72,85/72
62500,41/36,41/36
66140,85/72,85/72
66120,85/72,85/72
66110,85/72,85/72
66440,85/72,85/72
66410,85/72,85/72
66424,257/216,515/432
65640,85/72,169/144
66421,257/216,515/432
64500,53/48,9/8
66520,55/48,167/144
66426,257/216,515/432
64400,53/48,9/8
66460,85/72,85/72
66390,125/108,251/216
61710,89/72,355/288
65250,125/108,125/108
63400,41/36,41/36
66560,55/48,167/144
32500,37/36,37/36
52100,1/2,55/108
66240,85/72,85/72
62700,41/36,41/36
65630,85/72,169/144
54299,19/36,19/36
63700,41/36,41/36
65620,85/72,169/144
65280,125/108,125/108
22399,5/8,115/192
61100,29/24,19/16
66540,55/48,167/144
61500,29/24,19/16
66150,85/72,85/72
36600,37/36,49/48
66610,55/48,167/144
64200,53/48,9/8
61200,29/24,19/16
65369,55/48,83/72
66350,125/108,251/216
32200,37/36,37/36
65350,55/48,83/72
66670,55/48,167/144
56799,19/36,25/48
66320,125/108,251/216
65520,125/108,125/108
59900,1/2,55/108
66370,125/108,251/216
64800,53/48,9/8
66660,55/48,167/144
36200,37/36,49/48
58399,1/2,55/108
53500,19/36,25/48
66130,85/72,85/72
21590,7/12,505/864
55600,1/2,55/108
66380,125/108,251/216
64099,53/48,9/8
32299,37/36,37/36
62400,41/36,41/36
63260,125/108,125/108
53700,19/36,25/48
65710,125/108,125/108
61760,89/72,355/288
65650,85/72,169/144
33600,53/54,107/108
66570,55/48,167/144
66230,85/72,85/72
65830,125/108,125/108
56200,19/36,25/48
66425,257/216,515/432
61750,89/72,355/288
66330,125/108,251/216
25100,7/12,169/288
56480,19/36,227/432
66430,85/72,85/72
66680,55/48,167/144
25200,7/12,169/288
65900,41/36,41/36
63300,41/36,41/36
61720,89/72,355/288
58500,1/2,55/108
65670,85/72,169/144
54100,19/36,19/36
65230,125/108,125/108
61600,29/24,19/16
65220,125/108,125/108
56570,25/48,151/288
63560,85/72,169/144
65340,55/48,83/72
66510,55/48,167/144
24780,5/8,355/576
66650,55/48,167/144
21200,7/12,169/288
66550,55/48,167/144
58700,1/2,55/108
56510,25/48,151/288
24600,5/8,115/192
61300,29/24,19/16
54400,19/36,19/36
63100,41/36,41/36
65310,55/48,83/72
65680,85/72,169/144
55200,1/2,55/108
56330,13/24,77/144
65660,85/72,169/144
66340,125/108,251/216
14400,1/48,1/24
53100,19/36,25/48
21150,43/72,19/32
56430,19/36,227/432
63549,85/72,169/144
65259,125/108,125/108
63249,125/108,125/108
52900,1/2,55/108
23300,5/8,115/192
65380,55/48,83/72
56320,13/24,77/144
56520,25/48,151/288
66310,125/108,251/216
52300,1/2,55/108
52600,1/2,55/108
63900,41/36,41/36
65240,125/108,125/108
21130,43/72,19/32
25400,7/12,169/288
66640,55/48,167/144
54200,19/36,19/36
63540,85/72,169/144
58600,1/2,55/108
65359,55/48,83/72
61729,89/72,355/288
58800,1/2,55/108
25500,7/12,169/288
65320,55/48,83/72
56410,19/36,227/432
63239,125/108,125/108
58099,1/2,55/108
58900,1/2,55/108
56700,19/36,25/48
63230,125/108,125/108
14599,1/48,1/24
63510,85/72,169/144
55100,1/2,55/108
21140,43/72,19/32
58299,1/2,55/108
21570,7/12,505/864
61739,89/72,355/288
59800,1/2,55/108
66160,85/72,85/72
66250,85/72,85/72
62300,41/36,41/36
65330,55/48,83/72
22699,5/8,115/192
44799,1/48,1/32
62900,41/36,41/36
43500,1/72,1/16
53200,19/36,25/48
56460,19/36,227/432
39299,37/36,37/36
55899,1/2,55/108
65780,125/108,125/108
65770,125/108,125/108
63580,85/72,169/144
33299,53/54,107/108
43100,1/72,1/16
46800,1/72,1/24
36400,37/36,49/48
32400,37/36,37/36
57299,19/36,25/48
36500,37/36,49/48
63570,85/72,169/144
62200,41/36,41/36
39200,37/36,37/36
56100,19/36,25/48
43300,1/72,1/16
56350,13/24,77/144
63270,125/108,125/108
66530,55/48,167/144
57499,19/36,25/48
65269,125/108,125/108
31400,23/24,71/72
37300,53/54,217/216
43200,1/72,1/16
59600,1/2,55/108
37400,53/54,217/216
46300,1/72,1/24
57399,19/36,25/48
51400,19/36,19/36
64599,53/48,9/8
46600,1/72,1/24
52700,1/2,55/108
59300,1/2,55/108
52400,1/2,55/108
56550,25/48,151/288
63800,41/36,41/36
52200,1/2,55/108
65290,125/108,125/108
27600,5/8,115/192
24770,5/8,355/576
58200,1/2,55/108
62800,41/36,41/36
64300,53/48,9/8
66630,55/48,167/144
65860,125/108,125/108
65540,125/108,125/108
46200,1/72,1/24
65810,125/108,125/108
24400,5/8,115/192
56450,19/36,227/432
51200,19/36,19/36
56310,13/24,77/144
65790,125/108,125/108
32100,37/36,37/36
24300,5/8,115/192
56440,19/36,227/432
53600,19/36,25/48
65850,125/108,125/108
48600,1/48,1/24
21550,7/12,505/864
65760,125/108,125/108
65880,125/108,125/108
24500,5/8,115/192
48400,1/48,1/24
24730,5/8,355/576
63220,125/108,125/108
36300,37/36,49/48
65530,125/108,125/108
56540,25/48,151/288
65570,125/108,125/108
39100,37/36,37/36
31700,23/24,71/72
48100,1/48,1/24
63210,125/108,125/108
18250,1/144,1/48
52800,1/2,55/108
63520,85/72,169/144
56420,19/36,227/432
18220,1/144,1/48
54500,19/36,19/36
63530,85/72,169/144
14199,1/48,1/24
28499,7/12,169/288
38100,23/24,71/72
37500,53/54,217/216
11300,1/48,1/16
17230,1/144,1/48
22500,5/8,115/192
65750,125/108,125/108
37200,53/54,217/216
33500,53/54,107/108
59500,1/2,55/108
35800,23/24,71/72
35300,23/24,71/72
22600,5/8,115/192
59400,1/2,55/108
52500,1/2,55/108
65550,125/108,125/108
65560,125/108,125/108
65720,125/108,125/108
35400,23/24,71/72
65870,125/108,125/108
35700,23/24,71/72
23700,5/8,115/192
38600,23/24,71/72
48500,1/48,1/24
59700,1/2,55/108
65400,41/36,41/36
21160,43/72,19/32
16399,1/72,1/16
28100,7/12,169/288
22800,5/8,115/192
16200,1/72,1/16
57100,19/36,25/48
31600,23/24,71/72
21600,7/12,169/288
21110,43/72,19/32
35500,23/24,71/72
56489,19/36,227/432
41200,1/48,1/24
18650,1/96,1/72
56340,13/24,77/144
18320,1/144,1/48
28600,7/12,169/288
24800,5/8,115/192
13400,1/48,1/24
21520,7/12,505/864
21540,7/12,505/864
53400,19/36,25/48
28399,7/12,169/288
26200,5/8,59/96
21400,7/12,169/288
21530,7/12,505/864
55799,1/2,55/108
27399,5/8,115/192
56560,25/48,151/288
24760,5/8,355/576
55500,1/2,55/108
18350,1/144,1/48
27800,5/8,115/192
18500,1/48,1/24
21300,7/12,169/288
23500,5/8,115/192
21560,7/12,505/864
28300,7/12,169/288
12300,1/48,1/24
27699,5/8,115/192
23600,5/8,115/192
18340,1/144,1/48
18230,1/144,1/48
18360,1/144,1/48
24750,5/8,355/576
55399,1/2,55/108
26100,5/8,59/96
21510,7/12,505/864
37100,53/54,217/216
42200,1/48,1/24
42600,1/48,1/24
33399,53/54,107/108
33700,53/54,107/108
35600,23/24,71/72
39600,37/36,37/36
57600,19/36,25/48
27100,5/8,115/192
37600,53/54,217/216
22200,5/8,115/192
36700,37/36,49/48
38200,23/24,71/72
23800,5/8,115/192
23400,5/8,115/192
53299,19/36,25/48
18210,1/144,1/48
13100,1/48,1/24
43600,1/72,1/16
57200,19/36,25/48
38299,23/24,71/72
39500,37/36,37/36
31500,23/24,71/72
35100,23/24,71/72
11400,1/48,1/16
16100,1/72,1/16
33800,53/54,107/108
31100,23/24,71/72
53799,19/36,25/48
31300,23/24,71/72
21120,43/72,19/32
14099,1/48,1/24
43400,1/72,1/16
56580,25/48,151/288
24710,5/8,355/576
18620,1/96,1/72
46700,1/72,1/24
63600,41/36,41/36
18240,1/144,1/48
41100,1/48,1/24
47200,1/48,1/24
38400,23/24,71/72
18660,1/96,1/72
18640,1/96,1/72
24740,5/8,355/576
38700,23/24,71/72
36800,37/36,49/48
15200,1/48,1/16
44700,1/48,1/32
44400,1/48,1/32
44600,1/48,1/32
66620,55/48,167/144
17250,1/144,1/48
18610,1/96,1/72
31800,23/24,71/72
48300,1/48,1/24
61800,29/24,19/16
44200,1/48,1/32
44500,1/48,1/32
17220,1/144,1/48
42300,1/48,1/24
15100,1/48,1/16
27200,5/8,115/192
17240,1/144,1/48
14300,1/48,1/24
45200,1/48,1/16
13200,1/48,1/24
18630,1/96,1/72
18400,1/48,1/24
46400,1/72,1/24
48200,1/48,1/24
47100,1/48,1/24
12400,1/48,1/24
25300,7/12,169/288
34600,53/54,217/216
17300,1/72,1/16
24720,5/8,355/576
13300,1/48,1/24
18310,1/144,1/48
18100,1/48,1/24
55700,1/2,55/108
56530,25/48,151/288
54600,19/36,19/36
12500,1/48,1/24
27500,5/8,115/192
18330,1/144,1/48
12600,1/48,1/24
12100,1/48,1/24
45399,1/48,1/16
21580,7/12,505/864
17500,1/72,1/16
33100,53/54,107/108
55299,1/2,55/108
46500,1/72,1/24
42400,1/48,1/24
28199,7/12,169/288
44100,1/48,1/32
23200,5/8,115/192
13600,1/48,1/24
25600,7/12,169/288
13500,1/48,1/24
47300,1/48,1/24
17600,1/72,1/16
12200,1/48,1/24
34300,53/54,217/216
45299,1/48,1/16
66210,85/72,85/72
65099,41/36,41/36
38500,23/24,71/72
17210,1/144,1/48
11199,1/48,1/16
42100,1/48,1/24
26400,5/8,59/96
26300,5/8,59/96
11100,1/48,1/16
46100,1/72,1/24
14499,1/48,1/24
41300,1/48,1/24
38799,23/24,71/72
15400,1/48,1/16
41600,1/48,1/24
44299,1/48,1/32
41500,1/48,1/24
45100,1/48,1/16
15300,1/48,1/16
17260,1/144,1/48
41400,1/48,1/24
36100,37/36,49/48
16300,1/72,1/16
57799,19/36,25/48
57700,19/36,25/48
22300,5/8,115/192
64700,53/48,9/8
59200,1/2,55/108
33200,53/54,107/108
56470,19/36,227/432
65580,125/108,125/108
65210,125/108,125/108
62600,41/36,41/36
63280,125/108,125/108
24200,5/8,115/192
65610,85/72,169/144
63290,125/108,125/108
61400,29/24,19/16
56600,19/36,25/48
51100,19/36,19/36
51500,19/36,19/36
24100,5/8,115/192
65890,125/108,125/108
34400,53/54,217/216
51300,19/36,19/36
22100,5/8,115/192
51600,19/36,19/36
34200,53/54,217/216
17100,1/72,1/16
66360,125/108,251/216
56360,13/24,77/144
66580,55/48,167/144
17400,1/72,1/16
65590,125/108,125/108
66260,85/72,85/72
65740,125/108,125/108
47600,1/48,1/24
34500,53/54,217/216
59100,1/2,55/108
31200,23/24,71/72
34100,53/54,217/216
16500,1/72,1/16
18260,1/144,1/48
47400,1/48,1/24
16600,1/72,1/16
27300,5/8,115/192
47500,1/48,1/24
46900,1/72,1/24
24790,5/8,355/576
42500,1/48,1/24
