0,1,2,3,4,layer
0.8360430950048972,0.643486777668952,0.6039177277179236,0.5980411361410382,0.6088148873653281,"Layer [4, 3, 2, 1] "
0.8425073457394711,0.651126346718903,0.6088148873653281,0.6048971596474045,0.6127326150832517,"Layer [3, 2, 1] "
0.8820763956904996,0.6797257590597453,0.6438785504407444,0.6399608227228207,0.6458374142997062,"Layer [2, 1] "
0.9345739471106758,0.7288932419196866,0.6952007835455436,0.6803134182174339,0.6930460333006856,Layer [1] 
