clustered_label,0,1,2
2100,0.0,0.0,0.0
2100,0.0,0.0,0.0
2100,0.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
1520,1.0,1.0,0.0
1520,1.0,0.0,0.0
1520,1.0,0.0,0.0
2100,0.0,0.0,0.0
2100,1.0,0.0,0.0
2100,0.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
1520,1.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
2100,1.0,0.0,0.0
1544,0.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,1.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
1545,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,0.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,0.0,0.0
2200,1.0,1.0,0.0
1544,1.0,1.0,0.0
1520,1.0,1.0,0.0
1520,1.0,0.0,0.0
1520,1.0,0.0,0.0
1520,1.0,0.0,0.0
1520,1.0,0.0,0.0
1520,1.0,1.0,0.0
1520,1.0,0.0,0.0
1544,1.0,1.0,0.0
1544,1.0,1.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1543,1.0,0.0,0.0
1543,0.0,0.0,0.0
1900,1.0,0.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1900,1.0,1.0,0.0
1520,1.0,1.0,0.0
1544,1.0,1.0,0.0
1544,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1409,1.0,1.0,0.0
1750,1.0,1.0,1.0
1750,1.0,1.0,0.0
1730,1.0,1.0,0.0
1460,1.0,1.0,0.0
1750,1.0,1.0,0.0
1750,1.0,1.0,0.0
1750,1.0,1.0,0.0
1750,1.0,1.0,0.0
1750,0.0,0.0,0.0
1730,0.0,0.0,0.0
1730,1.0,0.0,0.0
1750,0.0,0.0,0.0
6650,1.0,1.0,0.0
1739,0.0,0.0,0.0
1750,1.0,1.0,0.0
1750,1.0,1.0,0.0
6650,1.0,0.0,0.0
6370,1.0,1.0,0.0
6370,1.0,0.0,0.0
3900,1.0,1.0,0.0
3700,0.0,0.0,0.0
3700,1.0,1.0,0.0
6370,1.0,1.0,0.0
6370,1.0,0.0,0.0
1545,0.0,0.0,0.0
6579,1.0,1.0,0.0
6579,1.0,0.0,0.0
6579,1.0,1.0,0.0
6579,1.0,1.0,0.0
6579,1.0,0.0,0.0
3900,1.0,0.0,0.0
6579,1.0,1.0,0.0
6579,0.0,0.0,0.0
3900,1.0,0.0,0.0
3900,1.0,0.0,0.0
6579,0.0,0.0,0.0
6579,0.0,0.0,0.0
6579,1.0,1.0,0.0
6579,1.0,1.0,0.0
3700,0.0,0.0,0.0
3900,1.0,1.0,0.0
6579,0.0,0.0,0.0
6370,1.0,1.0,0.0
3700,1.0,1.0,0.0
6579,1.0,1.0,0.0
3900,1.0,1.0,1.0
3900,1.0,1.0,0.0
