clustered_label,0,1,2
6200,1.0,1.0,0.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
6200,1.0,1.0,0.0
6200,1.0,1.0,1.0
6200,1.0,1.0,0.0
3429,1.0,1.0,1.0
3429,1.0,1.0,1.0
3429,1.0,1.0,0.0
6200,1.0,1.0,0.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
3429,1.0,1.0,1.0
6200,1.0,1.0,0.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
3425,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
3425,1.0,1.0,0.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6200,1.0,1.0,0.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,0.0,0.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6200,1.0,1.0,1.0
6500,1.0,1.0,1.0
6200,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
6500,1.0,1.0,1.0
3425,1.0,1.0,1.0
3429,1.0,1.0,1.0
3429,1.0,1.0,1.0
3429,1.0,1.0,1.0
6200,1.0,1.0,1.0
6200,1.0,1.0,1.0
3429,1.0,1.0,1.0
3429,1.0,1.0,1.0
3425,1.0,1.0,1.0
3425,1.0,1.0,1.0
3180,1.0,1.0,1.0
3429,1.0,1.0,1.0
3425,1.0,1.0,0.0
3425,1.0,1.0,1.0
3429,1.0,1.0,1.0
3180,1.0,1.0,1.0
3429,1.0,1.0,0.0
3180,1.0,1.0,1.0
3180,1.0,1.0,1.0
3180,1.0,1.0,1.0
3180,1.0,1.0,1.0
6400,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,0.0,0.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3470,1.0,1.0,0.0
3470,1.0,1.0,1.0
3470,1.0,1.0,1.0
3879,1.0,1.0,1.0
3879,1.0,1.0,1.0
3850,1.0,1.0,1.0
3879,1.0,1.0,1.0
3879,1.0,1.0,1.0
3860,1.0,1.0,0.0
3879,1.0,1.0,1.0
3879,1.0,1.0,1.0
3879,1.0,1.0,1.0
3850,1.0,1.0,1.0
3850,1.0,1.0,1.0
3879,1.0,1.0,1.0
5500,1.0,1.0,1.0
3700,1.0,1.0,1.0
3879,1.0,1.0,1.0
3879,1.0,1.0,1.0
5500,1.0,1.0,1.0
5110,1.0,1.0,1.0
5110,1.0,1.0,1.0
5180,1.0,1.0,1.0
6400,1.0,1.0,1.0
6400,1.0,1.0,1.0
5110,1.0,1.0,0.0
5110,1.0,1.0,1.0
3421,1.0,1.0,1.0
5260,1.0,1.0,1.0
5260,1.0,1.0,1.0
7700,1.0,1.0,1.0
5260,1.0,1.0,1.0
7700,1.0,1.0,1.0
6400,1.0,1.0,1.0
5260,1.0,1.0,1.0
5260,1.0,1.0,1.0
6400,1.0,1.0,1.0
6400,1.0,1.0,1.0
5260,1.0,1.0,1.0
5260,1.0,1.0,1.0
7700,1.0,1.0,1.0
5260,1.0,1.0,1.0
6400,1.0,1.0,1.0
5180,1.0,1.0,1.0
5260,1.0,1.0,1.0
5110,1.0,1.0,1.0
6400,1.0,1.0,1.0
5260,1.0,1.0,1.0
5180,1.0,1.0,1.0
5180,1.0,1.0,1.0
5240,1.0,1.0,1.0
8500,1.0,1.0,1.0
6400,1.0,1.0,1.0
7500,1.0,1.0,1.0
5160,1.0,1.0,1.0
6200,1.0,1.0,1.0
5260,1.0,1.0,1.0
5260,1.0,1.0,1.0
5260,1.0,1.0,1.0
3180,1.0,1.0,1.0
5110,1.0,1.0,1.0
5260,1.0,1.0,1.0
5110,1.0,1.0,1.0
5180,1.0,1.0,1.0
5180,1.0,1.0,1.0
