clustered_label,0,1,2,3,4,5
3600,0.0,0.0,0.0,0.0,0.0,0.0
3600,1.0,1.0,1.0,1.0,0.0,0.0
3600,1.0,1.0,1.0,1.0,0.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,0.0,0.0
2400,1.0,1.0,1.0,0.0,0.0,0.0
2400,1.0,1.0,1.0,0.0,0.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,0.0,0.0,0.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,0.0,0.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,1.0,0.0,0.0
3600,1.0,1.0,1.0,1.0,1.0,0.0
3600,1.0,1.0,1.0,0.0,0.0,0.0
2274,1.0,1.0,1.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
2272,1.0,1.0,0.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,0.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,0.0,0.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,0.0,0.0,0.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,1.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,1.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
3400,1.0,1.0,0.0,0.0,0.0,0.0
3400,1.0,1.0,1.0,1.0,1.0,0.0
2274,1.0,1.0,1.0,0.0,0.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,1.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2277,1.0,1.0,1.0,1.0,0.0,0.0
2277,1.0,1.0,1.0,0.0,0.0,0.0
2239,1.0,1.0,1.0,0.0,0.0,0.0
2277,1.0,1.0,1.0,0.0,0.0,0.0
2278,0.0,0.0,0.0,0.0,0.0,0.0
2278,0.0,0.0,0.0,0.0,0.0,0.0
2239,1.0,1.0,1.0,1.0,1.0,0.0
2239,1.0,1.0,1.0,1.0,1.0,0.0
2278,1.0,1.0,1.0,1.0,1.0,0.0
4700,1.0,1.0,1.0,1.0,0.0,0.0
4700,1.0,1.0,0.0,0.0,0.0,0.0
4700,1.0,1.0,1.0,0.0,0.0,0.0
4700,1.0,1.0,0.0,0.0,0.0,0.0
2400,1.0,1.0,1.0,1.0,1.0,0.0
2274,1.0,1.0,1.0,1.0,0.0,0.0
2274,1.0,1.0,1.0,1.0,1.0,0.0
2830,1.0,1.0,0.0,0.0,0.0,0.0
2860,1.0,1.0,1.0,1.0,1.0,0.0
2860,1.0,1.0,1.0,1.0,1.0,0.0
2860,1.0,1.0,1.0,1.0,0.0,0.0
2860,1.0,1.0,1.0,0.0,0.0,0.0
2860,1.0,1.0,0.0,0.0,0.0,0.0
2860,1.0,1.0,1.0,1.0,0.0,0.0
