0,1,2,3,clustered_label
2.0,3.0,2.0,1.0,2321
3.0,3.0,2.0,0.0,3320
2.0,3.0,3.0,1.0,2331
2.0,2.0,1.0,1.0,2211
4.0,2.0,2.0,1.0,4221
3.0,3.0,2.0,0.0,3320
3.0,3.0,1.0,1.0,3311
2.0,3.0,3.0,1.0,2331
3.0,3.0,3.0,0.0,3330
1.0,3.0,4.0,2.0,1342
1.0,3.0,3.0,2.0,1332
2.0,4.0,4.0,1.0,2441
1.0,2.0,1.0,2.0,1212
2.0,3.0,4.0,0.0,2340
3.0,2.0,0.0,1.0,3201
3.0,3.0,3.0,0.0,3330
2.0,3.0,4.0,0.0,2340
2.0,3.0,3.0,2.0,2332
2.0,3.0,3.0,0.0,2330
0.0,3.0,4.0,1.0,0341
2.0,3.0,3.0,0.0,2330
2.0,3.0,3.0,2.0,2332
1.0,3.0,3.0,0.0,1330
3.0,4.0,4.0,1.0,3441
3.0,3.0,3.0,0.0,3330
2.0,4.0,3.0,1.0,2431
3.0,3.0,3.0,0.0,3330
2.0,3.0,2.0,3.0,2323
3.0,2.0,1.0,2.0,3212
1.0,3.0,3.0,3.0,1333
2.0,3.0,4.0,3.0,2343
2.0,3.0,3.0,0.0,2330
2.0,2.0,4.0,3.0,2243
3.0,3.0,2.0,1.0,3321
3.0,4.0,3.0,1.0,3431
1.0,2.0,2.0,1.0,1221
3.0,3.0,2.0,0.0,3320
2.0,3.0,3.0,2.0,2332
2.0,2.0,3.0,2.0,2232
2.0,3.0,3.0,0.0,2330
3.0,3.0,3.0,1.0,3331
2.0,3.0,3.0,0.0,2330
2.0,3.0,3.0,0.0,2330
4.0,1.0,0.0,0.0,4100
3.0,2.0,2.0,2.0,3222
4.0,2.0,1.0,1.0,4211
2.0,4.0,3.0,0.0,2430
2.0,3.0,4.0,0.0,2340
1.0,2.0,4.0,4.0,1244
1.0,5.0,4.0,0.0,1540
2.0,3.0,3.0,1.0,2331
2.0,4.0,3.0,0.0,2430
1.0,3.0,3.0,1.0,1331
3.0,2.0,2.0,2.0,3222
1.0,3.0,2.0,3.0,1323
3.0,3.0,3.0,3.0,3333
0.0,2.0,4.0,1.0,0241
2.0,3.0,3.0,2.0,2332
1.0,3.0,3.0,1.0,1331
2.0,3.0,2.0,1.0,2321
1.0,2.0,3.0,0.0,1230
2.0,3.0,3.0,0.0,2330
3.0,3.0,1.0,1.0,3311
2.0,3.0,3.0,2.0,2332
3.0,2.0,3.0,4.0,3234
2.0,0.0,1.0,0.0,2010
3.0,3.0,3.0,1.0,3331
2.0,4.0,1.0,1.0,2411
2.0,2.0,2.0,2.0,2222
3.0,3.0,2.0,1.0,3321
1.0,4.0,4.0,2.0,1442
3.0,3.0,1.0,0.0,3310
2.0,4.0,3.0,1.0,2431
2.0,2.0,1.0,0.0,2210
2.0,3.0,2.0,1.0,2321
3.0,1.0,1.0,2.0,3112
2.0,3.0,2.0,1.0,2321
3.0,2.0,1.0,1.0,3211
1.0,4.0,6.0,0.0,1460
1.0,3.0,3.0,1.0,1331
3.0,3.0,2.0,1.0,3321
4.0,3.0,3.0,0.0,4330
1.0,3.0,3.0,1.0,1331
2.0,3.0,1.0,0.0,2310
4.0,4.0,2.0,1.0,4421
2.0,2.0,2.0,2.0,2222
2.0,3.0,3.0,2.0,2332
1.0,4.0,3.0,1.0,1431
0.0,3.0,5.0,2.0,0352
2.0,3.0,3.0,1.0,2331
2.0,5.0,5.0,1.0,2551
0.0,2.0,4.0,2.0,0242
2.0,4.0,4.0,1.0,2441
0.0,3.0,2.0,1.0,0321
1.0,3.0,4.0,3.0,1343
1.0,1.0,3.0,2.0,1132
2.0,5.0,3.0,1.0,2531
2.0,3.0,3.0,3.0,2333
2.0,1.0,2.0,2.0,2122
2.0,2.0,2.0,2.0,2222
4.0,3.0,0.0,0.0,4300
2.0,4.0,4.0,0.0,2440
0.0,2.0,4.0,4.0,0244
3.0,2.0,1.0,2.0,3212
3.0,3.0,3.0,1.0,3331
2.0,4.0,3.0,1.0,2431
1.0,3.0,4.0,1.0,1341
2.0,2.0,4.0,2.0,2242
2.0,4.0,4.0,2.0,2442
2.0,3.0,5.0,4.0,2354
2.0,2.0,3.0,1.0,2231
3.0,3.0,2.0,1.0,3321
3.0,2.0,3.0,1.0,3231
1.0,2.0,3.0,2.0,1232
2.0,2.0,2.0,2.0,2222
2.0,3.0,4.0,2.0,2342
2.0,3.0,2.0,1.0,2321
1.0,2.0,4.0,1.0,1241
3.0,3.0,2.0,0.0,3320
2.0,4.0,3.0,0.0,2430
2.0,3.0,1.0,1.0,2311
3.0,4.0,3.0,0.0,3430
2.0,4.0,3.0,0.0,2430
1.0,3.0,2.0,2.0,1322
3.0,2.0,1.0,0.0,3210
2.0,4.0,3.0,1.0,2431
2.0,3.0,5.0,3.0,2353
3.0,3.0,3.0,1.0,3331
2.0,3.0,3.0,5.0,2335
3.0,3.0,1.0,1.0,3311
3.0,4.0,2.0,0.0,3420
2.0,3.0,2.0,2.0,2322
3.0,2.0,2.0,1.0,3221
3.0,3.0,4.0,2.0,3342
2.0,3.0,4.0,2.0,2342
2.0,3.0,3.0,2.0,2332
2.0,4.0,0.0,1.0,2401
3.0,4.0,3.0,3.0,3433
1.0,2.0,1.0,1.0,1211
2.0,4.0,5.0,1.0,2451
2.0,5.0,3.0,1.0,2531
2.0,3.0,3.0,1.0,2331
2.0,4.0,2.0,1.0,2421
2.0,2.0,3.0,3.0,2233
