0,1,2,3,clustered_label
2.0,2.0,3.0,1.0,2231
2.0,4.0,3.0,2.0,2432
2.0,2.0,1.0,2.0,2212
2.0,2.0,3.0,2.0,2232
2.0,3.0,2.0,2.0,2322
2.0,2.0,3.0,1.0,2231
1.0,3.0,4.0,0.0,1340
2.0,3.0,3.0,0.0,2330
1.0,3.0,3.0,0.0,1330
0.0,4.0,4.0,4.0,0444
0.0,3.0,3.0,1.0,0331
3.0,3.0,3.0,2.0,3332
1.0,3.0,4.0,1.0,1341
2.0,3.0,2.0,2.0,2322
1.0,4.0,4.0,0.0,1440
2.0,2.0,2.0,2.0,2222
1.0,3.0,3.0,1.0,1331
1.0,3.0,4.0,3.0,1343
1.0,3.0,4.0,1.0,1341
0.0,3.0,4.0,0.0,0340
1.0,3.0,4.0,3.0,1343
1.0,3.0,5.0,1.0,1351
1.0,2.0,5.0,1.0,1251
1.0,4.0,3.0,2.0,1432
2.0,3.0,2.0,3.0,2323
1.0,3.0,3.0,2.0,1332
2.0,4.0,1.0,0.0,2410
1.0,3.0,3.0,0.0,1330
2.0,3.0,3.0,1.0,2331
1.0,3.0,2.0,3.0,1323
2.0,2.0,1.0,2.0,2212
3.0,3.0,2.0,1.0,3321
1.0,4.0,3.0,1.0,1431
3.0,3.0,0.0,1.0,3301
2.0,4.0,3.0,2.0,2432
2.0,3.0,2.0,4.0,2324
2.0,3.0,3.0,1.0,2331
2.0,3.0,4.0,2.0,2342
0.0,2.0,4.0,1.0,0241
1.0,3.0,5.0,1.0,1351
1.0,3.0,3.0,1.0,1331
1.0,3.0,2.0,3.0,1323
1.0,3.0,3.0,2.0,1332
2.0,3.0,1.0,1.0,2311
3.0,4.0,2.0,1.0,3421
3.0,3.0,3.0,2.0,3332
2.0,3.0,3.0,1.0,2331
1.0,2.0,3.0,4.0,1234
2.0,4.0,3.0,1.0,2431
3.0,3.0,1.0,1.0,3311
2.0,3.0,3.0,2.0,2332
3.0,4.0,4.0,1.0,3441
2.0,4.0,2.0,2.0,2422
2.0,4.0,4.0,2.0,2442
1.0,3.0,2.0,3.0,1323
3.0,4.0,0.0,0.0,3400
2.0,2.0,3.0,3.0,2233
1.0,2.0,2.0,1.0,1221
2.0,3.0,3.0,1.0,2331
2.0,3.0,3.0,2.0,2332
3.0,3.0,2.0,1.0,3321
2.0,2.0,3.0,2.0,2232
0.0,3.0,4.0,1.0,0341
2.0,4.0,1.0,4.0,2414
1.0,4.0,3.0,0.0,1430
3.0,2.0,0.0,1.0,3201
2.0,3.0,3.0,0.0,2330
2.0,3.0,4.0,0.0,2340
2.0,3.0,3.0,1.0,2331
2.0,3.0,2.0,2.0,2322
3.0,3.0,3.0,3.0,3333
1.0,4.0,3.0,2.0,1432
2.0,3.0,3.0,0.0,2330
3.0,3.0,2.0,3.0,3323
2.0,3.0,2.0,2.0,2322
3.0,4.0,2.0,1.0,3421
1.0,2.0,4.0,3.0,1243
1.0,2.0,1.0,3.0,1213
4.0,3.0,2.0,1.0,4321
2.0,4.0,3.0,1.0,2431
3.0,3.0,2.0,2.0,3322
2.0,4.0,4.0,1.0,2441
2.0,2.0,3.0,0.0,2230
0.0,3.0,3.0,2.0,0332
2.0,3.0,3.0,1.0,2331
2.0,3.0,4.0,0.0,2340
2.0,3.0,3.0,2.0,2332
2.0,4.0,3.0,0.0,2430
2.0,5.0,3.0,1.0,2531
3.0,3.0,3.0,0.0,3330
3.0,3.0,2.0,0.0,3320
1.0,3.0,1.0,3.0,1313
2.0,3.0,4.0,3.0,2343
2.0,3.0,1.0,2.0,2312
3.0,3.0,3.0,1.0,3331
3.0,3.0,2.0,2.0,3322
3.0,4.0,3.0,1.0,3431
2.0,3.0,2.0,0.0,2320
3.0,4.0,3.0,1.0,3431
2.0,2.0,1.0,0.0,2210
2.0,3.0,5.0,1.0,2351
1.0,3.0,3.0,3.0,1333
2.0,3.0,2.0,1.0,2321
2.0,3.0,4.0,2.0,2342
2.0,4.0,3.0,2.0,2432
2.0,3.0,3.0,2.0,2332
2.0,2.0,3.0,4.0,2234
2.0,3.0,4.0,1.0,2341
2.0,3.0,4.0,3.0,2343
2.0,4.0,2.0,1.0,2421
4.0,2.0,1.0,1.0,4211
3.0,3.0,2.0,1.0,3321
3.0,2.0,2.0,3.0,3223
4.0,2.0,4.0,1.0,4241
2.0,1.0,2.0,1.0,2121
2.0,3.0,4.0,2.0,2342
2.0,4.0,3.0,3.0,2433
1.0,3.0,1.0,1.0,1311
2.0,4.0,3.0,1.0,2431
2.0,4.0,4.0,0.0,2440
1.0,3.0,3.0,1.0,1331
1.0,3.0,4.0,3.0,1343
1.0,3.0,3.0,0.0,1330
2.0,3.0,3.0,2.0,2332
3.0,4.0,4.0,2.0,3442
2.0,3.0,1.0,0.0,2310
2.0,3.0,4.0,1.0,2341
2.0,4.0,3.0,0.0,2430
2.0,3.0,3.0,2.0,2332
1.0,3.0,4.0,2.0,1342
1.0,3.0,3.0,1.0,1331
2.0,4.0,2.0,1.0,2421
3.0,3.0,3.0,1.0,3331
1.0,3.0,5.0,1.0,1351
3.0,4.0,4.0,1.0,3441
2.0,2.0,3.0,3.0,2233
1.0,3.0,2.0,1.0,1321
3.0,2.0,3.0,1.0,3231
1.0,2.0,4.0,2.0,1242
2.0,4.0,3.0,1.0,2431
2.0,3.0,4.0,1.0,2341
1.0,2.0,0.0,1.0,1201
2.0,3.0,5.0,1.0,2351
1.0,3.0,3.0,2.0,1332
