0,1,2,3,4,clustered_label
2.0,2.0,2.0,3.0,0.0,2223
2.0,2.0,3.0,2.0,0.0,2232
2.0,2.0,2.0,0.0,1.0,2220
2.0,2.0,2.0,2.0,0.0,2222
2.0,4.0,2.0,2.0,1.0,2422
2.0,2.0,3.0,0.0,1.0,2230
2.0,2.0,2.0,5.0,1.0,2225
2.0,1.0,4.0,1.0,1.0,2141
2.0,2.0,1.0,0.0,1.0,2210
3.0,4.0,3.0,1.0,0.0,3431
2.0,3.0,3.0,2.0,1.0,2332
3.0,2.0,3.0,1.0,0.0,3231
2.0,3.0,2.0,0.0,0.0,2320
1.0,3.0,3.0,1.0,1.0,1331
2.0,4.0,2.0,0.0,0.0,2420
2.0,3.0,5.0,2.0,0.0,2352
1.0,3.0,2.0,1.0,2.0,1321
3.0,2.0,3.0,3.0,1.0,3233
3.0,5.0,1.0,0.0,0.0,3510
1.0,4.0,5.0,2.0,1.0,1452
2.0,4.0,2.0,1.0,3.0,2421
2.0,2.0,1.0,4.0,1.0,2214
2.0,3.0,4.0,3.0,1.0,2343
2.0,3.0,3.0,0.0,0.0,2330
2.0,5.0,1.0,2.0,1.0,2512
2.0,4.0,2.0,1.0,2.0,2421
5.0,4.0,1.0,2.0,0.0,5412
3.0,3.0,4.0,2.0,2.0,3342
4.0,1.0,3.0,1.0,0.0,4131
2.0,3.0,5.0,2.0,0.0,2352
4.0,1.0,4.0,1.0,0.0,4141
1.0,4.0,3.0,2.0,0.0,1432
2.0,3.0,3.0,3.0,2.0,2333
4.0,1.0,0.0,4.0,1.0,4104
2.0,4.0,3.0,6.0,1.0,2436
1.0,2.0,1.0,2.0,2.0,1212
2.0,4.0,3.0,0.0,2.0,2430
2.0,3.0,2.0,3.0,1.0,2323
1.0,4.0,6.0,0.0,1.0,1460
2.0,2.0,4.0,1.0,0.0,2241
2.0,4.0,3.0,4.0,0.0,2434
1.0,3.0,4.0,2.0,2.0,1342
2.0,2.0,3.0,1.0,2.0,2231
2.0,3.0,1.0,2.0,2.0,2312
3.0,4.0,0.0,1.0,1.0,3401
2.0,4.0,2.0,2.0,1.0,2422
1.0,3.0,4.0,1.0,0.0,1341
2.0,4.0,3.0,2.0,1.0,2432
3.0,1.0,1.0,3.0,3.0,3113
3.0,2.0,5.0,1.0,2.0,3251
3.0,3.0,3.0,1.0,1.0,3331
3.0,2.0,3.0,1.0,1.0,3231
2.0,3.0,4.0,1.0,0.0,2341
2.0,3.0,0.0,5.0,2.0,2305
3.0,4.0,6.0,4.0,0.0,3464
3.0,4.0,2.0,0.0,1.0,3420
2.0,3.0,1.0,1.0,1.0,2311
3.0,3.0,5.0,2.0,1.0,3352
2.0,3.0,5.0,1.0,1.0,2351
3.0,4.0,2.0,1.0,2.0,3421
4.0,3.0,3.0,0.0,1.0,4330
3.0,5.0,1.0,2.0,0.0,3512
