0,1,2,3,4,clustered_label
1.0,2.0,3.0,1.0,2.0,1231
2.0,3.0,3.0,1.0,0.0,2331
3.0,2.0,2.0,0.0,1.0,3220
1.0,2.0,3.0,1.0,4.0,1231
2.0,3.0,2.0,2.0,0.0,2322
3.0,5.0,3.0,1.0,0.0,3531
2.0,4.0,3.0,3.0,0.0,2433
2.0,3.0,3.0,1.0,1.0,2331
2.0,3.0,3.0,0.0,2.0,2330
2.0,2.0,3.0,1.0,1.0,2231
2.0,3.0,3.0,2.0,1.0,2332
2.0,3.0,4.0,2.0,1.0,2342
2.0,3.0,4.0,1.0,1.0,2341
2.0,3.0,3.0,2.0,0.0,2332
2.0,3.0,3.0,1.0,0.0,2331
2.0,3.0,4.0,2.0,2.0,2342
2.0,5.0,3.0,0.0,0.0,2530
2.0,4.0,2.0,4.0,1.0,2424
2.0,3.0,2.0,4.0,1.0,2324
2.0,4.0,4.0,0.0,0.0,2440
2.0,3.0,3.0,2.0,1.0,2332
2.0,4.0,3.0,0.0,0.0,2430
2.0,4.0,3.0,3.0,2.0,2433
1.0,4.0,4.0,0.0,0.0,1440
2.0,3.0,3.0,1.0,3.0,2331
1.0,3.0,4.0,6.0,4.0,1346
3.0,4.0,5.0,1.0,1.0,3451
3.0,4.0,5.0,1.0,0.0,3451
2.0,3.0,3.0,3.0,0.0,2333
1.0,3.0,2.0,1.0,0.0,1321
2.0,2.0,4.0,3.0,4.0,2243
2.0,3.0,3.0,3.0,0.0,2333
4.0,3.0,1.0,2.0,1.0,4312
1.0,3.0,2.0,2.0,2.0,1322
3.0,2.0,4.0,3.0,0.0,3243
1.0,3.0,4.0,2.0,3.0,1342
2.0,3.0,1.0,5.0,0.0,2315
3.0,6.0,3.0,0.0,0.0,3630
2.0,5.0,2.0,2.0,1.0,2522
1.0,4.0,5.0,1.0,1.0,1451
2.0,3.0,2.0,3.0,1.0,2323
2.0,4.0,5.0,0.0,1.0,2450
2.0,2.0,2.0,2.0,2.0,2222
3.0,3.0,3.0,1.0,0.0,3331
2.0,3.0,2.0,2.0,3.0,2322
2.0,5.0,3.0,0.0,1.0,2530
2.0,3.0,2.0,1.0,1.0,2321
1.0,3.0,2.0,2.0,2.0,1322
3.0,2.0,2.0,0.0,3.0,3220
1.0,2.0,3.0,4.0,0.0,1234
2.0,3.0,3.0,1.0,2.0,2331
2.0,4.0,3.0,0.0,1.0,2430
2.0,4.0,3.0,0.0,0.0,2430
1.0,4.0,3.0,2.0,0.0,1432
2.0,4.0,3.0,1.0,1.0,2431
2.0,2.0,3.0,0.0,2.0,2230
3.0,3.0,2.0,3.0,0.0,3323
2.0,3.0,3.0,1.0,0.0,2331
2.0,2.0,4.0,2.0,0.0,2242
2.0,3.0,2.0,3.0,1.0,2323
2.0,4.0,1.0,2.0,2.0,2412
2.0,5.0,3.0,1.0,1.0,2531
2.0,3.0,3.0,4.0,1.0,2334
2.0,3.0,2.0,2.0,2.0,2322
3.0,4.0,2.0,1.0,1.0,3421
2.0,4.0,2.0,3.0,1.0,2423
1.0,4.0,4.0,1.0,1.0,1441
3.0,4.0,3.0,1.0,1.0,3431
2.0,3.0,1.0,3.0,0.0,2313
2.0,3.0,3.0,1.0,2.0,2331
2.0,2.0,3.0,1.0,4.0,2231
2.0,4.0,5.0,1.0,2.0,2451
5.0,1.0,2.0,2.0,0.0,5122
3.0,2.0,4.0,1.0,2.0,3241
2.0,5.0,3.0,2.0,1.0,2532
2.0,3.0,3.0,3.0,1.0,2333
2.0,2.0,3.0,3.0,1.0,2233
2.0,3.0,4.0,2.0,1.0,2342
2.0,3.0,2.0,1.0,0.0,2321
1.0,4.0,3.0,1.0,1.0,1431
2.0,4.0,3.0,2.0,1.0,2432
2.0,3.0,2.0,3.0,1.0,2323
3.0,3.0,2.0,1.0,3.0,3321
2.0,4.0,1.0,2.0,1.0,2412
3.0,3.0,4.0,1.0,2.0,3341
2.0,2.0,2.0,1.0,2.0,2221
2.0,3.0,3.0,2.0,1.0,2332
3.0,3.0,3.0,1.0,1.0,3331
2.0,3.0,4.0,1.0,1.0,2341
2.0,3.0,4.0,2.0,1.0,2342
1.0,3.0,4.0,1.0,0.0,1341
2.0,2.0,2.0,2.0,4.0,2222
1.0,2.0,3.0,4.0,1.0,1234
3.0,4.0,4.0,0.0,2.0,3440
1.0,3.0,3.0,0.0,2.0,1330
1.0,5.0,2.0,2.0,1.0,1522
2.0,4.0,3.0,1.0,1.0,2431
1.0,3.0,3.0,2.0,1.0,1332
3.0,2.0,3.0,1.0,3.0,3231
2.0,4.0,3.0,2.0,1.0,2432
2.0,3.0,3.0,3.0,0.0,2333
2.0,3.0,4.0,3.0,0.0,2343
2.0,3.0,3.0,1.0,1.0,2331
2.0,3.0,4.0,2.0,0.0,2342
2.0,3.0,3.0,3.0,2.0,2333
2.0,3.0,3.0,2.0,1.0,2332
1.0,4.0,4.0,0.0,0.0,1440
1.0,5.0,3.0,4.0,1.0,1534
2.0,4.0,2.0,2.0,3.0,2422
1.0,2.0,3.0,5.0,1.0,1235
3.0,2.0,4.0,0.0,1.0,3240
2.0,3.0,3.0,2.0,2.0,2332
3.0,3.0,3.0,0.0,2.0,3330
2.0,6.0,1.0,0.0,1.0,2610
3.0,3.0,1.0,3.0,0.0,3313
2.0,4.0,3.0,2.0,1.0,2432
2.0,2.0,2.0,1.0,1.0,2221
2.0,4.0,2.0,1.0,1.0,2421
3.0,5.0,3.0,1.0,0.0,3531
1.0,4.0,2.0,4.0,1.0,1424
2.0,4.0,3.0,2.0,0.0,2432
2.0,3.0,3.0,1.0,1.0,2331
2.0,3.0,3.0,1.0,1.0,2331
2.0,5.0,2.0,1.0,0.0,2521
2.0,3.0,3.0,1.0,2.0,2331
1.0,3.0,3.0,3.0,0.0,1333
2.0,5.0,5.0,0.0,1.0,2550
2.0,4.0,1.0,3.0,1.0,2413
2.0,3.0,2.0,2.0,3.0,2322
4.0,3.0,2.0,4.0,0.0,4324
2.0,4.0,3.0,0.0,1.0,2430
2.0,3.0,2.0,3.0,2.0,2323
2.0,2.0,2.0,3.0,1.0,2223
3.0,5.0,3.0,0.0,0.0,3530
1.0,4.0,2.0,1.0,1.0,1421
1.0,3.0,2.0,1.0,2.0,1321
3.0,3.0,1.0,2.0,2.0,3312
4.0,3.0,2.0,1.0,4.0,4321
1.0,4.0,3.0,3.0,2.0,1433
2.0,3.0,4.0,2.0,2.0,2342
1.0,4.0,4.0,0.0,0.0,1440
2.0,3.0,2.0,3.0,1.0,2323
2.0,3.0,3.0,1.0,1.0,2331
2.0,2.0,4.0,2.0,1.0,2242
