0,1,2,3,4,clustered_label
2.0,4.0,3.0,1.0,0.0,2431
2.0,4.0,2.0,1.0,0.0,2421
2.0,4.0,1.0,1.0,1.0,2411
2.0,3.0,4.0,0.0,0.0,2340
2.0,3.0,2.0,2.0,0.0,2322
2.0,3.0,4.0,4.0,0.0,2344
2.0,5.0,1.0,2.0,1.0,2512
2.0,3.0,4.0,2.0,1.0,2342
2.0,3.0,1.0,5.0,1.0,2315
2.0,4.0,6.0,2.0,1.0,2462
2.0,4.0,2.0,0.0,0.0,2420
2.0,4.0,3.0,3.0,0.0,2433
2.0,4.0,1.0,2.0,0.0,2412
2.0,4.0,2.0,1.0,1.0,2421
2.0,2.0,3.0,0.0,1.0,2230
3.0,3.0,3.0,1.0,0.0,3331
3.0,3.0,1.0,1.0,0.0,3311
1.0,3.0,3.0,0.0,1.0,1330
3.0,3.0,3.0,0.0,0.0,3330
3.0,5.0,1.0,2.0,0.0,3512
2.0,4.0,3.0,5.0,0.0,2435
2.0,4.0,4.0,0.0,0.0,2440
2.0,3.0,4.0,0.0,1.0,2340
