id,week,TA_video,TA_text,Teacher_video,Teacher_text,clustered_label
100101021,week1,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.2018408990506193,0.664
100101021,week2,-0.178038307942773,-0.12675109094277556,-0.175083819343303,-0.143442553907362,0.664
100101021,week3,-0.16636187948358327,-0.04854582745523533,-0.17662942731089346,-0.17450550345164778,0.661
100101021,week4,-0.178038307942773,-0.11632372247777018,-0.17856143727038154,-0.13722996399850482,0.664
100101021,week5,-0.178038307942773,-0.012050037827716558,-0.17856143727038154,-0.18941571923290496,0.661
100101021,week6,-0.16385978767089976,-0.12675109094277556,-0.17547022133520065,-0.04217733839299025,0.665
100101021,week7,-0.178038307942773,-0.0628834590946177,-0.17856143727038154,-0.17264172647899065,0.661
100101021,week8,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.17326298546987634,0.664
100101021,week9,-0.178038307942773,-0.057669774862115025,-0.17856143727038154,-0.17761179840607638,0.661
100101021,week10,-0.178038307942773,-0.08243477496650277,-0.17856143727038154,-0.1713992084972192,0.664
100101021,week11,-0.178038307942773,-0.07331082755962308,-0.17856143727038154,-0.1751267624425335,0.664
100101021,week12,-0.178038307942773,-0.12675109094277556,0.1707459634050655,-0.2018408990506193,0.662
100101021,week13,-0.178038307942773,-0.07722109073400008,-0.17624302531899586,-0.17264172647899065,0.664
100101021,week14,-0.178038307942773,0.2043178578211447,-0.17856143727038154,-0.18009683436961926,0.663
100101021,week15,-0.178038307942773,-0.010746616769590888,-0.17856143727038154,-0.17761179840607638,0.661
100101021,week16,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.011114388848704438,0.665
100101021,week17,-0.178038307942773,-0.12675109094277556,0.7132543600293217,-0.16145906464304774,0.62
100101021,week18,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.2018408990506193,0.664
100104041,week1,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.2018408990506193,0.664
100104041,week2,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.14717010785267629,0.664
100104041,week3,-0.178038307942773,-0.09677240660588513,-0.17856143727038154,-0.19190075519644784,0.664
100104041,week4,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.193764532169105,0.664
100104041,week5,-0.178038307942773,-0.10980661718714184,-0.17856143727038154,-0.16891417253367635,0.664
100104041,week6,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,-0.2018408990506193,0.664
100104041,week7,-0.178038307942773,-0.12675109094277556,-0.17856143727038154,0.031131222531524262,0.665
100104041,week8,-0.178038307942773,-0.1111100382452675,-0.17856143727038154,-0.1832031293240478,0.664
100104041,week9,-0.178038307942773,-0.0628834590946177,1.0830410662753425,0.6641941342440689,0.62
100104041,week10,-0.178038307942773,-0.10589635401276483,-0.17856143727038154,1.0158267230853844,0.65
100104041,week11,-0.178038307942773,0.7361136495364182,-0.1522861018213435,0.1939010781435819,0.64
