id,week,TA_video,TA_text,Teacher_video,Teacher_text,median,clustered_label,x_label,y_label,x_y_label,clusterL1,clusterL2,clusterL3,clusterL4
102208015,week5,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week6,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week7,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week8,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week9,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week10,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week11,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week12,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week13,0.4035371362125475,-0.1226313575601998,-0.17266352764507506,-0.20189812383183994,-0.1226313575601998,0.16,-0-2,-0-1,-0x0-2x1,0x0,2x1,,
102208015,week14,1.6392874977777092,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1226313575601998,0.26,-1-2,-0-1,-1x0-2x1,1x0,2x1,,
102208015,week15,3.944331591008315,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1226313575601998,0.22,-1-1,-0-0,-1x0-1x0,1x0,1x0,,
102208015,week16,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week17,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208015,week18,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week1,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week2,-0.1790610684364638,0.38860981883861495,-0.16593582399920484,-0.15705559101671582,-0.15705559101671582,0.135,-0-2-1,-0-0-1,-0x0-2x0-1x1,0x0,2x0,1x1,
102208017,week3,-0.1790610684364638,-0.10898171450100816,-0.1750380112847939,-0.18989800941652504,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week4,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week5,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.18989800941652504,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week6,-0.1790610684364638,-0.1226313575601998,-0.1750380112847939,-0.20189812383183994,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week7,-0.1790610684364638,-0.10774083785926344,-0.1750380112847939,-0.18610849960116246,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week8,-0.1790610684364638,-0.11270434442624225,-0.1750380112847939,-0.15516083610903453,-0.15516083610903453,0.1325,-0-2-1-0,-0-0-0-2,-0x0-2x0-1x0-0x2,0x0,2x0,1x0,0x2
102208017,week9,-0.1790610684364638,-0.10525908457577406,-0.1750380112847939,-0.19874019898570444,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week10,-0.1790610684364638,0.33649299988533776,-0.1750380112847939,-0.12673951249381502,-0.12673951249381502,0.135,-0-2-1,-0-0-1,-0x0-2x0-1x1,0x0,2x0,1x1,
102208017,week11,-0.1718789295829227,0.3352521232435931,-0.1750380112847939,-0.1917927643242064,-0.1718789295829227,0.135,-0-2-1,-0-0-1,-0x0-2x0-1x1,0x0,2x0,1x1,
102208017,week12,2.646054373541737,0.0399234825083554,-0.1750380112847939,-0.20189812383183994,0.0399234825083554,0.25,-1-1,-0-1,-1x0-1x1,1x0,1x1,,
102208017,week13,-0.17399132336337594,0.34145650645231657,-0.1750380112847939,-0.1943191042011148,-0.17399132336337594,0.135,-0-2-1,-0-0-1,-0x0-2x0-1x1,0x0,2x0,1x1,
102208017,week14,-0.1790610684364638,-0.11642697435147632,-0.1750380112847939,-0.19747702904725026,-0.1750380112847939,0.1321,-0-2-1-0,-0-0-0-0,-0x0-2x0-1x0-0x0,0x0,2x0,1x0,0x0
102208017,week15,-0.1790610684364638,-0.09533207144181648,-0.1750380112847939,-0.19747702904725026,-0.1750380112847939,0.1323,-0-2-1-0,-0-0-0-1,-0x0-2x0-1x0-0x1,0x0,2x0,1x0,0x1
