id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18
101208087,71,71,71,71,71,71,71,71,71,71,71,60,71,71,71,71,71,71
102205089,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75
101208066,71,71,71,75,75,71,71,71,75,71,75,71,71,71,71,71,20,71
101208030,71,74,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
102208075,71,71,71,74,71,40,71,71,71,71,71,50,71,71,71,71,71,50
102205037,71,71,71,71,71,71,71,71,71,71,76,50,71,71,71,71,71,50
102104031,71,71,75,71,40,71,71,71,40,74,71,50,71,71,72,71,71,20
101208085,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
101208069,71,71,76,40,71,76,71,40,75,71,71,50,71,71,71,71,20,74
102208088,71,71,71,71,71,80,71,71,71,71,71,73,71,71,71,71,71,60
102208081,71,71,71,71,71,71,71,71,71,75,71,71,71,71,71,71,71,74
102208058,71,71,71,71,71,71,71,71,71,71,71,50,71,71,71,71,71,60
102208049,71,71,71,71,71,10,76,40,71,71,71,40,71,71,71,71,71,71
102208033,71,71,71,71,71,10,71,71,71,71,71,40,71,71,71,71,71,71
102208008,71,71,71,76,76,71,71,71,71,71,71,71,71,71,71,71,71,71
101208074,71,71,71,71,71,76,71,71,71,71,71,50,71,71,71,71,71,79
99304030,71,71,71,71,71,71,71,71,75,77,71,30,71,71,71,71,71,72
99203054,71,75,72,78,71,72,71,71,50,78,50,79,71,71,73,71,71,71
103302104,71,77,71,71,71,30,71,71,71,75,71,20,71,71,71,71,71,30
103302103,71,71,71,80,71,79,71,71,71,71,79,20,71,79,71,71,78,20
102306046,71,71,72,71,75,76,71,75,71,71,79,60,20,75,79,71,71,50
102306041,71,71,79,75,75,71,71,71,71,71,78,72,71,71,71,71,30,50
102209035,71,71,71,71,71,73,75,71,71,74,74,30,71,71,71,71,71,50
102208090,71,71,71,75,71,20,75,20,80,78,71,74,71,71,74,71,71,20
102208089,71,71,71,71,71,10,71,71,75,71,75,74,71,71,20,71,71,71
102208086,71,71,71,71,78,78,71,75,71,75,77,71,75,75,78,71,71,79
102208085,71,71,71,76,71,20,71,71,72,71,71,71,71,71,71,71,71,71
102208084,71,71,79,71,71,75,71,71,71,71,40,75,71,71,71,20,71,80
102208083,71,71,71,71,71,40,71,71,73,74,71,50,79,71,71,71,71,50
102208082,71,71,71,71,78,40,71,71,71,71,71,73,71,71,71,71,71,72
102208078,71,71,71,71,75,40,71,71,71,71,75,71,20,71,78,71,71,60
102208074,71,71,71,71,71,71,71,71,71,71,76,10,71,71,71,71,71,60
102208073,71,71,40,40,71,72,40,71,72,71,71,50,71,71,71,71,71,71
102208068,71,71,78,71,71,40,71,71,71,71,71,73,71,71,71,71,75,71
102208066,71,78,71,71,75,20,74,71,75,71,75,78,71,75,73,71,75,60
102208065,71,71,71,78,71,71,71,71,71,71,71,71,71,71,79,71,71,71
102208064,71,71,71,71,71,76,71,71,71,71,71,80,71,71,71,71,71,71
102208063,71,71,71,79,78,76,71,75,71,71,10,50,71,20,71,30,71,20
102208062,71,71,74,71,71,76,71,71,71,20,75,80,71,71,71,71,75,71
102208061,71,75,71,71,71,20,79,71,71,71,71,71,71,71,71,71,71,71
102208060,71,71,71,71,80,40,71,71,71,71,71,75,71,71,71,71,71,71
102208059,71,77,74,71,71,20,80,73,73,71,76,60,73,71,71,71,80,71
102208057,71,71,71,71,10,40,71,71,71,71,71,50,71,71,71,71,71,71
102208056,71,71,80,71,20,20,71,78,71,71,71,50,71,71,71,71,71,10
102208055,71,71,71,80,71,40,71,71,71,71,76,76,71,71,71,71,71,76
102208054,71,71,79,20,71,77,71,71,71,71,71,40,71,71,71,71,71,60
102208053,71,71,71,71,71,10,71,71,71,79,71,71,71,71,71,71,71,71
102208052,71,71,71,75,71,20,71,71,71,71,40,60,71,71,77,71,71,73
