,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
0,0,0,0,0.029197080291970802,0.0364963503649635,0.072992700729927,0.21897810218978103,0.1386861313868613,0.1897810218978102,0.31386861313868614,0,137,77.00729927007299,16.975936748011325
1,0,0,0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,10,7,71.0,19.405448424899348
2,0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,20,7,79.28571428571429,12.267428252016284
3,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,2,66.0,2.0
4,0,0,0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,40,7,76.42857142857143,12.431034238746909
5,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.09090909090909091,50,11,67.36363636363636,17.221934889039446
6,0,0,0,0.029411764705882353,0.014705882352941176,0.058823529411764705,0.20588235294117646,0.11764705882352941,0.14705882352941177,0.4264705882352941,60,68,79.55882352941177,16.94053818242014
7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,61,3,90.0,0.816496580927726
8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,62,2,89.5,9.5
9,0,0,0,0.045454545454545456,0.0,0.045454545454545456,0.20454545454545456,0.13636363636363635,0.09090909090909091,0.4772727272727273,63,44,80.61363636363636,18.26971650908448
10,0,0,0,0.0,0.0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,64,11,72.45454545454545,12.375662600175735
11,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65,1,82.0,0.0
12,0,0,0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,66,7,76.42857142857143,15.846199570128054
13,0,0,0,0.03225806451612903,0.0,0.12903225806451613,0.22580645161290322,0.0967741935483871,0.25806451612903225,0.25806451612903225,70,31,76.6774193548387,16.280578369638715
14,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71,1,83.0,0.0
15,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,72,2,77.5,21.5
16,0,0,0,0.05,0.0,0.15,0.2,0.1,0.2,0.3,73,20,75.8,17.376996288196647
17,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74,1,66.0,0.0
18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,75,2,91.0,8.0
19,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76,1,62.0,0.0
20,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,77,3,82.0,7.0710678118654755
21,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78,1,67.0,0.0
22,0,0,0,0.0,0.25,0.0,0.0,0.0,0.5,0.25,80,4,75.75,20.60794749605113
