,id,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,clustered_label,original,semester
0,101208087,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,51200,64611,64611,64611,64611,64611,64611,64,42.9,55
1,102205089,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64349,64651,64613,64613,64611,64611,64230,63,78.6,91
2,101208066,64611,64611,64611,64259,64230,64611,64611,64611,64659,64613,64659,64611,64645,64645,64613,64645,33299,64613,40,64.7,77
3,101208030,64611,64330,64652,64611,64613,64611,64653,64611,64611,64349,64611,64611,64642,64340,64651,64613,64611,64611,63,91.5,99
4,102208075,64611,64611,64611,61300,64641,45600,64641,64613,64613,64611,64611,66200,64611,64611,64613,64611,64611,51430,73,61.4,74
5,102205037,64611,64611,64611,64611,64611,64613,64611,64611,64611,64349,63139,51300,64611,64611,64611,64611,64340,65400,64,53.5,66
6,102104031,64611,64642,64659,64644,63300,64612,64613,64656,63300,64359,64659,66400,64613,64644,65640,64611,64611,36230,66,70.3,83
7,101208085,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64611,64630,64611,64611,64611,64611,64611,64611,63,58.4,71
8,101208069,64611,64611,64449,63130,64630,64420,64611,45299,64249,64641,64644,66320,64620,64611,64611,64654,36400,64120,40,76.3,89
9,102208088,64611,64611,64611,64611,64611,34200,64611,64620,64611,64611,64611,65400,64611,64611,64611,64611,64611,55000,73,44.0,56
10,102208081,64611,64613,64613,64613,64613,64611,64611,64659,64613,64249,64611,64613,64611,64611,64613,64644,64613,64130,63,69.0,81
11,102208058,64611,64611,64611,64611,64611,64410,64611,64611,64611,64611,64611,65140,64611,64611,64611,64611,64611,54100,63,20.9,33
12,102208049,64611,64611,64611,64611,64611,44200,64430,63130,64630,64611,64611,63500,64611,64611,64611,64611,64611,64620,73,40.9,53
13,102208033,64611,64611,64611,64611,64611,41300,64611,64611,64611,64611,64611,63200,64611,64611,64611,64611,64611,64611,73,54.9,67
14,102208008,64611,64611,64611,64420,64420,64611,64612,64612,64611,64611,64612,64612,64611,64611,64611,64611,64630,64630,63,79.7,92
15,101208074,64611,64611,64611,64611,64612,64459,64611,64641,64611,64611,64644,66200,64613,64641,64641,64611,64644,62100,63,50.6,63
16,99304030,64611,64611,64644,64611,64659,64644,64611,64611,64230,61200,64659,14400,64613,64642,64653,64611,64642,64510,50,20.1,33
17,99203054,64611,64259,65640,64210,64611,64540,64611,64613,66099,62430,65130,62200,64611,64611,65650,64613,64611,64611,63,86.7,99
18,103302104,64611,61300,64613,64656,64611,14300,64611,64659,64659,64659,64656,32200,64613,64613,64611,64611,64611,14099,10,95.8,99
19,103302103,64611,64641,64611,61100,64611,62200,64611,64611,64611,64611,62100,32400,64611,62100,64611,64611,62410,36100,10,89.0,99
20,102306046,64613,64611,65620,64659,64230,64410,64613,64259,64645,64611,62200,53000,13400,64230,62100,64611,64651,51410,50,65.1,78
21,102306041,64611,64611,62200,64259,64230,64612,64611,64359,64611,64611,62460,64530,64611,64611,64611,64611,14400,65140,40,35.6,48
22,102209035,64611,64659,64349,64642,64613,65540,64659,64644,64654,64130,64159,12000,64611,64659,64652,64613,64613,66340,50,42.3,55
23,102208090,64611,64611,64654,64249,64645,36210,64249,36100,31400,64210,64611,64159,64611,64641,64330,64645,64611,36240,75,70.9,83
24,102208089,64611,64651,64651,64641,64659,44200,64651,64613,64320,64613,64659,64110,64611,64613,33299,64611,64611,64613,73,66.1,80
25,102208086,64611,64611,64611,64611,62410,64210,64611,64259,64644,64230,61600,64644,64230,64259,64210,64613,64613,62200,63,83.5,96
26,102208085,64611,64613,64613,64430,64630,36400,64611,64611,64520,64611,64611,64620,64611,64611,64611,64611,64611,64613,73,71.8,84
27,102208084,64611,64611,62100,64613,64611,64230,64611,64611,64611,64611,63610,64230,64611,64613,64613,36220,64611,35400,66,52.3,65
28,102208083,64611,64359,64340,64630,64613,45399,64642,64613,65550,64130,64653,66340,62100,64340,64613,64611,64642,66320,73,48.2,61
29,102208082,64611,64611,64611,64630,64210,63130,64611,64644,64611,64611,64410,65610,64659,64611,64611,64613,64613,64540,63,81.2,94
30,102208078,64611,64349,64340,64613,64249,45100,64641,64641,64611,64613,64220,64659,36220,64310,62439,64611,64645,52300,74,53.3,66
31,102208074,64611,64611,64611,64659,64611,64653,64611,64611,64642,64611,64420,46100,64611,64611,64611,64659,64613,54100,64,65.6,78
32,102208073,64611,64613,45600,63300,64611,64520,63610,64611,64520,64611,64611,51430,64611,64611,64611,64613,64611,64659,62,67.4,80
33,102208068,64611,64611,62410,64641,64611,43000,64645,64612,64659,64613,64611,65560,64611,64611,64641,64611,64249,64620,73,54.4,67
34,102208066,64611,62430,64349,64641,64259,33299,64130,64659,64249,64611,64410,62450,64613,64310,65400,64611,64249,54200,73,64.2,77
35,102208065,64611,64611,64645,64210,64611,64656,64611,64659,64641,64611,64644,64611,64613,64644,62200,64613,64611,64611,63,59.2,72
36,102208064,64611,64611,64611,64611,64613,63139,64611,64611,64611,64611,64611,31100,64611,64611,64611,64611,64611,64611,50,34.1,47
37,102208063,64611,64611,64340,62200,64210,64440,64613,64210,64611,64611,42100,66400,64613,13400,64644,11000,64611,13300,30,55.3,68
38,102208062,64611,64611,64330,64611,64611,64420,64611,64611,64611,36400,64249,34400,64611,64611,64611,64613,64249,64611,80,28.2,41
39,102208061,64611,64249,64611,64611,64611,32299,62200,64611,64611,64611,64611,64611,64641,64611,64613,64611,64611,64611,73,75.7,88
40,102208060,64611,64611,64611,64611,24100,63630,64611,64611,64611,64611,64611,64230,64611,64611,64611,64611,64611,64659,20,44.1,57
41,102208059,64611,61500,64140,64613,64659,35400,34200,65540,65610,64644,64459,52200,65510,64644,64611,64611,61100,64611,78,54.2,67
42,102208057,64611,64659,64652,64651,44299,45100,64611,64611,64613,64611,64611,65110,64611,64611,64611,64644,64611,64611,77,74.8,87
43,102208056,64611,64611,31200,64613,13400,33299,64611,62439,64612,64611,64654,66400,64656,64656,64652,64613,64613,44400,20,70.5,83
44,102208055,64611,64611,64611,31400,64659,63620,64410,64611,64612,64611,64410,64430,64611,64611,64611,64611,64611,64420,61,77.9,90
45,102208054,64611,64611,62100,36100,64630,35400,64611,64613,64611,64611,64644,36500,64641,64659,64611,64611,64611,51200,50,51.6,64
46,102208053,64611,64611,64611,64611,64611,44200,64611,64613,64611,62100,64611,64659,64613,64611,64641,64611,64611,64611,73,19.1,32
47,102208052,64611,64645,64659,64210,64613,33399,64656,64644,64340,64652,63400,51200,64653,64611,61200,64611,64659,65610,73,80.0,92
48,102208046,64611,64611,64654,64611,65650,42400,64611,64611,63500,64611,65400,64611,64613,64644,64611,64644,64659,51200,73,88.1,99
49,102208045,64611,64654,64659,64613,64613,64630,64645,64611,66099,64613,64613,66340,64613,64641,64613,64645,64644,65120,63,94.4,99
50,102208044,64611,64611,64613,64611,64630,42100,64611,65200,64611,64620,56000,51440,64611,64611,64611,64611,66330,64259,73,45.8,58
51,102208043,64611,64642,64643,64641,64613,64611,64613,64611,64613,64645,64613,64611,64611,64611,66310,64613,64611,66320,63,60.3,73
52,102208042,64611,62420,36100,64611,35100,64613,64613,64611,64613,64611,64613,64659,64641,64611,64611,64611,64644,31200,20,80.5,93
53,102208041,64611,64611,22000,31400,36400,63200,64611,64644,64530,64613,24100,35100,64641,64641,62410,11000,64530,24400,30,51.2,64
54,102208038,64611,64611,64611,64611,64659,36230,64611,64611,64611,64611,63630,62600,64611,64611,64611,64611,64611,64620,73,56.0,68
55,102208034,64611,64349,64613,64611,64611,64613,64611,64611,64611,64611,64611,52200,64611,64611,64611,64611,64611,64510,64,63.6,76
56,102208032,64611,64659,64613,64611,64611,45600,64611,64611,64611,64611,64611,43000,64611,64611,64611,64611,64611,44200,10,56.0,68
57,102208030,64611,64643,64613,64654,63110,45200,33299,21300,63120,64652,54400,64611,64642,64320,65530,64613,61500,64651,71,70.2,83
58,102208029,64611,64641,63139,64220,63110,36210,64613,64613,64613,64340,51200,51410,64653,64651,64651,64613,64651,64611,73,89.7,99
59,102208024,64611,64611,33299,64659,64646,64410,64611,64611,64630,64613,64611,65520,64611,64611,64611,64611,64611,65540,62,86.4,99
60,102208023,64611,64653,64611,62450,62100,64410,64613,64643,65510,64611,64340,64410,64611,64611,64611,64611,64611,64620,63,87.2,99
61,102208022,64611,64340,64630,64659,64611,63400,64642,64359,64340,64611,64130,52100,64653,64654,64653,64611,64641,51440,64,78.9,91
62,102208021,64611,64643,64611,64611,64613,64613,64613,64611,64613,13100,64620,64611,64644,64611,64644,64611,64611,64540,80,71.6,84
63,102208018,64611,64611,64611,64611,64644,64613,64611,64641,64613,64613,64611,64630,64641,64613,64644,64611,64611,64641,63,81.7,94
64,102208017,64611,64159,64613,64611,64613,64611,64642,64643,64613,64140,64140,66400,64140,64613,64651,64611,64613,51200,66,76.4,90
65,102208014,64611,64611,64644,42300,63130,64630,64611,64659,64613,64249,64642,11000,64611,64620,64611,64611,64611,65650,50,56.7,70
66,102208010,64613,64656,64651,63610,64410,63139,64659,64659,64611,23300,64651,66400,64653,65510,64642,64611,64644,52200,80,82.4,95
