clustered_label,point_x,point_y
23100,15/16,15/16
22141,63/64,63/64
22130,31/32,31/32
13200,1/16,1/16
11000,1/8,1/8
44299,15/16,15/16
22230,31/32,31/32
22420,31/32,31/32
22143,63/64,63/64
22440,31/32,31/32
22120,31/32,31/32
22300,15/16,15/16
22210,31/32,31/32
23200,15/16,15/16
43100,15/16,15/16
22430,31/32,31/32
23300,15/16,15/16
21200,15/16,15/16
22220,31/32,31/32
22410,31/32,31/32
22144,63/64,63/64
21120,31/32,31/32
23400,15/16,15/16
22110,31/32,31/32
21130,31/32,31/32
21310,31/32,31/32
44200,15/16,15/16
43200,15/16,15/16
21330,31/32,31/32
21420,31/32,31/32
21110,31/32,31/32
41000,7/8,7/8
21430,31/32,31/32
43400,15/16,15/16
42400,15/16,15/16
32200,1/16,1/16
21410,31/32,31/32
21340,31/32,31/32
31400,1/16,1/16
22240,31/32,31/32
12000,1/8,1/8
14000,1/8,1/8
43300,15/16,15/16
13100,1/16,1/16
21440,31/32,31/32
42100,15/16,15/16
21320,31/32,31/32
13300,1/16,1/16
13400,1/16,1/16
32299,1/16,1/16
33000,1/8,1/8
34400,1/16,1/16
31300,1/16,1/16
34100,1/16,1/16
44400,15/16,15/16
44100,15/16,15/16
34200,1/16,1/16
31100,1/16,1/16
42300,15/16,15/16
32400,1/16,1/16
42200,15/16,15/16
32100,1/16,1/16
31200,1/16,1/16
24000,7/8,7/8
34300,1/16,1/16
21140,31/32,31/32
