,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
67,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7430,1,80.0,0.0
68,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7440,1,56.0,0.0
69,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7500,1,83.0,0.0
70,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,7600,3,82.0,10.708252269472673
71,0,0,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,7600,9,83.11111111111111,13.008069670139758
72,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,7609,3,82.0,10.708252269472673
73,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7620,1,88.0,0.0
74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7630,1,90.0,0.0
75,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,7640,2,66.5,10.5
76,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7650,2,95.5,3.5
77,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7650,1,99.0,0.0
78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7659,1,92.0,0.0
79,0,0,0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,8000,4,74.25,10.304731922762475
80,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8100,1,68.0,0.0
81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8200,1,91.0,0.0
82,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8300,1,64.0,0.0
83,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8400,1,74.0,0.0
